,MEX3B (84206)
ACH-000004,-0.226364234108
ACH-000007,-0.11191092748600001
ACH-000009,-0.304460246858
ACH-000011,-0.17701584288199998
ACH-000012,-0.21139531801300002
ACH-000013,-0.426303071645
ACH-000014,-0.04041877912419999
ACH-000015,-0.113265183211
ACH-000017,-0.19830439290399998
ACH-000018,-0.365181359207
ACH-000019,-0.140496708935
ACH-000021,-0.141479338727
ACH-000022,-0.21868859956300002
ACH-000025,-0.193594810399
ACH-000028,-0.20127089812899998
ACH-000030,-0.17762176145
ACH-000035,-0.0586048789061
ACH-000036,-0.120761909029
ACH-000037,0.0400876880726
ACH-000039,-0.041993294483
ACH-000040,-0.0769080106422
ACH-000041,-0.179049636683
ACH-000042,-0.13997076876599998
ACH-000045,-0.292576860073
ACH-000047,-0.191257835506
ACH-000052,-0.214114020453
ACH-000053,-0.0797706325402
ACH-000054,-0.143360586244
ACH-000055,-0.205996098574
ACH-000060,-0.14193743305700002
ACH-000067,0.015572901851899999
ACH-000070,-0.23662393387400002
ACH-000075,-0.257537337414
ACH-000078,-0.11465067625299999
ACH-000082,-0.151498674705
ACH-000085,-0.25956855175500004
ACH-000086,-0.273403578837
ACH-000087,-0.0507253132801
ACH-000092,-0.213465024751
ACH-000095,-0.232753038085
ACH-000097,-0.293419590964
ACH-000098,-0.170472302675
ACH-000099,-0.364158952742
ACH-000108,-0.229468166314
ACH-000113,-0.164084940448
ACH-000115,0.0183308371988
ACH-000116,-0.334250116471
ACH-000118,-0.108533002411
ACH-000120,-0.106179993588
ACH-000123,-0.142979284911
ACH-000127,-0.149153224325
ACH-000128,-0.443118711495
ACH-000132,-0.20116253673300002
ACH-000133,-0.595290602689
ACH-000137,-0.235794906312
ACH-000138,-0.18257596942200002
ACH-000142,-0.262962641412
ACH-000143,0.195432089912
ACH-000146,-0.0376151241663
ACH-000148,-0.309680182352
ACH-000150,-0.359699834341
ACH-000152,0.12323348089500001
ACH-000153,-0.509838287376
ACH-000159,-0.203535570585
ACH-000160,-0.13837043394600002
ACH-000163,-0.176275182051
ACH-000167,-0.30900958520300004
ACH-000168,-0.013321773830399999
ACH-000169,-0.28088925841400003
ACH-000178,-0.129731995258
ACH-000182,-0.288885096328
ACH-000183,-0.28314658689100003
ACH-000188,-0.161494899967
ACH-000189,-0.468569364042
ACH-000190,-0.06521920914559999
ACH-000198,-0.12554759119699999
ACH-000204,-0.126447761679
ACH-000206,-0.36684161675899996
ACH-000207,-0.258945701685
ACH-000211,-0.11272271097000001
ACH-000215,-0.27310785322500003
ACH-000221,-0.08949886660150001
ACH-000222,0.186175852605
ACH-000223,-0.287401559878
ACH-000226,0.0929114068675
ACH-000227,-0.200757782636
ACH-000228,-0.331530412501
ACH-000231,-0.14727538828700001
ACH-000232,-0.11139147493799999
ACH-000233,-0.202460870452
ACH-000234,-0.45646022823
ACH-000235,-0.23720279147
ACH-000237,-0.05114144281769999
ACH-000238,-0.203111940856
ACH-000243,-0.0330071657995
ACH-000244,0.052398316735699994
ACH-000246,-0.0428565748838
ACH-000248,-0.161949197587
ACH-000250,-0.256861216475
ACH-000251,-0.0205266940383
ACH-000253,-0.245388376081
ACH-000255,-0.297399408465
ACH-000256,-0.261522624815
ACH-000257,-0.160771205896
ACH-000258,-0.121357099759
ACH-000259,-0.0360519006934
ACH-000260,-0.179909756643
ACH-000261,-0.242009009998
ACH-000262,-0.0982203678288
ACH-000263,-0.558619954995
ACH-000264,-0.344018251004
ACH-000265,-0.0486245923717
ACH-000266,-0.226581219472
ACH-000272,-0.206719248277
ACH-000273,-0.158387244475
ACH-000274,-0.26708132433299997
ACH-000277,-0.515945739251
ACH-000278,-0.11306939782099999
ACH-000279,-0.113123858851
ACH-000280,-0.030273296896299998
