,PPM1J (333926)
ACH-000004,-0.12012031154200001
ACH-000007,-0.434571446862
ACH-000009,-0.262036312712
ACH-000011,-0.254284686356
ACH-000012,-0.514418854184
ACH-000013,-0.461038170036
ACH-000014,-0.29880740315000004
ACH-000015,-0.32875113090999997
ACH-000017,-0.313108273963
ACH-000018,-0.22497423648200002
ACH-000019,-0.301451240031
ACH-000021,-0.24238065120900001
ACH-000022,-0.340370552355
ACH-000025,-0.707523285364
ACH-000028,-0.484020842214
ACH-000030,-0.383143008525
ACH-000035,-0.558450344688
ACH-000036,-0.198786862193
ACH-000037,-0.147918783177
ACH-000039,-0.346204957306
ACH-000040,-0.327653933809
ACH-000041,-0.24776869079
ACH-000042,-0.271904372998
ACH-000045,-0.19496477794300002
ACH-000047,-0.36167172131399994
ACH-000052,-0.258495444714
ACH-000053,-0.223569408372
ACH-000054,-0.7167423081540001
ACH-000055,-0.353574124834
ACH-000060,-0.33596732789800005
ACH-000067,-0.248868212432
ACH-000070,-0.249509355017
ACH-000075,-0.352813117748
ACH-000078,-0.42720086152099995
ACH-000082,-0.25824566347800004
ACH-000085,-0.39574117995999997
ACH-000086,-0.577621848651
ACH-000087,-0.281272536622
ACH-000092,-0.53245120798
ACH-000095,-0.18544747194800001
ACH-000097,-0.18678350711
ACH-000098,-0.0962276107127
ACH-000099,-0.310420779682
ACH-000108,-0.294838866182
ACH-000113,-0.16192448386299998
ACH-000115,-0.142519080588
ACH-000116,-0.17678332783599998
ACH-000118,-0.273568848958
ACH-000120,-0.0763186247597
ACH-000123,-0.459220150569
ACH-000127,-0.29039402218000004
ACH-000128,-0.23657772000799998
ACH-000132,-0.261225427736
ACH-000133,-0.36700983780999996
ACH-000137,-0.369036957245
ACH-000138,-0.117027795402
ACH-000142,-0.457970734765
ACH-000143,-0.379285781408
ACH-000146,-0.20213895560800002
ACH-000148,-0.356280759235
ACH-000150,-0.22989653543900002
ACH-000152,-0.49388936523599997
ACH-000153,0.322028470338
ACH-000159,-0.316224581562
ACH-000160,-0.18559534109
ACH-000163,-0.019382992301
ACH-000167,-0.225686582419
ACH-000168,-0.277263623183
ACH-000169,-0.172308164579
ACH-000178,-0.068079605433
ACH-000182,-0.296748960654
ACH-000183,-0.282601284362
ACH-000188,-0.28811128489
ACH-000189,-0.339168857044
ACH-000190,-0.26206314119
ACH-000198,-0.109946851493
ACH-000204,-0.106591984783
ACH-000206,-0.38059555144
ACH-000207,-0.579340484682
ACH-000211,-0.315744141109
ACH-000215,-0.23185273573100001
ACH-000221,-0.408283071244
ACH-000222,-0.0368701625649
ACH-000223,-0.40993169436899995
ACH-000226,-0.37160674905
ACH-000227,-0.5638174867979999
ACH-000228,-0.28774861666499996
ACH-000231,-0.440799121783
ACH-000232,-0.393624905614
ACH-000233,-0.232246483636
ACH-000234,-0.114701469167
ACH-000235,-0.293419554245
ACH-000237,-0.312608295064
ACH-000238,-0.351493819049
ACH-000243,-0.35166180044900003
