,SHD (56961)
ACH-000281,0.0466104022033
ACH-000288,0.0810037520908
ACH-000291,-0.129750187678
ACH-000293,-0.333045430849
ACH-000294,-0.290489332016
ACH-000295,-0.29412431360999997
ACH-000296,0.008153826153199999
ACH-000302,-0.23999851244399997
ACH-000304,-0.186038398357
ACH-000307,-0.09190834634759999
ACH-000308,-0.06825643238950001
ACH-000310,-0.11413519540200001
ACH-000311,0.14683017289
ACH-000312,0.1805734448
ACH-000315,0.0769813433679
ACH-000316,-0.329894901751
ACH-000317,-0.0509077996918
ACH-000318,-0.0407020406721
ACH-000319,-0.126148059353
ACH-000320,0.22624373002599998
ACH-000322,0.0639665039399
ACH-000323,-0.09048425637110001
ACH-000324,-0.253918439898
ACH-000329,-0.0608523555636
ACH-000330,-0.0213164414751
ACH-000331,-0.0174447223497
ACH-000332,-0.020835717430900003
ACH-000334,-0.43187089113899996
ACH-000335,0.00806736793918
ACH-000336,0.116756751731
ACH-000337,-0.20382360018399998
ACH-000339,0.00309822949914
ACH-000341,-0.314558803461
ACH-000348,-0.175707931759
ACH-000350,-0.110359624048
ACH-000352,-0.13167976312899998
ACH-000356,-0.15854223715399998
ACH-000361,-0.298194817341
ACH-000362,-0.17264643543299998
ACH-000363,-0.138775094781
ACH-000364,-0.30522259776599997
ACH-000365,-0.223877324776
ACH-000366,0.00323442950263
ACH-000368,-0.137405018104
ACH-000374,-0.136331137037
ACH-000375,0.009145581902739999
ACH-000376,-0.154629471028
ACH-000381,-0.0507335362333
ACH-000383,-0.283878111656
ACH-000387,0.0286475458268
ACH-000389,-0.044060983865499996
ACH-000390,-0.11431658122300001
ACH-000393,-0.272258036812
ACH-000395,0.0523468472954
ACH-000397,0.0338753856864
ACH-000401,0.08293550332119999
ACH-000402,-0.590097354246
ACH-000403,-0.0964994604466
ACH-000404,-0.277500030485
ACH-000406,0.0118861544777
ACH-000407,-0.115375185429
ACH-000408,-0.0760104016083
ACH-000410,-0.07300981355160001
ACH-000411,-0.18697455449900002
ACH-000414,0.101642599606
ACH-000415,-0.0485535407965
ACH-000416,-0.11873369598200001
ACH-000420,-0.221709576428
ACH-000421,-0.27389254603
ACH-000424,-0.32142030945
ACH-000425,-0.19334071112999998
ACH-000426,-0.19368069042199998
ACH-000427,-0.197526598496
ACH-000433,0.0765411988095
ACH-000436,-0.0858093269715
ACH-000444,-0.157593759378
ACH-000445,-0.215561648953
ACH-000448,-0.34205131870800004
ACH-000450,-0.28799877391600004
ACH-000452,-0.185002240005
ACH-000454,-0.13185653893899998
ACH-000458,-0.021908831232
ACH-000459,-0.386503062518
ACH-000460,-0.0374000635665
ACH-000461,-0.07798199641310001
ACH-000463,-0.11530742344799999
ACH-000464,0.0338691747932
ACH-000466,-0.161515792467
ACH-000467,-0.0442567807921
ACH-000468,-0.022656003469400002
ACH-000469,-0.19541098638300003
ACH-000470,0.195094149315
ACH-000471,-0.055177434268199994
ACH-000472,-0.05571529307109999
ACH-000473,0.0551738574218
ACH-000475,-0.031196160830700002
ACH-000476,-0.357692262881
ACH-000477,-0.173759887722
ACH-000480,0.0921309023885
ACH-000481,-0.0324272408736
ACH-000483,-0.147630072461
ACH-000484,-0.19035872444600002
ACH-000485,-0.0984087410367
ACH-000486,-0.00814609772172
ACH-000487,-0.212053696358
ACH-000488,-0.0809308868843
ACH-000490,-0.0658273837929
ACH-000491,-0.23134888999699998
ACH-000495,0.0296716211289
ACH-000496,0.050528408772300006
ACH-000499,-0.142855109129
ACH-000500,0.0840085109537
ACH-000502,0.0854135017013
ACH-000503,-0.358472364437
ACH-000505,-0.268168199925
ACH-000507,-0.0948663935808
ACH-000510,-0.205696984241
ACH-000511,-0.07285605504499999
ACH-000512,-0.163756518081
ACH-000516,-0.07592913357360001
ACH-000517,-0.194749964186
ACH-000518,-0.251509347213
ACH-000520,-0.13037173815199998
ACH-000521,-0.00356545559186
ACH-000522,-0.116376607922
ACH-000524,-0.118450725802
ACH-000527,-0.08202310750610001
ACH-000528,-0.191358783072
ACH-000537,-0.07335319188730001
ACH-000541,0.12121091611
ACH-000542,-0.196800200912
ACH-000544,-0.181046996459
ACH-000545,-0.13693237705999997
ACH-000547,-0.25776446067
ACH-000548,-0.10427215353
ACH-000549,-0.190727835429
ACH-000550,-0.127193865755
ACH-000552,-0.0968028164182
ACH-000556,-0.200260013726
ACH-000557,-0.0107918746295
ACH-000570,-0.0835451616814
ACH-000571,-0.182369438019
ACH-000573,-0.182856954954
ACH-000576,-0.151170061227
ACH-000580,-0.136724777391
ACH-000584,-0.0752323890737
ACH-000585,-0.23061457727899998
ACH-000588,-0.08651280419130002
ACH-000589,-0.0858989958781
ACH-000591,-0.204651675069
ACH-000593,-0.09013072047779999
ACH-000600,-0.253560677799
ACH-000601,-0.000342744024337
ACH-000604,-0.225153157227
ACH-000605,-0.0639876077835
ACH-000606,-0.192483688535
ACH-000608,-0.289361685203
ACH-000614,-0.262462181019
ACH-000616,0.0429182523829
ACH-000618,-0.133586013368
ACH-000619,-0.128639032483
ACH-000620,-0.150007584212
ACH-000621,-0.11699199672499999
ACH-000622,-0.130973081478
ACH-000623,0.00038784135389199995
ACH-000624,-0.0656810176504
ACH-000627,-0.27702518123500003
ACH-000630,-0.30082505800500003
ACH-000632,-0.24348237083500002
ACH-000633,-0.20660813561
ACH-000637,-0.0964737504784
ACH-000638,-0.0547086230961
ACH-000646,-0.341244570042
ACH-000647,-0.117455886626
ACH-000648,-0.147439852382
ACH-000649,-0.180411842758
ACH-000651,-0.0234837208349
ACH-000652,-0.160490715815
ACH-000653,-0.11380270369899999
ACH-000657,-0.0911011180086
ACH-000658,-0.0416258629296
ACH-000661,-0.22766053028799998
ACH-000662,-0.227072322683
ACH-000663,-0.145523347774
ACH-000665,-0.280069279661
ACH-000671,-0.19138718021499998
ACH-000673,-0.100920994129
ACH-000676,-0.145871083272
ACH-000677,0.1329759523
ACH-000681,-0.150120560349
ACH-000682,-0.145812197757
ACH-000683,-0.182601857299
ACH-000684,0.0195979819302
ACH-000688,-0.10794733460799999
ACH-000693,-0.243018098252
ACH-000694,0.00252030046558
ACH-000695,-0.350144056034
ACH-000696,-0.132083882494
ACH-000697,-0.1717525298
ACH-000699,0.00985316938099
ACH-000701,-0.27528237701999997
ACH-000706,-0.227250873381
ACH-000711,-0.143265767988
ACH-000713,-0.05132469260840001
ACH-000714,-0.220817176213
ACH-000718,0.178635547442
ACH-000720,-0.162329653282
ACH-000721,-0.08257610295580001
ACH-000724,-0.137846286973
ACH-000725,-0.25269582054699996
ACH-000732,-0.227640615619
ACH-000734,-0.264785848961
ACH-000735,-0.168678045564
ACH-000736,-0.0990130458007
ACH-000738,-0.102133928154
ACH-000746,-0.106311289088
ACH-000747,-0.17177133042800002
ACH-000748,-0.0115255362038
ACH-000753,-0.06984194171369999
ACH-000756,-0.0664330732327
ACH-000757,-0.006325523360380001
ACH-000758,-0.19921974493900002
ACH-000760,-0.0911716147552
ACH-000763,0.0334391678161
ACH-000764,-0.634714196293
ACH-000765,0.151062750647
ACH-000766,-0.0024524608929
ACH-000767,0.0731247650093
ACH-000768,-0.0914688951499
ACH-000769,-0.06757099484899999
ACH-000770,-0.106835218674
ACH-000771,-0.024074230632500002
ACH-000773,0.0676994449519
ACH-000776,-0.26242034425599997
ACH-000777,-0.121167279134
ACH-000778,-0.0498174340165
ACH-000781,-0.06300452613680001
ACH-000782,-0.329888018701
ACH-000783,-0.07336748540360001
ACH-000784,-0.0600696086424
ACH-000785,0.020668725724099998
ACH-000787,-0.08478346360710001
ACH-000788,-0.242357541294
ACH-000791,0.0238368330773
ACH-000792,-0.177825878622
ACH-000794,-0.154496488015
ACH-000796,0.00988617324849
ACH-000799,-0.251089809599
ACH-000800,-0.468961524164
ACH-000802,-0.156675919835
ACH-000804,-0.017119448203399997
ACH-000805,0.179304024722
ACH-000809,-0.157048022875
ACH-000810,-0.0187744092761
ACH-000811,-0.152654975631
ACH-000817,0.10359034517400001
ACH-000819,-0.271917174775
ACH-000820,-0.21328736475200002
ACH-000821,-0.07920670472680001
ACH-000822,0.0240974098117
ACH-000823,-0.12279209050899999
ACH-000824,-0.154786055001
ACH-000827,-0.05299085718259999
ACH-000829,-0.187542320546
ACH-000831,-0.25196497752700003
ACH-000832,-0.249400466494
ACH-000833,0.0657094436596
ACH-000834,-0.0931314160236
ACH-000835,-0.26584411283000003
ACH-000836,-0.24247013121999997
ACH-000837,0.000331088614733
ACH-000838,-0.20911032684500003
ACH-000839,-0.20765931681699998
ACH-000840,-0.059759775952699996
ACH-000841,0.00902003284545
ACH-000843,-0.274295297997
ACH-000846,-0.12367224496300001
ACH-000847,-0.19530841287700001
ACH-000848,-0.325983720019
ACH-000849,-0.08753782617360001
ACH-000851,-0.0266230699291
ACH-000855,0.0573341538601
ACH-000856,-0.103260281626
ACH-000858,-0.141400517126
ACH-000859,-0.134372662348
ACH-000861,-0.076041017763
ACH-000862,-0.18759109130399998
ACH-000865,-0.182457696208
ACH-000866,0.0159429134346
ACH-000867,-0.134278243365
ACH-000869,-0.11622835920199999
ACH-000872,-0.08526458161419999
ACH-000873,-0.272008766301
ACH-000876,-0.00697883598244
ACH-000878,-0.0595862418573
ACH-000880,0.0223198196482
ACH-000881,-0.149131450762
ACH-000882,-0.15254865521299998
ACH-000884,-0.106271721426
ACH-000885,-0.11597981169000002
ACH-000887,-0.138492667664
ACH-000888,-0.045499003457399996
ACH-000889,-0.0908957143244
ACH-000890,-0.06047292426
ACH-000896,-0.167276572127
ACH-000898,-0.11028649653799999
ACH-000900,0.0476445640634
ACH-000901,-0.118082769822
ACH-000905,-0.040624440040899996
ACH-000906,-0.0788038469444
ACH-000907,-0.229687808731
ACH-000910,0.019153857833599998
ACH-000911,-0.16617414257899998
ACH-000912,-0.112965041765
ACH-000913,-0.114443516492
ACH-000915,-0.038220513079699994
ACH-000916,0.559288526809
ACH-000917,-0.146965003697
ACH-000921,-0.24109294872200002
ACH-000924,-0.0667784361101
ACH-000926,-0.130757164457
ACH-000928,-0.23792955762899998
ACH-000929,-0.260066808058
ACH-000932,-0.15718314902799999
ACH-000935,0.115557286725
ACH-000936,-0.10064895734899999
