,MPV17L2 (84769)
ACH-000004,-0.0786897879763
ACH-000007,0.045238916442
ACH-000009,-0.0787822148314
ACH-000011,-0.121947631941
ACH-000012,-0.256674730641
ACH-000013,-0.253908574419
ACH-000014,-0.24924723663400003
ACH-000015,-0.407566853416
ACH-000017,-0.398593290765
ACH-000018,-0.0743183057169
ACH-000019,-0.987931285012
ACH-000021,-0.21008718452300001
ACH-000022,-0.249434257501
ACH-000025,-0.209504700316
ACH-000028,-0.895011590414
ACH-000030,-0.23882620535399998
ACH-000035,-0.333084481539
ACH-000036,-0.154669636258
ACH-000037,-0.166522025419
ACH-000039,-0.451957552148
ACH-000040,-0.33720053125699995
ACH-000041,-0.10413085681399999
ACH-000042,-0.20906771182199999
ACH-000045,-0.21910143336399998
ACH-000047,-0.579854704701
ACH-000052,-0.34832462490500005
ACH-000053,-0.23134958704599998
ACH-000054,-0.29517871940900003
ACH-000055,0.0491060501081
ACH-000060,-0.0512019731054
ACH-000067,-0.119980171303
ACH-000070,-0.11170986061799999
ACH-000075,-0.506158271596
ACH-000078,-0.283000293215
ACH-000082,-0.17184927365400002
ACH-000085,-0.28050213722899997
ACH-000086,-0.39487597345200004
ACH-000087,-0.638777830561
ACH-000092,-0.08602561566530001
ACH-000095,-0.178828396428
ACH-000097,-0.116396306528
ACH-000098,-0.32372211407400003
ACH-000099,-0.4095990207
ACH-000108,-0.185587573522
ACH-000113,-0.36491387761699995
ACH-000115,-0.34992285909500004
ACH-000116,-0.202146860259
ACH-000118,-0.31679015011
ACH-000120,0.0190535232704
ACH-000123,-0.279007597309
ACH-000127,-0.240286017091
ACH-000128,-0.392367878915
ACH-000132,-0.201544846441
ACH-000133,-0.0581196634894
ACH-000137,-0.25573407401500003
ACH-000138,-0.11478281508199999
ACH-000142,-0.141672186561
ACH-000143,-0.10994068372199998
ACH-000146,-0.262649838675
ACH-000148,-0.196202544238
ACH-000150,-0.429067179569
ACH-000152,-0.184677915509
ACH-000153,0.132661699105
ACH-000159,-0.370610808386
ACH-000160,-0.189333350344
ACH-000163,-0.00485703635761
ACH-000167,-0.304154018802
ACH-000168,-0.112825274461
ACH-000169,-0.160603997551
ACH-000178,-0.231600281972
ACH-000182,-0.239762868987
ACH-000183,-0.049153293202
ACH-000188,-0.17704876337900002
ACH-000189,-0.24558200029599997
ACH-000190,-0.33620032973
ACH-000198,-0.0537535078699
ACH-000204,-0.0573429489511
ACH-000206,-0.182793095415
ACH-000207,-0.38769676408799997
ACH-000211,-0.28738571425799997
ACH-000215,-0.325108665966
ACH-000221,-0.80198123075
ACH-000222,0.182515737954
ACH-000223,-0.249212269823
ACH-000226,-0.177211619831
ACH-000227,-0.031487236096900004
ACH-000228,-0.35180184175499996
ACH-000231,-0.0782414052332
ACH-000232,-0.16939937628600002
ACH-000233,-0.472187708054
ACH-000234,-0.438838181673
ACH-000235,-0.06487402738300001
ACH-000237,-0.247487293051
ACH-000238,0.10721170840399999
ACH-000243,-0.213160461614
ACH-000244,0.044310631967900006
ACH-000246,-0.328035006445
ACH-000248,-0.11151236345799999
ACH-000250,-0.180595646934
ACH-000251,-0.273195109943
ACH-000253,-0.167424384189
ACH-000255,-0.21601762680300002
ACH-000256,-0.140528676296
ACH-000257,-0.296658508724
ACH-000258,-0.009212410280469999
ACH-000259,-0.41662733210299996
ACH-000260,-0.307756217553
ACH-000261,-0.371467253912
ACH-000262,-0.142723627514
ACH-000263,-0.407334999995
ACH-000264,-0.138964962952
ACH-000265,-0.178949096032
ACH-000266,-0.124712987368
ACH-000272,-0.267283301451
ACH-000273,-0.0201975644764
ACH-000274,-0.025229807652500002
ACH-000277,0.053736163083699995
ACH-000278,-0.369148921702
ACH-000279,-0.00209187998678
ACH-000280,-0.352961960568
ACH-000281,-0.017856887828400003
ACH-000288,-0.0830018414242
ACH-000291,-0.296235033561
ACH-000293,-0.107283980812
ACH-000294,-0.369585045262
ACH-000295,-0.320804055032
ACH-000296,-0.199232159047
ACH-000302,-0.366515449948
ACH-000304,-0.493668118798
ACH-000307,-0.355736761122
ACH-000308,-0.144527646765
ACH-000310,-0.410576988839
ACH-000311,0.0407483752078
ACH-000312,-0.142987304554
ACH-000315,-0.18242204520599997
ACH-000316,-0.0370111893426
ACH-000317,-0.842744980299
ACH-000318,-0.37101463600699996
ACH-000319,-0.033690071852299996
ACH-000320,-0.0741198055612
ACH-000322,-0.06720540951949999
ACH-000323,-0.26003888533799996
ACH-000324,-0.048536665855199994
ACH-000329,-0.234533803328
ACH-000330,-0.218164367115
ACH-000331,-0.275908084396
ACH-000332,-0.0545957732398
ACH-000334,-0.34399840965499995
ACH-000335,0.024585197286
ACH-000336,-0.0107512715886
ACH-000337,-0.244341408947
ACH-000339,-0.207200924042
ACH-000341,-0.46164704768200004
ACH-000348,-0.12310585034499999
ACH-000350,-0.165435564746
ACH-000352,-0.298967083407
ACH-000356,-0.18995748071
ACH-000361,-0.11399632347899999
ACH-000362,-0.11551393796599999
ACH-000363,-0.08235600038310001
ACH-000364,-0.45352150901199995
ACH-000365,-0.100996774323
ACH-000366,-0.39480421261200005
ACH-000368,-0.182160885505
ACH-000374,-0.442634783285
ACH-000375,0.0502218300593
ACH-000376,-0.146759724969
ACH-000381,-0.161460332406
ACH-000383,-0.18528445483699998
ACH-000387,-0.24096778630899998
ACH-000389,-0.03978468040869999
ACH-000390,-0.330100683397
ACH-000393,-0.33807427686999997
ACH-000395,-0.317280575616
ACH-000397,-0.142909545873
ACH-000401,-0.263752486478
ACH-000402,0.0279495718704
ACH-000403,-0.189320987525
ACH-000404,-0.199772250786
ACH-000406,-0.259552298004
ACH-000407,-0.15160524186
ACH-000408,-0.482347395982
ACH-000410,-0.16453045397
ACH-000411,-0.0578588251408
ACH-000414,-0.0805223586165
ACH-000415,-0.16469080118499999
ACH-000416,-0.34047299735500003
ACH-000420,-0.411902021593
ACH-000421,-0.184715919427
ACH-000424,-0.28620397296100003
ACH-000425,-0.21664544478300002
ACH-000426,-0.364035598944
ACH-000427,-0.404946693907
ACH-000433,-0.275595558354
ACH-000436,-0.21612949439399998
ACH-000444,-0.0188604363479
ACH-000445,-0.0577401599572
ACH-000448,-0.26970717296999996
ACH-000450,-0.200184174829
ACH-000452,-0.267740252778
ACH-000454,-0.701933022156
ACH-000458,0.0165969142052
ACH-000459,-0.274608208799
ACH-000460,-0.143414630677
ACH-000461,-0.463259706025
ACH-000463,-0.144793455599
ACH-000464,-0.0270436160078
ACH-000466,-0.352824415903
ACH-000467,-0.136394505198
ACH-000468,-0.117350230002
ACH-000469,-0.18588783871800002
ACH-000470,-0.0209371433958
ACH-000471,-0.253337361679
ACH-000472,-0.188435561997
ACH-000473,-0.346114278028
ACH-000475,-0.140126638267
ACH-000476,-0.674825322571
ACH-000477,-0.128644278829
ACH-000480,-0.218102228116
ACH-000481,-0.27202996081999997
ACH-000483,-0.43637070623999996
ACH-000484,-0.0535818550441
ACH-000485,-0.237485356063
ACH-000486,-0.148822973674
ACH-000487,-0.524143821217
ACH-000488,-0.678665420695
ACH-000490,-0.334792260341
ACH-000491,-0.269239766914
ACH-000495,-0.142670138565
ACH-000496,-0.020158496031
ACH-000499,-0.37305123934900003
ACH-000500,0.207502159692
ACH-000502,-0.251368190276
ACH-000503,-0.134197314332
ACH-000505,-0.276304709596
ACH-000507,-0.410414491236
ACH-000510,-0.14211075107499999
ACH-000511,-0.00682574791835
ACH-000512,-0.346578411958
ACH-000516,-0.0034811237725999996
ACH-000517,-0.274737376752
ACH-000518,0.0149448014725
ACH-000520,-0.284081933487
ACH-000521,-0.11147207678
ACH-000522,-0.49420862542099997
ACH-000524,-0.40945759580200003
ACH-000527,-0.260248250044
ACH-000528,-0.285195941213
ACH-000537,-0.289254417178
ACH-000541,-0.272863807059
ACH-000542,-0.190021644362
ACH-000544,-0.266015755742
ACH-000545,-0.327694125753
ACH-000547,-0.5083637329890001
ACH-000548,-0.280195322953
