,POLR3H (171568)
ACH-000004,-2.1398146595700003
ACH-000007,-1.67903048351
ACH-000009,-1.74474842539
ACH-000011,-1.5385980928
ACH-000012,-1.50002042417
ACH-000013,-1.77205456755
ACH-000014,-1.6749636666299998
ACH-000015,-1.75586795678
ACH-000017,-1.90971273116
ACH-000018,-1.4054705766100002
ACH-000019,-1.4333370096200002
ACH-000021,-1.5137697512200001
ACH-000022,-1.9589365145099997
ACH-000025,-1.6805110513400001
ACH-000028,-1.79803808067
ACH-000030,-1.66033903996
ACH-000035,-1.78057090801
ACH-000036,-1.86379704972
ACH-000037,-1.94303666032
ACH-000039,-1.78967365349
ACH-000040,-1.4692375059600002
ACH-000041,-1.62016959449
ACH-000042,-1.8690869413900002
ACH-000045,-1.775808436
ACH-000047,-1.44877725477
ACH-000052,-1.6048621676700001
ACH-000053,-1.54969681924
ACH-000054,-1.51567571111
ACH-000055,-1.7934930745299997
ACH-000060,-1.62295865206
ACH-000067,-1.44713578472
ACH-000070,-1.61394357055
ACH-000075,-1.740062499
ACH-000078,-1.65896587343
ACH-000082,-1.2767012031899998
ACH-000085,-1.8237470887
ACH-000086,-1.56546833086
ACH-000087,-1.59924567749
ACH-000092,-1.70654539747
ACH-000095,-1.66054737475
ACH-000097,-1.7320270525
ACH-000098,-1.78988709988
ACH-000099,-1.4939216901199999
ACH-000108,-1.63597985338
ACH-000113,-1.8430168282
ACH-000115,-1.3630772719100002
ACH-000116,-1.65639361555
ACH-000118,-1.53205315527
ACH-000120,-1.61178067924
ACH-000123,-1.69206168433
ACH-000127,-1.4460346740399999
ACH-000128,-1.71639092741
ACH-000132,-1.8348595135799999
ACH-000133,-1.71743640765
ACH-000137,-1.70434738032
ACH-000138,-1.59322123414
ACH-000142,-1.94155408315
ACH-000143,-1.73828677042
ACH-000146,-1.7441653342299999
ACH-000148,-1.5219665826700002
ACH-000150,-1.62272359208
ACH-000152,-1.34115432071
ACH-000153,-1.55768612731
ACH-000159,-1.22060142554
ACH-000160,-0.9891949271960001
ACH-000163,-1.57863969554
ACH-000167,-1.44434995111
ACH-000168,-1.7361189737
ACH-000169,-1.46290920855
ACH-000178,-1.47468737541
ACH-000182,-1.40643962082
ACH-000183,-1.68869156504
ACH-000188,-1.66964222256
ACH-000189,-1.9310494625
ACH-000190,-1.24332775515
ACH-000198,-1.6489173706400002
ACH-000204,-1.7821882541
ACH-000206,-1.62657921174
ACH-000207,-1.78131724003
ACH-000211,-1.67873905013
ACH-000215,-1.42888144273
ACH-000221,-2.01782034346
ACH-000222,-1.6892709294100001
ACH-000223,-1.7053175606600002
ACH-000226,-1.54300370724
ACH-000227,-1.3537926053100002
ACH-000228,-1.69557651794
ACH-000231,-1.75588119515
ACH-000232,-1.8024550606799998
ACH-000233,-1.6638370484399998
ACH-000234,-1.3345912844399999
ACH-000235,-1.61024628221
ACH-000237,-1.8090422119999998
ACH-000238,-1.51977971379
ACH-000243,-1.5318851614200002
ACH-000244,-1.17512542604
ACH-000246,-1.354239459
ACH-000248,-1.8231898459
ACH-000250,-1.6497170398700003
ACH-000251,-1.6317448216100001
ACH-000253,-1.4994248701100001
ACH-000255,-1.57225320556
ACH-000256,-1.70731573995
ACH-000257,-1.4183085215399998
ACH-000258,-1.69029206766
ACH-000259,-1.37145636807
ACH-000260,-1.59527994771
ACH-000261,-0.946098230679
ACH-000262,-1.7303747867800001
ACH-000263,-1.8310256248400003
ACH-000264,-1.6857467639500001
ACH-000265,-1.5994472281099998
ACH-000266,-1.6187884193900002
ACH-000272,-1.61529863998
ACH-000273,-1.66345659201
ACH-000274,-1.44807714558
ACH-000277,-1.6669372939700002
