,HSP90B1 (7184)
ACH-000004,-0.284541973619
ACH-000007,-0.875557331673
ACH-000009,-0.886258992052
ACH-000011,-0.783800081398
ACH-000012,-0.24487253987
ACH-000013,-0.47574886822800005
ACH-000014,-0.254893184947
ACH-000015,-0.511628510068
ACH-000017,-0.47146708865500003
ACH-000018,-1.15423987374
ACH-000019,-0.619962126517
ACH-000021,-0.564942570457
ACH-000022,-1.24977719927
ACH-000025,-0.721384694355
ACH-000028,-0.24521376252799998
ACH-000030,-0.8124249392730001
ACH-000035,-0.563791533437
ACH-000036,-0.146615338383
ACH-000037,-0.30905888941599996
ACH-000039,-0.536980510231
ACH-000040,-0.512881291306
ACH-000041,-0.542151010603
ACH-000042,-0.574202624347
ACH-000045,-0.392811077083
ACH-000047,-0.548330647437
ACH-000052,-0.861904409269
ACH-000053,-0.166885237335
ACH-000054,-0.703948978511
ACH-000055,-0.365829887046
ACH-000060,-0.7709514312260001
ACH-000067,-0.23626589614399998
ACH-000070,-0.715278703409
ACH-000075,-0.37772500581699997
ACH-000078,-0.516277194379
ACH-000082,-0.380565849583
ACH-000085,-0.588054872516
ACH-000086,-0.590634680816
ACH-000087,-0.6852721558820001
ACH-000092,-0.719168934343
ACH-000095,-0.590716748921
ACH-000097,-0.470220615285
ACH-000098,-0.547267807019
ACH-000099,-0.56748520125
ACH-000108,-0.838338569785
ACH-000113,-0.61008298979
ACH-000115,-1.09084191041
ACH-000116,-0.41643944290600005
ACH-000118,-0.442439668597
ACH-000120,-0.6414525401969999
ACH-000123,-0.6350587501870001
ACH-000127,-0.7601908181720001
ACH-000128,-0.440198250397
ACH-000132,-0.38879648983599996
ACH-000133,-0.873775671268
ACH-000137,-0.414513848218
ACH-000138,-0.8290649087720001
ACH-000142,-0.596468830618
ACH-000143,-0.6002513499140001
ACH-000146,-0.183635287515
ACH-000148,-0.248809832837
ACH-000150,-0.8246291339540001
ACH-000152,-0.437669999239
ACH-000153,0.412616935526
ACH-000159,-0.18369665965799997
ACH-000160,-0.595250828997
ACH-000163,-0.9112634779790001
ACH-000167,-0.515692891861
ACH-000168,-0.83468479324
ACH-000169,-0.612734735446
ACH-000178,-0.851345188819
ACH-000182,-0.565624721799
ACH-000183,-0.624431066883
ACH-000188,-0.5736996266409999
ACH-000189,-0.5542516138629999
ACH-000190,-0.605546669928
ACH-000198,-0.171354789474
ACH-000204,-1.07510583109
ACH-000206,-0.46839082298
ACH-000207,-0.477035185664
ACH-000211,-0.38805986988499996
ACH-000215,-0.470740720748
ACH-000221,-0.135606776603
ACH-000222,-0.592043562571
ACH-000223,-0.367520194664
ACH-000226,-0.36145379532300004
ACH-000227,-0.45687973360600004
ACH-000228,-0.616908443474
ACH-000231,-0.328312488249
ACH-000232,-0.679936871305
ACH-000233,-0.284458205895
ACH-000234,-0.36731492968
ACH-000235,-0.854786033851
ACH-000237,-0.380580870426
ACH-000238,-0.446558595194
ACH-000243,-0.6905624035060001
ACH-000244,-0.8793890144650001
ACH-000246,-0.5755323547600001
ACH-000248,-0.617618319039
ACH-000250,-0.55280493461
ACH-000251,-0.9505630123450001
ACH-000253,-0.264331164006
ACH-000255,-0.5351728963260001
ACH-000256,-0.504678929542
ACH-000257,-0.47168958507200004
ACH-000258,-0.46228280258500004
ACH-000259,-0.5853855180340001
ACH-000260,-0.7358374798549999
ACH-000261,-0.46662080577299997
ACH-000262,-0.621280102706
ACH-000263,-0.665234769142
ACH-000264,-0.284706287359
ACH-000265,-0.322850209582
ACH-000266,-0.999577954947
ACH-000272,-0.697430784087
ACH-000273,-0.773785241823
ACH-000274,-1.0435716689899999
ACH-000277,-0.48934881210500003
ACH-000278,-0.586476015192
ACH-000279,-0.563537224039
ACH-000280,-0.419329450363
ACH-000281,-1.27833053985
ACH-000288,-0.6991383166240001
ACH-000291,-0.943051125845
ACH-000293,-0.42223298124200004
ACH-000294,-0.8154092718770001
ACH-000295,-0.5716559142350001
ACH-000296,-0.26630281264600003
ACH-000302,-0.609240505393
ACH-000304,-0.527165356502
ACH-000307,-0.6737874113160001
ACH-000308,-0.373597895708
ACH-000310,-0.27022140994800004
ACH-000311,-0.732997999802
ACH-000312,-0.478895533883
ACH-000315,-0.27536918018
ACH-000316,-0.6281476842
ACH-000317,-0.494934343154
ACH-000318,-0.632028304092
ACH-000319,-0.333927969773
ACH-000320,-0.52330058085
ACH-000322,-0.46620129618100004
ACH-000323,-0.46439586151699996
ACH-000324,-0.466723920164
ACH-000329,-0.42153413885499996
ACH-000330,-0.636516691561
ACH-000331,-0.991174305596
ACH-000332,-1.00493301548
ACH-000334,-0.321293097736
ACH-000335,-0.583987529584
ACH-000336,-0.49712644284199997
ACH-000337,-0.378649845237
ACH-000339,-0.6838364035060001
ACH-000341,-0.282761197707
ACH-000348,-0.564495339917
ACH-000350,-0.48109918616
ACH-000352,-0.340113218204
ACH-000356,-0.47213535218900005
ACH-000361,-0.37376458664800005
ACH-000362,-0.423884311091
ACH-000363,-0.7688850329699999
ACH-000364,-0.894451055357
ACH-000365,-0.563185636995
ACH-000366,-0.620818385243
ACH-000368,-0.463655099966
ACH-000374,-0.545318499963
ACH-000375,-0.618279397499
ACH-000376,-0.34327333019199996
ACH-000381,-0.600787671677
ACH-000383,-0.39700882600599996
ACH-000387,-0.133757273511
ACH-000389,-0.37223216244699997
ACH-000390,-0.469710014261
ACH-000393,-0.437307507138
ACH-000395,-0.98360479971
ACH-000397,-0.380363364407
ACH-000401,-0.865022943228
ACH-000402,-0.756667903805
ACH-000403,-0.686820293613
ACH-000404,-0.7649177518320001
ACH-000406,-0.49941139441699994
ACH-000407,-0.8113274557790001
ACH-000408,-0.67957410807
ACH-000410,-0.817616974688
ACH-000411,-0.41482062978600004
ACH-000414,-0.44046416834299995
ACH-000415,-0.394220047165
ACH-000416,-0.9206196878309999
ACH-000420,-0.7335694011339999
ACH-000421,-0.6663642530789999
ACH-000424,-0.91087008827
ACH-000425,-0.61562357811
ACH-000426,-0.7520933726890001
ACH-000427,-0.320518648283
ACH-000433,-0.330952867035
ACH-000436,-0.455636581968
ACH-000444,-0.422918585402
ACH-000445,-0.695645469382
ACH-000448,-0.563674616797
ACH-000450,-0.553997301156
ACH-000452,-0.567669360473
ACH-000454,-0.8661948758399999
ACH-000458,-0.7753452111399999
ACH-000459,-0.07719592051930001
ACH-000460,-0.796820244262
ACH-000461,-0.586312013533
ACH-000463,-0.628731703001
ACH-000464,-0.771329967566
ACH-000466,-0.9570772862620001
ACH-000467,-0.47810312955
ACH-000468,-0.9591652115539999
ACH-000469,-0.48963425364200003
ACH-000470,-0.815037087016
ACH-000471,-0.819865198465
ACH-000472,-0.5840534016910001
ACH-000473,-0.707131528584
ACH-000475,-0.604718964774
ACH-000476,-0.295999797783
ACH-000477,-0.7276896102760001
ACH-000480,-1.0141700710600001
ACH-000481,-0.390127472743
ACH-000483,-0.863829911515
ACH-000484,-0.374468074551
ACH-000485,-0.814859357101
ACH-000486,-0.456953022968
ACH-000487,-0.546990736606
ACH-000488,-0.331505054575
ACH-000490,-0.78260244928
ACH-000491,-0.644294284879
ACH-000495,-0.405264489047
ACH-000496,-0.630739292791
ACH-000499,-0.295022960101
ACH-000500,-0.152774011884
ACH-000502,-1.01743315434
ACH-000503,-0.38908989832199997
ACH-000505,-0.671037719778
ACH-000507,-0.9573674739229999
ACH-000510,-0.643231073584
ACH-000511,-0.776794207405
ACH-000512,-0.526855426089
ACH-000516,-0.54412942017
ACH-000517,-0.7182997441500001
ACH-000518,-0.5207896922699999
ACH-000520,-0.5919268651
ACH-000521,-0.785681772361
ACH-000522,-0.660111218195
