,PTDSS1 (9791)
ACH-000004,-0.445823455054
ACH-000007,-0.504432760947
ACH-000009,-0.214844149979
ACH-000011,-0.256093799731
ACH-000012,-0.544414693136
ACH-000013,-0.237484632551
ACH-000014,-0.144040237
ACH-000015,-0.985990740248
ACH-000017,-0.147352187291
ACH-000018,-0.0875181433237
ACH-000019,-0.19928995416099998
ACH-000021,-0.5665001721549999
ACH-000022,-0.470528078655
ACH-000025,-0.8687360461329999
ACH-000028,-0.40182975947800004
ACH-000030,-0.21787837805799998
ACH-000035,-0.234570799021
ACH-000036,-0.23386279348900002
ACH-000037,-0.433192800224
ACH-000039,-0.189940726338
ACH-000040,-0.518237084999
ACH-000041,-0.325436666994
ACH-000042,-0.633398359936
ACH-000045,0.361089456824
ACH-000047,-0.281037393827
ACH-000052,-0.49655234353
ACH-000053,-0.278839140859
ACH-000054,-0.25052447190099997
ACH-000055,-0.255178580602
ACH-000060,-0.479809181325
ACH-000067,-0.157646254706
ACH-000070,-0.12254397981699999
ACH-000075,-0.0844037242003
ACH-000078,-0.054272127130899996
ACH-000082,-0.276597944703
ACH-000085,-0.16593585360500002
ACH-000086,-0.419115427285
ACH-000087,-0.23975425006999998
ACH-000092,-0.8304927776700001
ACH-000095,-0.08877093120380002
ACH-000097,-0.220463977377
ACH-000098,-0.689398528433
ACH-000099,-0.0406808251583
ACH-000108,-0.961313573608
ACH-000113,-0.0952224985372
ACH-000115,-0.400164177442
ACH-000116,-0.268937076532
ACH-000118,-0.735881597082
ACH-000120,-0.0815929557024
ACH-000123,-0.101515041058
ACH-000127,-0.11312422285399999
ACH-000128,-0.6871561281499999
ACH-000132,-0.193678653675
ACH-000133,-1.0019282816700001
ACH-000137,-0.118834212811
ACH-000138,-0.836997671013
ACH-000142,-0.597512838776
ACH-000143,-0.20691899090399998
ACH-000146,-0.29441684527199996
ACH-000148,-0.272269039326
ACH-000150,-0.547835867183
ACH-000152,-0.24334164096500002
ACH-000153,-0.155583671931
ACH-000159,-0.306891299641
ACH-000160,-0.540604368376
ACH-000163,-0.5766737452699999
ACH-000167,-0.8495552303280001
ACH-000168,-0.34235851573799997
ACH-000169,-0.589896586613
ACH-000178,-0.34489670651999993
ACH-000182,-0.316847804353
ACH-000183,-0.184408327945
ACH-000188,-0.699172168056
ACH-000189,-0.29552964685
ACH-000190,-0.988434061924
ACH-000198,-0.11299647528
ACH-000204,-0.0205063511799
ACH-000206,-0.7602675734250001
ACH-000207,0.0947380161218
ACH-000211,-0.14726585412499998
ACH-000215,-0.5377703823969999
ACH-000221,-0.570993926913
ACH-000222,-0.6609037041120001
ACH-000223,-0.565180514803
ACH-000226,-0.243630317507
ACH-000227,-0.349109112227
ACH-000228,-0.116473869013
ACH-000231,-0.339471569572
ACH-000232,-0.8766028024439999
ACH-000233,-0.56137286946
ACH-000234,-0.310696075651
ACH-000235,-0.36394016929399997
ACH-000237,-0.455444498504
ACH-000238,-0.50487595893
ACH-000243,-0.0957913630322
ACH-000244,-0.232783104341
ACH-000246,-0.232354163791
ACH-000248,-0.297401498136
ACH-000250,-0.305543077193
