,CCSAP (126731)
ACH-000004,-0.23977408620000001
ACH-000007,-0.561540196424
ACH-000009,-0.346169278402
ACH-000011,-0.347450183027
ACH-000012,-0.24764592273000002
ACH-000013,-0.243525985744
ACH-000014,-0.00317601608633
ACH-000015,-0.256026094661
ACH-000017,-0.227501568706
ACH-000018,-0.5564636542670001
ACH-000019,-0.259535776689
ACH-000021,-0.164771413473
ACH-000022,-0.0652894495003
ACH-000025,-0.00297893548879
ACH-000028,-0.0397795957314
ACH-000030,-0.269967205645
ACH-000035,0.00911040827565
ACH-000036,-0.332851269424
ACH-000037,-0.26456987733000004
ACH-000039,-0.450056074091
ACH-000040,-0.40127928698
ACH-000041,-0.249151746672
ACH-000042,-0.23860521761999998
ACH-000045,-0.231613398917
ACH-000047,-0.16823982865899997
ACH-000052,-0.218258252098
ACH-000053,-0.340616925866
ACH-000054,-0.360508870682
ACH-000055,-0.136151658561
ACH-000060,-0.142810425956
ACH-000067,-0.139061265687
ACH-000070,-0.38484424120899996
ACH-000075,-0.535536737182
ACH-000078,0.0918318315717
ACH-000082,-0.19205325393
ACH-000085,-0.0617428751805
ACH-000086,-0.23107238064399999
ACH-000087,-0.084202152974
ACH-000092,-0.267630936837
ACH-000095,-0.415738207924
ACH-000097,-0.154042773506
ACH-000098,-0.322742116785
ACH-000099,-0.12742739525900001
ACH-000108,-0.238574847355
ACH-000113,-0.217709386841
ACH-000115,-0.135418772362
ACH-000116,-0.142890662785
ACH-000118,-0.0253564412426
ACH-000120,-0.0728445128175
ACH-000123,-0.126671906566
ACH-000127,-0.0368829104841
ACH-000128,-0.280943039252
ACH-000132,-0.08003387110469999
ACH-000133,-0.09124673361300001
ACH-000137,-0.303951714318
ACH-000138,-0.256500069126
ACH-000142,-0.44825500339900004
ACH-000143,-0.08982396513900001
ACH-000146,-0.218907583642
ACH-000148,-0.07890563859560001
ACH-000150,-0.187157856316
ACH-000152,-0.095537093012
ACH-000153,-0.309997590108
ACH-000159,-0.185847683321
ACH-000160,-0.127269080846
ACH-000163,-0.256713825881
ACH-000167,0.103444463664
ACH-000168,-0.17264318217900002
ACH-000169,-0.5049179022429999
ACH-000178,-0.267125112016
ACH-000182,-0.21225958096
ACH-000183,-0.220427755548
ACH-000188,-0.14760287580700002
ACH-000189,-0.401163690662
ACH-000190,-0.380099704772
ACH-000198,-0.154093177632
