,PAEP (5047)
ACH-000004,-0.045105559735
ACH-000007,-0.0357426062862
ACH-000009,-0.209995154612
ACH-000011,-0.284420192731
ACH-000012,-0.280658479648
ACH-000013,-0.26245355508699997
ACH-000014,-0.30001564072299997
ACH-000015,-0.237054191849
ACH-000017,-0.272967051105
ACH-000018,-0.49914625191399997
ACH-000019,-0.34159258575499996
ACH-000021,-0.187597794888
ACH-000022,-0.16398019030799998
ACH-000025,-0.202726975363
ACH-000028,0.045664677302599994
ACH-000030,-0.09074673280239999
ACH-000035,-0.0661833568026
ACH-000036,-0.0638386342936
ACH-000037,0.0337384896958
ACH-000039,-0.0763308065977
ACH-000040,-0.250641353294
ACH-000041,-0.198178808013
ACH-000042,-0.221405511408
ACH-000045,-0.305054165743
ACH-000047,-0.29933889098600003
ACH-000052,-0.13119528284600002
ACH-000053,-0.144885302492
ACH-000054,-0.04124307126519999
ACH-000055,-0.134966962196
ACH-000060,-0.187036067266
ACH-000067,-0.266597766244
ACH-000070,-0.133260203439
ACH-000075,-0.145365959597
ACH-000078,-0.338261709055
ACH-000082,-0.027608279298400002
ACH-000085,-0.0699389728033
ACH-000086,-0.239621871569
ACH-000087,-0.122111145325
ACH-000092,-0.135240904451
ACH-000095,-0.07072836112000001
ACH-000097,-0.199431178709
ACH-000098,-0.06671391085509999
ACH-000099,-0.280539713825
ACH-000108,-0.0347855778445
ACH-000113,-0.076902399253
ACH-000115,-0.32041254933200003
ACH-000116,-0.0560520031508
ACH-000118,-0.188566507721
ACH-000120,-0.08717138289729999
ACH-000123,-0.027999166542400002
ACH-000127,-0.117373247618
ACH-000128,-0.19978073916900002
ACH-000132,-0.258842484517
ACH-000133,-0.0412620421015
ACH-000137,-0.332955961301
ACH-000138,-0.141519065634
ACH-000142,-0.0811146335463
ACH-000143,0.194736302427
ACH-000146,-0.286516194436
ACH-000148,-0.09389621226980001
ACH-000150,-0.022122342799400004
ACH-000152,-0.25146330456300003
ACH-000153,0.0673645357378
ACH-000159,-0.033968359153
ACH-000160,-0.207415970215
ACH-000163,-0.115824877765
ACH-000167,-0.522586888023
ACH-000168,-0.331729649533
ACH-000169,-0.265671262503
ACH-000178,0.0070334300861599995
ACH-000182,-0.103733883838
ACH-000183,-0.354077720202
ACH-000188,-0.250033240715
ACH-000189,-0.423609300122
ACH-000190,-0.113660395713
ACH-000198,-0.232309928486
ACH-000204,0.05090373654080001
ACH-000206,0.10495771975
ACH-000207,-0.139475082719
ACH-000211,-0.207149298097
ACH-000215,-0.259182392133
ACH-000221,-0.200290760902
ACH-000222,-0.503074854799
ACH-000223,-0.009414527828479999
ACH-000226,-0.12584811414799998
ACH-000227,-0.221675217709
ACH-000228,-0.0937255396976
ACH-000231,-0.238911636935
ACH-000232,-0.12809467032400002
ACH-000233,-0.316719872035
ACH-000234,-0.0927146684704
ACH-000235,-0.15940995105
ACH-000237,-0.297778071508
ACH-000238,-0.276752564974
ACH-000243,-0.0387331160258
ACH-000244,-0.452346420252
ACH-000246,-0.24581745792399998
ACH-000248,-0.15069597308399998
ACH-000250,-0.177320186717
ACH-000251,-0.421408358411
ACH-000253,-0.21334811337
ACH-000255,-0.17916461924000002
ACH-000256,-0.19503847225600002
ACH-000257,-0.105727948861
ACH-000258,-0.0628406578052
ACH-000259,-0.227528369956
ACH-000260,-0.0976682267902
ACH-000261,-0.184305067634
ACH-000262,-0.102373281237
ACH-000263,-0.23288470463000002
ACH-000264,-0.234371453935
ACH-000265,-0.316488810506
ACH-000266,-0.235790732972
ACH-000272,-0.156721640484
ACH-000273,-0.09382817945760001
ACH-000274,-0.34817532296899995
ACH-000277,-0.183646995986
ACH-000278,-0.08208936463880001
ACH-000279,-0.173620436684
