,SEPHS2 (22928)
ACH-000004,-1.08903576725
ACH-000007,-0.450751992309
ACH-000009,-0.474562804341
ACH-000011,-1.42762397881
ACH-000012,-1.42235597098
ACH-000013,-0.799200385311
ACH-000014,-0.932263833284
ACH-000015,-0.8087383939399999
ACH-000017,-0.64877118029
ACH-000018,-1.41300631295
ACH-000019,-0.5071660402
ACH-000021,-2.07140058408
ACH-000022,-0.32330031227899997
ACH-000025,-1.5353971307499998
ACH-000028,-0.770955163321
ACH-000030,-0.736674371854
ACH-000035,-1.41815121851
ACH-000036,-0.540708845967
ACH-000037,-1.16297501935
ACH-000039,-1.6261764475100002
ACH-000040,-0.538368113787
ACH-000041,-1.4872449076700003
ACH-000042,-0.391732172968
ACH-000045,-1.13255102087
ACH-000047,-0.9721317976430001
ACH-000052,-1.46783305449
ACH-000053,-1.66875275279
ACH-000054,-1.4102227637600002
ACH-000055,-1.3653215561200003
ACH-000060,-0.275026342647
ACH-000067,-0.182410510048
ACH-000070,-1.39877722253
ACH-000075,-0.507410275096
ACH-000078,-0.685216166229
ACH-000082,-0.800340294921
ACH-000085,-0.354909893741
ACH-000086,-0.343104301465
ACH-000087,-1.39633582527
ACH-000092,-0.441965852023
ACH-000095,-1.45412416426
ACH-000097,-0.473339595277
ACH-000098,-0.5970838777740001
ACH-000099,-1.44502153458
ACH-000108,-0.47774766636200006
ACH-000113,-1.23114743363
ACH-000115,-0.618076802284
ACH-000116,-0.8324383307459999
ACH-000118,-0.339455886875
ACH-000120,-0.70854301333
ACH-000123,-1.16313516513
ACH-000127,-0.9440784930859999
ACH-000128,-1.11408254514
ACH-000132,-1.89882426128
ACH-000133,-1.37216641838
ACH-000137,-0.64519564061
ACH-000138,-0.616404019884
ACH-000142,-0.6202711679890001
ACH-000143,-1.14087394547
ACH-000146,-0.734644921202
ACH-000148,-0.873508188353
ACH-000150,-1.6345014073500002
ACH-000152,-1.24831978924
ACH-000153,-0.604946517282
ACH-000159,-1.88508959567
ACH-000160,-0.465278741931
ACH-000163,-0.47068961016099997
ACH-000167,-1.05788556477
ACH-000168,-1.18703842175
ACH-000169,-0.477666118812
ACH-000178,-0.999443099458
ACH-000182,-0.644057319013
ACH-000183,-1.4534247002399998
ACH-000188,-0.529557652416
ACH-000189,-1.5870138500600002
ACH-000190,-0.574001399815
ACH-000198,-1.0865123206899998
ACH-000204,-1.24687455736
ACH-000206,-1.26062788452
ACH-000207,-0.308739777215
ACH-000211,-1.8853640370599998
ACH-000215,-0.212727029657
ACH-000221,-0.649877420855
ACH-000222,-0.799102930729
ACH-000223,-1.04596205283
ACH-000226,-1.1799502863299998
ACH-000227,-1.15372231531
ACH-000228,-0.991452173253
ACH-000231,-0.756057689706
ACH-000232,-0.303126212064
ACH-000233,-1.2237453038600001
ACH-000234,-1.76433366688
ACH-000235,-0.8631180026999999
ACH-000237,-0.7572744096259999
ACH-000238,-0.27214457465799996
ACH-000243,-1.02663703633
ACH-000244,-0.859614549849
ACH-000246,-1.47742742774
ACH-000248,-0.631444585577
ACH-000250,-1.48994152386
ACH-000251,-1.44171591782
ACH-000253,-0.352218600137
ACH-000255,-0.46800912194
ACH-000256,-1.29933442876
ACH-000257,-1.1087122816500001
ACH-000258,-0.65305786526
ACH-000259,-1.67187663739
ACH-000260,-1.41267744007
ACH-000261,-1.7446361998
ACH-000262,-0.777910479683
ACH-000263,-1.17304882842
ACH-000264,-0.574720240117
ACH-000265,-1.5662804245299997
ACH-000266,-1.4676341858500002
ACH-000272,-1.23542468662
ACH-000273,-1.17520183017
ACH-000274,-0.777787554858
ACH-000277,-0.21073049799000002
ACH-000278,-0.782905687411
ACH-000279,-1.33663799466
ACH-000280,-0.5083037802679999
ACH-000281,-2.14901857002
ACH-000288,-0.8862155155789999
ACH-000291,-0.37724743648500003
ACH-000293,-0.583187989808
ACH-000294,-2.22261913966
ACH-000295,-0.773194422793
ACH-000296,-0.46150780296599997
ACH-000302,-1.0111639226
ACH-000304,-0.488883768828
ACH-000307,-0.668497204591
ACH-000308,-1.02806028234
ACH-000310,-0.630111718486
ACH-000311,-0.39842276778200003
ACH-000312,-0.6955099282539999
ACH-000315,-1.26400243828
ACH-000316,-0.946157228484
ACH-000317,-1.9467808575299999
ACH-000318,-0.41089177634
ACH-000319,-0.904256383675
ACH-000320,-0.847411450664
ACH-000322,-0.731908974484
ACH-000323,-0.580727041813
ACH-000324,-0.598582333913
ACH-000329,-0.433024662396
ACH-000330,-0.8846941569210001
ACH-000331,-0.438973724405
ACH-000332,-0.416041949087
ACH-000334,-1.0959568850299999
ACH-000335,-0.8743209516689999
ACH-000336,-1.2146662373200001
ACH-000337,-1.34491152045
ACH-000339,-1.9024195055200002
ACH-000341,-0.646999011147
ACH-000348,-2.0186005333700003
ACH-000350,-0.517710410603
ACH-000352,-0.19511278166999999
ACH-000356,-0.5048295815739999
ACH-000361,-0.648539109501
ACH-000362,-1.3917820074899998
ACH-000363,-1.5085918926
ACH-000364,-0.27223288983000005
ACH-000365,-1.35386768231
ACH-000366,-1.80361682586
ACH-000368,-0.584049893548
ACH-000374,-1.01826917442
ACH-000375,-1.46153191988
ACH-000376,-0.45644421386000006
ACH-000381,-0.439687237477
ACH-000383,-0.440739652711
ACH-000387,-0.546354596603
ACH-000389,-0.374242081302
ACH-000390,-0.500804046141
ACH-000393,-1.89662797819
ACH-000395,-0.411831460026
ACH-000397,-1.26004774051
ACH-000401,-1.4639775463299998
ACH-000402,-1.0905229255700002
ACH-000403,-0.456717332601
ACH-000404,-0.989522356731
ACH-000406,-1.8952521443299999
ACH-000407,-0.799933047675
ACH-000408,-0.823248528624
ACH-000410,-0.7177862512209999
ACH-000411,-0.36446551770900004
ACH-000414,-0.90494035835
ACH-000415,-0.48015306136200003
ACH-000416,-1.332938595
ACH-000420,-0.7435729818529999
ACH-000421,-0.48269958743
ACH-000424,-0.60774873876
ACH-000425,-0.642907386301
ACH-000426,-0.961775016644
ACH-000427,-0.357998570506
ACH-000433,-1.01508193542
ACH-000436,-1.66486099384
ACH-000444,-0.24504060421100002
ACH-000445,-0.514556188411
ACH-000448,-0.373746273689
ACH-000450,-1.17590698008
ACH-000452,-0.776495841648
ACH-000454,-0.850665354692
ACH-000458,-1.1729828045200001
ACH-000459,-2.30102350152
ACH-000460,-1.52568892913
ACH-000461,-0.397294720372
ACH-000463,-0.39957445284599996
ACH-000464,-0.497433694323
ACH-000466,-0.531934245085
ACH-000467,-0.43082466434199995
ACH-000468,-1.21719165502
ACH-000469,-0.336162385822
ACH-000470,-1.11416146876
ACH-000471,-0.41440603934799997
