,G0S2 (50486)
ACH-000004,0.049339254783
ACH-000007,-0.295765591043
ACH-000009,-0.0270495802808
ACH-000011,-0.154097256131
ACH-000012,-0.0135453902636
ACH-000013,0.0116344105031
ACH-000014,-0.0960993631855
ACH-000015,0.0930137561668
ACH-000017,-0.008132913875760001
ACH-000018,-0.0756196690162
ACH-000019,-0.152002793499
ACH-000021,-0.185348346148
ACH-000022,0.0153009968781
ACH-000025,0.0312125424989
ACH-000028,-0.0433767380265
ACH-000030,0.117220414376
ACH-000035,0.133925486508
ACH-000036,-0.019975223780499998
ACH-000037,0.143286784862
ACH-000039,0.255050949077
ACH-000040,0.0540657110736
ACH-000041,0.09785182790069999
ACH-000042,0.214509960232
ACH-000045,0.140963366088
ACH-000047,0.0906328403356
ACH-000052,-0.19466484474800003
ACH-000053,0.06943237954760001
ACH-000054,0.134536408729
ACH-000055,0.0260643624821
ACH-000060,0.0943435443771
ACH-000067,0.166490974394
ACH-000070,0.0370461439524
ACH-000075,0.012300280948600001
ACH-000078,-0.0306655382153
ACH-000082,-0.0215401230174
ACH-000085,-0.157103677781
ACH-000086,-0.1449241681
ACH-000087,0.037132631158199994
ACH-000092,0.137786582348
ACH-000095,-0.00939972450071
ACH-000097,-0.00225442622134
ACH-000098,0.035571867743599994
ACH-000099,-0.0664826559131
ACH-000108,0.0033924713907299998
ACH-000113,-0.0913611373817
ACH-000115,-0.10716502287
ACH-000116,0.106689643705
ACH-000118,-0.0355926026428
ACH-000120,-0.101000988898
ACH-000123,0.199335374326
ACH-000127,-0.0983638554985
ACH-000128,-0.0133875784667
ACH-000132,0.00923709606815
ACH-000133,-0.0030467743716100005
ACH-000137,-0.294611648268
ACH-000138,0.100953960699
ACH-000142,0.0718341296578
ACH-000143,-0.0234976362017
ACH-000146,-0.0426046312546
ACH-000148,0.08697383053510001
ACH-000150,-0.126143330972
ACH-000152,0.114609150989
ACH-000153,0.246481506924
ACH-000159,0.0338575777497
ACH-000160,0.014655011681299998
ACH-000163,0.00037210130792300004
ACH-000167,-0.26150352471099997
ACH-000168,0.121907104798
ACH-000169,-0.0375133279494
ACH-000178,-0.110748898884
ACH-000182,0.150681423063
ACH-000183,0.0511333317766
ACH-000188,0.0952736233618
ACH-000189,-0.0961624778915
ACH-000190,0.19953489734700003
ACH-000198,0.0394826645066
ACH-000204,0.25329732141
ACH-000206,-0.0209843262662
ACH-000207,-0.00798697673686
ACH-000211,0.0287553303313
ACH-000215,-0.0482324528394
ACH-000221,-0.0761056865058
ACH-000222,-0.0050319031788100006
ACH-000223,-0.0584185613578
ACH-000226,-0.0359795353253
ACH-000227,-0.20472379710400002
ACH-000228,-0.009963844246540001
ACH-000231,-0.084428088794
ACH-000232,0.022052923694299998
ACH-000233,-0.0141283881859
ACH-000234,-0.177449495446
ACH-000235,0.0597335407211
ACH-000237,0.105679836579
ACH-000238,-0.170311845779
ACH-000243,0.06099603717180001
ACH-000244,0.21302734149799998
ACH-000246,-0.07230414981760001
ACH-000248,0.155720740724
ACH-000250,0.11669003394300001
ACH-000251,0.141911751662
ACH-000253,0.10927312394300001
ACH-000255,-0.153737956345
ACH-000256,0.030211903491700002
ACH-000257,0.150478119837
ACH-000258,-0.25918877451
ACH-000259,0.0039870235526599995
