,NT5C2 (22978)
ACH-000004,-0.11570737269999999
ACH-000007,-0.0888205527503
ACH-000009,-0.0418275348564
ACH-000011,0.00186750541215
ACH-000012,0.012910580365799998
ACH-000013,-0.05063805456999999
ACH-000014,0.012198738483799999
ACH-000015,-0.0742848070742
ACH-000017,0.0941849307274
ACH-000018,0.137848098884
ACH-000019,0.0322909944729
ACH-000021,-0.0172613967457
ACH-000022,0.017529494982599998
ACH-000025,-0.161326876482
ACH-000028,-0.0205067082319
ACH-000030,-0.0397141819508
ACH-000035,0.0822326471063
ACH-000036,-0.091730977201
ACH-000037,-0.0575897536455
ACH-000039,-0.164717765506
ACH-000040,-0.0869022628148
ACH-000041,-0.0761205474415
ACH-000042,-0.061686379034799996
ACH-000045,0.15990321730499998
ACH-000047,-0.027811984095000002
ACH-000052,-0.07355338475289999
ACH-000053,0.03574745852919999
ACH-000054,-0.106112883537
ACH-000055,-0.058483485939400004
ACH-000060,-0.0845855216903
ACH-000067,-0.196101104375
ACH-000070,0.159228175464
ACH-000075,-0.20637232897
ACH-000078,-0.11685621715399999
ACH-000082,0.164208272979
ACH-000085,-0.0911339338151
ACH-000086,-0.034269885906400004
ACH-000087,0.15388531126
ACH-000092,0.0749282702312
ACH-000095,-0.176449737127
ACH-000097,-0.033683438371000005
ACH-000098,-0.0650232403689
ACH-000099,-0.265677885658
ACH-000108,-0.0433028439925
ACH-000113,-0.101303504604
ACH-000115,-0.10420560551899999
ACH-000116,-0.0766907097307
ACH-000118,-0.16947895566100002
ACH-000120,-0.136496274049
ACH-000123,-0.10003267450200001
ACH-000127,-0.10883301253699999
ACH-000128,0.0118142422618
ACH-000132,-0.039593194831300006
ACH-000133,-0.0319778553107
ACH-000137,0.16440480478800001
ACH-000138,0.037372139743499996
ACH-000142,0.039012097136699994
ACH-000143,-0.08322558368430001
ACH-000146,-0.048149356445899995
ACH-000148,-0.225792496397
ACH-000150,0.00856597922635
ACH-000152,0.026026919881700004
ACH-000153,-0.173514806273
ACH-000159,-0.0459884840211
ACH-000160,-0.07327955839980001
ACH-000163,-0.179706472194
ACH-000167,-0.382786690188
ACH-000168,-0.1705401429
ACH-000169,-0.0970529361699
ACH-000178,-0.0045842548555799995
ACH-000182,-0.07861976824110001
ACH-000183,0.136581571372
ACH-000188,-0.0168033268254
ACH-000189,0.040056094594300005
ACH-000190,-0.20107878242
ACH-000198,-0.0396507851443
ACH-000204,-0.0803262308075
ACH-000206,0.091061843924
ACH-000207,-0.131902692567
ACH-000211,-0.142483401285
ACH-000215,-0.0533624246521
ACH-000221,0.0594608661704
ACH-000222,-0.0686393105555
ACH-000223,-0.16795000854699998
ACH-000226,-0.0615754844056
ACH-000227,-0.182584018263
ACH-000228,-0.12531250034900002
ACH-000231,-0.0923618567036
ACH-000232,-0.0238984238668
ACH-000233,-0.118411655682
ACH-000234,-0.0009321891230910001
ACH-000235,-0.12738585595000002
ACH-000237,-0.0280703930002
ACH-000238,0.08047531673510001
ACH-000243,-0.134218216326
ACH-000244,-0.09983194829089999
ACH-000246,-0.144444333283
ACH-000248,-0.0836444174045
ACH-000250,0.0302992583713
ACH-000251,-0.0329615483233
ACH-000253,-0.0587398739573
ACH-000255,-0.12009091148800001
ACH-000256,-0.272648584639
ACH-000257,0.04430129878380001
ACH-000258,-0.055565329763400007
ACH-000259,-0.119514736395
ACH-000260,-0.00589032582719
ACH-000261,-0.10828247548
ACH-000262,0.052254621856300004
ACH-000263,-0.10362532354800001
ACH-000264,-0.055268414646
ACH-000265,-0.064040350878
ACH-000266,-0.0561285301941
ACH-000272,-0.140687951298
ACH-000273,-0.0748335567074
ACH-000274,-0.0538751199203
ACH-000277,0.0283009695677
ACH-000278,-0.12206774523
ACH-000279,-0.06833724627809999
