,TRA2B (6434)
ACH-000004,-1.07712028597
ACH-000007,-0.41674269056999996
ACH-000009,-1.0638295633900001
ACH-000011,-1.10082100824
ACH-000012,-0.341017505867
ACH-000013,-0.781733473144
ACH-000014,-0.9419272776890001
ACH-000015,-1.0019034219299998
ACH-000017,-0.532916831695
ACH-000018,-0.748215329324
ACH-000019,-0.871358965141
ACH-000021,-0.29564878089499996
ACH-000022,-0.452157807438
ACH-000025,-0.8320650513660001
ACH-000028,-0.9988107153720001
ACH-000030,-0.42066176103299996
ACH-000035,-0.380141588869
ACH-000036,-0.582261394297
ACH-000037,-0.620115770291
ACH-000039,-0.5435494143540001
ACH-000040,-0.5069461241969999
ACH-000041,-1.2160609954500001
ACH-000042,-0.481305865054
ACH-000045,-0.771823272042
ACH-000047,-0.623793367409
ACH-000052,-0.931975247703
ACH-000053,-0.8849109702269999
ACH-000054,-0.759565018314
ACH-000055,-0.814566905907
ACH-000060,-0.6583647687340001
ACH-000067,-0.7825883176890001
ACH-000070,-0.931728105333
ACH-000075,-0.529122684981
ACH-000078,-0.650008532612
ACH-000082,-0.391658619029
ACH-000085,-0.657546098873
ACH-000086,-0.710577753303
ACH-000087,-0.8663506411949999
ACH-000092,-1.01747561439
ACH-000095,-0.925575514117
ACH-000097,-0.5351822898399999
ACH-000098,-0.836289127474
ACH-000099,-0.8175877714859999
ACH-000108,-0.513029874126
ACH-000113,-0.671618139887
ACH-000115,-1.1093502008299998
ACH-000116,-0.577844691677
ACH-000118,-0.46072585365099994
ACH-000120,-0.900821068309
ACH-000123,-0.8704176859139999
ACH-000127,-0.736825022992
ACH-000128,-1.3114646063600002
ACH-000132,-0.915533428204
ACH-000133,-0.49000033344300004
ACH-000137,-0.49240164590400004
ACH-000138,-0.938102606926
ACH-000142,-0.396324811698
ACH-000143,-0.348861407231
ACH-000146,-1.29867137168
ACH-000148,-0.541544244401
ACH-000150,-0.658455734533
ACH-000152,-0.793870777288
ACH-000153,-1.3204913399299998
ACH-000159,-0.6719333236599999
ACH-000160,-0.58943678111
ACH-000163,-0.48549628603999995
ACH-000167,-0.507931008589
ACH-000168,-0.7651094102439999
ACH-000169,-0.7646333240019999
ACH-000178,-0.831172079016
ACH-000182,-0.800598852339
ACH-000183,-0.591733546466
ACH-000188,-0.464079331346
ACH-000189,-0.968237398971
ACH-000190,-0.8409241701719999
ACH-000198,-0.799769460766
ACH-000204,-0.320789864526
ACH-000206,-0.915779964736
ACH-000207,-0.7006592748010001
ACH-000211,-0.6818639509729999
ACH-000215,-0.5276672258489999
ACH-000221,-1.0678778096600001
ACH-000222,-0.546296013053
ACH-000223,-0.734686990369
ACH-000226,-0.9470101782350001
ACH-000227,-0.959774066453
