,INO80E (283899)
ACH-000004,-0.266708034207
ACH-000007,-0.327112933983
ACH-000009,0.016190919204799998
ACH-000011,-0.249596615503
ACH-000012,-0.365812649061
ACH-000013,-0.40162929780199996
ACH-000014,-0.174512446162
ACH-000015,-0.351628010788
ACH-000017,-0.339846323005
ACH-000018,-0.309498426205
ACH-000019,0.019616995047400002
ACH-000021,-0.315944893379
ACH-000022,-0.21393152503199997
ACH-000025,-0.22701438371
ACH-000028,-0.1994969811
ACH-000030,-0.0832399369148
ACH-000035,-0.33036949084600004
ACH-000036,-0.439633618023
ACH-000037,-0.156963914481
ACH-000039,-0.167668573377
ACH-000040,-0.039090025471199996
ACH-000041,0.044916030037
ACH-000042,0.159622830237
ACH-000045,-0.38197332642
ACH-000047,-0.237168595283
ACH-000052,-0.016418782904900002
ACH-000053,-0.29432824863400003
ACH-000054,-0.057406528838300004
ACH-000055,-0.142696894348
ACH-000060,-0.349405858766
ACH-000067,-0.09505842928889999
ACH-000070,-0.241376208382
ACH-000075,-0.321196250641
ACH-000078,0.0041391499481
ACH-000082,-0.347886633536
ACH-000085,0.17267880960999998
ACH-000086,-0.229703607306
ACH-000087,-0.145467979695
ACH-000092,-0.33923655226899996
ACH-000095,-0.118303004112
ACH-000097,-0.276360158887
ACH-000098,-0.1042187008
ACH-000099,-0.32874044045
ACH-000108,0.0898135670596
ACH-000113,-0.171818348515
ACH-000115,-0.8799383113879999
ACH-000116,-0.191825125097
ACH-000118,-0.390171469893
ACH-000120,-0.173599638047
ACH-000123,-0.058299066101599996
ACH-000127,-0.35052360945600003
ACH-000128,0.080561439489
ACH-000132,-0.068227415281
ACH-000133,-0.338799088844
ACH-000137,-0.157803495449
ACH-000138,-0.161606657487
ACH-000142,-0.422001123756
ACH-000143,0.0827775074111
ACH-000146,-0.34014851848300004
ACH-000148,-0.23977108733600003
ACH-000150,-0.16800083315499997
ACH-000152,0.135579680265
ACH-000153,-0.580255071137
ACH-000159,-0.335369805025
ACH-000160,0.26983420995499996
ACH-000163,-0.154242105701
ACH-000167,-0.0735366841842
ACH-000168,-0.13053511015
ACH-000169,-0.30519002756499997
ACH-000178,-0.350427611184
ACH-000182,-0.233995129607
ACH-000183,-0.495331797245
ACH-000188,0.138082723937
ACH-000189,-0.331318784564
ACH-000190,0.174033876851
ACH-000198,-0.251738119476
ACH-000204,-0.603250610568
ACH-000206,-0.626306865945
ACH-000207,-0.015298508580799999
ACH-000211,-0.360385392434
ACH-000215,-0.307404574479
ACH-000221,-0.282959206973
ACH-000222,-0.700365002323
ACH-000223,-0.215959718347
