,DGCR6L (85359)
ACH-000004,-0.144705948048
ACH-000007,-0.47294142607
ACH-000009,-0.234602780508
ACH-000011,-0.28237365272500003
ACH-000012,-0.35637158019500004
ACH-000013,-0.1836459121
ACH-000014,-0.43801661222099997
ACH-000015,-0.134381414806
ACH-000017,-0.216940116713
ACH-000018,-0.013507399465799999
ACH-000019,-0.279011130272
ACH-000021,-0.330547588369
ACH-000022,-0.146123888395
ACH-000025,-0.335776572337
ACH-000028,-0.278588469935
ACH-000030,-0.39193042378799997
ACH-000035,0.09573152093080001
ACH-000036,-0.237271025144
ACH-000037,-0.399640765669
ACH-000039,-0.519704246756
ACH-000040,-0.33248493384399996
ACH-000041,-0.35127094442699996
ACH-000042,-0.31893867820300004
ACH-000045,-0.441120370195
ACH-000047,-0.178332388501
ACH-000052,-0.18547057799699998
ACH-000053,-0.171624606345
ACH-000054,-0.09434322742660001
ACH-000055,-0.545577404446
ACH-000060,-0.337654865058
ACH-000067,-0.20633360925299998
ACH-000070,-0.00282005906815
ACH-000075,-0.22580031718000002
ACH-000078,-0.275847426518
ACH-000082,-0.449249885717
ACH-000085,-0.0645384309252
ACH-000086,-0.0698356551505
ACH-000087,0.116444032841
ACH-000092,-0.373985472255
ACH-000095,-0.33717740765500004
ACH-000097,-0.184594581718
ACH-000098,-0.240183441122
ACH-000099,-0.426923474515
ACH-000108,-0.254719762934
ACH-000113,-0.09207741324589999
ACH-000115,-0.223008642474
ACH-000116,-0.16481837897600002
ACH-000118,-0.254450243719
ACH-000120,-0.167624587928
ACH-000123,-0.188973903942
ACH-000127,-0.0739680434038
ACH-000128,-0.380185289702
ACH-000132,-0.313478860985
ACH-000133,-0.259566574377
ACH-000137,-0.29739272406100004
ACH-000138,-0.0759916788879
ACH-000142,-0.018117676783
ACH-000143,-0.29545164183600003
ACH-000146,-0.340896089121
ACH-000148,-0.028368840609400002
ACH-000150,-0.108606146569
ACH-000152,-0.09401178587030001
ACH-000153,-0.142038664746
ACH-000159,-0.0311532586832
ACH-000160,-0.0889076896026
ACH-000163,-0.21054741284899997
ACH-000167,-0.0968447181463
ACH-000168,-0.429278374119
ACH-000169,-0.0836865206688
ACH-000178,-0.271564183823
ACH-000182,-0.12919124256
ACH-000183,-0.209477054747
ACH-000188,-0.122450746276
ACH-000189,-0.212672549791
ACH-000190,-0.511815645093
ACH-000198,-0.203873488184
ACH-000204,-0.0706619181747
ACH-000206,-0.6159603195000001
ACH-000207,-0.324411967734
ACH-000211,-0.23880168919199998
ACH-000215,-0.216333084854
ACH-000221,-0.19736899740699998
ACH-000222,-0.180537536946
ACH-000223,-0.35929910435400003
ACH-000226,-0.5459221725869999
ACH-000227,-0.048063090112500005
ACH-000228,0.0149476428954
ACH-000231,-0.271048925848
ACH-000232,-0.41136511054799996
ACH-000233,-0.37186103915700003
ACH-000234,-0.0635763065847
ACH-000235,-0.158592068028
ACH-000237,-0.295820602574
ACH-000238,-0.221360013882
ACH-000243,-0.343350254172
ACH-000244,-0.275341137277
ACH-000246,-0.312862463243
ACH-000248,-0.22562022638
ACH-000250,-0.0747284399857
ACH-000251,-0.025688271165100002
ACH-000253,-0.231049899666
ACH-000255,-0.187052338451
ACH-000256,-0.18144622866300003
ACH-000257,-0.138546113153
ACH-000258,-0.281668576861
ACH-000259,-0.20834016784200002
ACH-000260,-0.30436849685600004
ACH-000261,-0.146684420136
ACH-000262,-0.07859157743049999
ACH-000263,0.18998069709100002
ACH-000264,-0.395341206863
ACH-000265,-0.311140542381
ACH-000266,-0.20195306434799998
ACH-000272,-0.21598270333099998
ACH-000273,-0.185894697641
ACH-000274,-0.187408981096
ACH-000277,-0.131978454823
ACH-000278,-0.354360027018
ACH-000279,-0.011631257290299998
ACH-000280,0.0146230292829
ACH-000281,-0.0330395362271
ACH-000288,-0.0785338088276
ACH-000291,-0.154008972061
ACH-000293,-0.13958409452
ACH-000294,-0.337523432829
ACH-000295,-0.417971736154
ACH-000296,-0.304600396975
ACH-000302,-0.328254357808
ACH-000304,-0.27854167253400003
ACH-000307,-0.211041322925
ACH-000308,-0.10631029988
ACH-000310,-0.545902783939
ACH-000311,-0.1233027407
ACH-000312,-0.194781625177
ACH-000315,-0.18064647642200002
ACH-000316,0.0423656230473
ACH-000317,0.056554361063099995
ACH-000318,-0.17835361842099998
ACH-000319,-0.104540800356
ACH-000320,-0.261728071904
ACH-000322,-0.22872866489
ACH-000323,-0.223211256479
ACH-000324,-0.34018960807899995
ACH-000329,-0.249210866735
ACH-000330,-0.12318976386399999
ACH-000331,-0.14256580224999998
ACH-000332,-0.27117155557399997
ACH-000334,-0.374242801484
ACH-000335,-0.43481596970299996
ACH-000336,0.0645270452987
ACH-000337,-0.477403601937
ACH-000339,-0.109241767878
ACH-000341,-0.640694679146
ACH-000348,-0.0628185028884
ACH-000350,-0.142063534331
ACH-000352,-0.0956129042884
ACH-000356,-0.23220597069899998
ACH-000361,-0.37758688039899996
ACH-000362,-0.303269952987
ACH-000363,-0.118018146326
ACH-000364,-0.011726749061200002
ACH-000365,-0.0283453906695
ACH-000366,-0.156409301063
ACH-000368,-0.150618543085
ACH-000374,-0.16318129724000002
ACH-000375,-0.28693288854000004
ACH-000376,-0.185311984353
ACH-000381,-0.227502805052
ACH-000383,-0.185751532439
ACH-000387,-0.333819152668
ACH-000389,-0.377197729507
ACH-000390,-0.33899426983900005
ACH-000393,-0.300715063926
ACH-000395,-0.35014947942100005
