,ACR (49)
ACH-000004,-0.10701971005899999
ACH-000007,-0.24847656014400002
ACH-000009,-0.274582518396
ACH-000011,-0.448558174227
ACH-000012,-0.24928773914000002
ACH-000013,-0.151604622138
ACH-000014,-0.126995905067
ACH-000015,-0.11324756353599999
ACH-000017,-0.09992971151350001
ACH-000018,-0.303950460821
ACH-000019,-0.0334665879803
ACH-000021,-0.04501388864440001
ACH-000022,-0.232268293056
ACH-000025,-0.308641429364
ACH-000028,-0.200779469076
ACH-000030,-0.363751693863
ACH-000035,-0.12236490755799999
ACH-000036,-0.167002998755
ACH-000037,-0.476934571947
ACH-000039,-0.254103644979
ACH-000040,-0.12941695453
ACH-000041,-0.291209332485
ACH-000042,-0.150895665318
ACH-000045,-0.12459294357
ACH-000047,-0.273732605987
ACH-000052,-0.168241940636
ACH-000053,-0.209987141335
ACH-000054,-0.0653040256604
ACH-000055,-0.11463523118100001
ACH-000060,-0.328925204472
ACH-000067,-0.08699926411869999
ACH-000070,-0.0780139956864
ACH-000075,-0.174490318717
ACH-000078,-0.582805878936
ACH-000082,-0.07924542613480001
ACH-000085,-0.311122281397
ACH-000086,0.152701740842
ACH-000087,-0.421198847154
ACH-000092,-0.008593343675040001
ACH-000095,-0.057703994029099995
ACH-000097,-0.101231376622
ACH-000098,-0.0575855877838
ACH-000099,-0.41329384365099997
ACH-000108,-0.17327041757599998
ACH-000113,-0.170757119535
ACH-000115,-0.162583119722
ACH-000116,-0.0936415775885
ACH-000118,-0.0307252260549
ACH-000120,-0.21060828752799998
ACH-000123,-0.257824392988
ACH-000127,-0.05292225054269999
ACH-000128,-0.140572245664
ACH-000132,-0.122428183875
ACH-000133,0.00155364012848
ACH-000137,-0.222540798036
ACH-000138,0.022839564495999998
ACH-000142,-0.151334902656
ACH-000143,-0.286257484526
ACH-000146,-0.06225465919869999
ACH-000148,-0.264902710029
ACH-000150,-0.23033081017499998
ACH-000152,-0.19488413548099998
ACH-000153,0.106811221984
ACH-000159,-0.0709161061915
ACH-000160,-0.0444296422276
ACH-000163,-0.214734916356
ACH-000167,-0.00115523862418
ACH-000168,-0.0764754190393
ACH-000169,-0.223923183533
ACH-000178,-0.250462761624
ACH-000182,0.018501687713
ACH-000183,0.031450432542500004
ACH-000188,-0.21767771333500002
ACH-000189,-0.390733327737
ACH-000190,0.159560643368
ACH-000198,-0.14493202744699998
ACH-000204,0.0745323212901
ACH-000206,-0.0770846434991
ACH-000207,0.040678895267800004
ACH-000211,-0.200436873093
ACH-000215,-0.0471463247668
ACH-000221,-0.249711855502
ACH-000222,-0.0610948359246
ACH-000223,-0.049628668794099995
ACH-000226,-0.039938708368
ACH-000227,-0.36623691865999997
ACH-000228,0.201293541844
ACH-000231,-0.430164952635
ACH-000232,-0.20494102785999999
ACH-000233,-0.28930586281
ACH-000234,-0.26815795916900004
ACH-000235,-0.0184265439255
ACH-000237,-0.202571492722
ACH-000238,-0.247298676558
ACH-000243,0.0360114786408
ACH-000244,-0.121003875537
ACH-000246,-0.06955183776110001
ACH-000248,-0.202000189231
ACH-000250,-0.218585351545
ACH-000251,-0.0822541584711
ACH-000253,-0.20046366590999998
ACH-000255,-0.0511381006322
ACH-000256,-0.695056865465
ACH-000257,0.051992858609600005
ACH-000258,-0.217658832858
ACH-000259,-0.230908438857
ACH-000260,-0.272716504841
ACH-000261,-0.154597145033
ACH-000262,-0.26037826873500003
ACH-000263,-0.09163994330589999
ACH-000264,-0.24687940505199998
ACH-000265,-0.0972171920738
ACH-000266,-0.11589120796499999
ACH-000272,-0.185354539652
ACH-000273,-0.26500821366599997
ACH-000274,-0.247999601593
ACH-000277,-0.146352956645
ACH-000278,-0.234725060348
ACH-000279,-0.217393013381
ACH-000280,-0.292310181715
ACH-000281,-0.288660065129
ACH-000288,-0.187702577754
ACH-000291,-0.07081354387080001
ACH-000293,-0.0800968397007
ACH-000294,-0.14595188217
ACH-000295,-0.248940824882
ACH-000296,-0.233143945301
ACH-000302,-0.13561144589500002
ACH-000304,-0.332849907988
ACH-000307,-0.389851455198
ACH-000308,-0.09058494985960001
ACH-000310,-0.431367533895
ACH-000311,-0.0698616815958
ACH-000312,-0.10570274868599999
ACH-000315,0.0459070416209
ACH-000316,-0.253308536554
ACH-000317,0.102285662006
ACH-000318,-0.125622204533
ACH-000319,-0.26534114604000003
ACH-000320,-0.07959388881030001
ACH-000322,-0.354268924796
ACH-000323,-0.208139188116
ACH-000324,-0.35561312756700003
ACH-000329,-0.075521738248
ACH-000330,-0.0688883732725
ACH-000331,0.0202516508147
ACH-000332,-0.0562878786654
ACH-000334,-0.161748776781
ACH-000335,0.05220033075069999
ACH-000336,-0.216504448752
ACH-000337,0.0978939318694
ACH-000339,-0.05743022945169999
ACH-000341,-0.10056890855699999
ACH-000348,-0.0866671292718
ACH-000350,-0.0639939984875
ACH-000352,-0.0324847018291
ACH-000356,-0.11142695490700001
ACH-000361,-0.329443036394
ACH-000362,-0.168447992123
ACH-000363,-0.150931271122
ACH-000364,-0.011961563790299999
ACH-000365,-0.060082024077399994
ACH-000366,-0.18050770550700002
ACH-000368,-0.322436010507
ACH-000374,-0.0745673316504
ACH-000375,-0.634060751392
ACH-000376,-0.173227327572
ACH-000381,-0.0808719979946
ACH-000383,-0.0928488607377
ACH-000387,-0.154330229472
ACH-000389,-0.302897489734
ACH-000390,-0.149062487037
ACH-000393,-0.207261342114
ACH-000395,-0.11889351316600001
ACH-000397,-0.131072367955
ACH-000401,-0.0650117626952
ACH-000402,0.0661414428675
ACH-000403,-0.21443943976100002
ACH-000404,0.11512535270400001
ACH-000406,-0.10986101656700001
ACH-000407,0.0545159430913
ACH-000408,-0.07279797432639999
ACH-000410,0.00427897366931
ACH-000411,-0.021013349037599997
ACH-000414,-0.290417015986
ACH-000415,-0.00935292838842
ACH-000416,-0.18065528600699998
ACH-000420,-0.234703018002
ACH-000421,-0.135918647677
ACH-000424,-0.13338285411599998
ACH-000425,-0.246301224068
ACH-000426,-0.0863551657361
ACH-000427,-0.0819669710902
ACH-000433,0.147810975483
ACH-000436,-0.0055697393652300005
ACH-000444,-0.167714350407
ACH-000445,-0.362937086989
ACH-000448,-0.16910032200800001
ACH-000450,-0.121354848234
ACH-000452,-0.148289823212
ACH-000454,-0.299305901371
ACH-000458,-0.185827583336
ACH-000459,-0.182756629329
ACH-000460,-0.183331491923
ACH-000461,0.0319249853349
ACH-000463,-0.0166319472438
ACH-000464,-0.137330816734
ACH-000466,-0.070125515745
ACH-000467,-0.0379057394528
ACH-000468,-0.277228858701
ACH-000469,-0.220632244461
ACH-000470,-0.157700406839
ACH-000471,-0.259624983941
ACH-000472,-0.107433405282
ACH-000473,-0.17058174736099999
ACH-000475,-0.22647560389000002
ACH-000476,-0.164907742588
ACH-000477,-0.10762397997000002
ACH-000480,-0.225647840101
ACH-000481,-0.131104832928
ACH-000483,-0.039947954125000004
ACH-000484,-0.43839184121799996
ACH-000485,-0.103146536066
ACH-000486,-0.13272202158500002
ACH-000487,-0.129851786143
ACH-000488,-0.18236377668099998
ACH-000490,-0.16065785252
ACH-000491,0.0047900145357900005
ACH-000495,0.005703559068840001
ACH-000496,0.09350957620780001
ACH-000499,-0.199327938996
ACH-000500,-0.26375418405400003
ACH-000502,-0.29911759851999997
ACH-000503,-0.24776295339
ACH-000505,-0.13095345962899999
ACH-000507,-0.0698710393287
ACH-000510,-0.119506557997
ACH-000511,-0.120045517995
ACH-000512,0.11621610489800001
ACH-000516,-0.287709205829
ACH-000517,-0.225712203926
ACH-000518,-0.122217538367
ACH-000520,-0.25734829959100003
ACH-000521,-0.0902886332237
