,HVCN1 (84329)
ACH-000004,-0.023917943155
ACH-000007,-0.234425672729
ACH-000009,-0.152895859435
ACH-000011,-0.32498597445099997
ACH-000012,-0.138035814458
ACH-000013,-0.20322680032
ACH-000014,-0.19127512054600002
ACH-000015,-0.183334537058
ACH-000017,-0.199697945109
ACH-000018,-0.298088495315
ACH-000019,-0.00381976376121
ACH-000021,-0.282094560848
ACH-000022,-0.173664967873
ACH-000025,-0.19767084875500002
ACH-000028,-0.08504982004419999
ACH-000030,-0.0496427437397
ACH-000035,0.10992875899599999
ACH-000036,-0.216977708212
ACH-000037,-0.44669315155
ACH-000039,-0.282963306884
ACH-000040,-0.33767121751199997
ACH-000041,-0.202422776732
ACH-000042,-0.185560095808
ACH-000045,-0.17153888116799998
ACH-000047,-0.134082783533
ACH-000052,-0.0734845803881
ACH-000053,-0.0627697357038
ACH-000054,-0.178712082371
ACH-000055,-0.28835248989100004
ACH-000060,-0.152791906363
ACH-000067,-0.318081884526
ACH-000070,-0.0268306809028
ACH-000075,-0.0934648549078
ACH-000078,-0.0820529946345
ACH-000082,-0.10577400334100001
ACH-000085,-0.06621784465990001
ACH-000086,-0.226944538597
ACH-000087,-0.205486521887
ACH-000092,-0.116895278928
ACH-000095,-0.10488785574699999
ACH-000097,-0.12530707322
ACH-000098,-0.0536432271356
ACH-000099,-0.125402396324
ACH-000108,-0.05325519429409999
ACH-000113,-0.163857089632
ACH-000115,-0.105308056594
ACH-000116,-0.095899232445
ACH-000118,-0.10521619547399999
ACH-000120,-0.183097603431
ACH-000123,-0.142184469895
ACH-000127,-0.16754800531199998
ACH-000128,-0.16589431660499998
ACH-000132,-0.11834304479
ACH-000133,-0.253244846608
ACH-000137,-0.355224038717
ACH-000138,-0.144228607629
ACH-000142,-0.215682405286
ACH-000143,-0.186168534554
ACH-000146,-0.102648005694
ACH-000148,-0.213691562447
ACH-000150,-0.229999840683
ACH-000152,-0.17942958739700002
ACH-000153,0.08303646329560001
ACH-000159,-0.266427002933
ACH-000160,-0.25612487645599996
ACH-000163,-0.244480769177
ACH-000167,-0.297343053847
ACH-000168,-0.136245425732
ACH-000169,-0.289262067971
ACH-000178,-0.15580979406099998
ACH-000182,-0.26993342288100003
ACH-000183,-0.200150197203
ACH-000188,-0.113138799023
ACH-000189,-0.13979307873400001
ACH-000190,-0.408425802178
ACH-000198,-0.19964461444499998
ACH-000204,-0.17299308334199998
ACH-000206,-0.200322748738
ACH-000207,-0.326816427034
ACH-000211,-0.199977853328
ACH-000215,-0.251149398783
ACH-000221,-0.16488296963
ACH-000222,-0.08711060200089998
ACH-000223,-0.128824488112
ACH-000226,-0.23221797929299998
ACH-000227,-0.113800147125
ACH-000228,-0.239230104018
ACH-000231,-0.10450883828400001
ACH-000232,-0.247856706815
ACH-000233,-0.0938502044732
ACH-000234,-0.17268269413100001
ACH-000235,-0.138741527776
ACH-000237,-0.133995975513
ACH-000238,-0.135895585679
ACH-000243,-0.0793101248011
ACH-000244,-0.13845738891599998
ACH-000246,-0.11827757205900001
ACH-000248,-0.0218150710682
ACH-000250,-0.158805340299
ACH-000251,-0.216607463305
ACH-000253,-0.19443583974800002
ACH-000255,-0.0800486744036
ACH-000256,-0.217105023135
ACH-000257,0.0545156457945
ACH-000258,0.08500891629619999
ACH-000259,-0.180546533136
ACH-000260,-0.0935784938043
ACH-000261,-0.101561563519
ACH-000262,-0.30536575164
ACH-000263,-0.414601293972
ACH-000264,-0.229527799552
ACH-000265,-0.12176107660999999
ACH-000266,-0.093712568346
ACH-000272,-0.029438204158400004
ACH-000273,-0.192715694518
ACH-000274,-0.137868385581
ACH-000277,-0.218511826012
ACH-000278,-0.302818848416
