,RANGRF (29098)
ACH-000004,-0.308327859408
ACH-000007,-0.00035984893700900003
ACH-000009,-0.219467196019
ACH-000011,0.0838841935592
ACH-000012,-0.046629274226599994
ACH-000013,-0.135715178096
ACH-000014,0.0243185635303
ACH-000015,-0.218456170487
ACH-000017,0.0328657770023
ACH-000018,-0.191382751712
ACH-000019,-0.145559224441
ACH-000021,-0.0301904378435
ACH-000022,-0.054472902273199994
ACH-000025,-0.243034157498
ACH-000028,-0.11117868397
ACH-000030,-0.08202514583460001
ACH-000035,-0.19655020620000002
ACH-000036,-0.138477685165
ACH-000037,-0.5031098350150001
ACH-000039,-0.0313125491867
ACH-000040,-0.331016912017
ACH-000041,-0.28890816711999995
ACH-000042,-0.17150839630399997
ACH-000045,-0.212048974177
ACH-000047,-0.176783963178
ACH-000052,-0.179298873751
ACH-000053,-0.06827974756210001
ACH-000054,-0.09487011745110001
ACH-000055,-0.336545928459
ACH-000060,-0.11286321876800001
ACH-000067,-0.39189910759400004
ACH-000070,0.09534602930120001
ACH-000075,-0.139978199492
ACH-000078,-0.0641011681614
ACH-000082,-0.224562007801
ACH-000085,-0.08298087509100001
ACH-000086,-0.0524955743815
ACH-000087,-0.28180218022500003
ACH-000092,0.0123909085596
ACH-000095,-0.13845987076
ACH-000097,-0.11247799645199999
ACH-000098,-0.132269277579
ACH-000099,-0.117894549781
ACH-000108,-0.17845966829999999
ACH-000113,-0.20972138332600002
ACH-000115,-0.159027656222
ACH-000116,-0.11941283910299999
ACH-000118,0.0866215924962
ACH-000120,-0.08040360628189999
ACH-000123,-0.10978679287399999
ACH-000127,-0.09580922910360001
ACH-000128,-0.149422670703
ACH-000132,-0.214268118165
ACH-000133,-0.108770286894
ACH-000137,-0.1469851993
ACH-000138,-0.122831478847
ACH-000142,0.0359594061186
ACH-000143,-0.100406939258
ACH-000146,-0.029570018896400003
ACH-000148,-0.122573268017
ACH-000150,-0.224188099984
ACH-000152,-0.339328862375
ACH-000153,-0.0125877584782
ACH-000159,-0.0665472445902
ACH-000160,-0.159018986557
ACH-000163,-0.10027649153899999
ACH-000167,-0.035691397407199996
ACH-000168,-0.212207076054
ACH-000169,0.047008469726800006
ACH-000178,-0.153405054871
ACH-000182,-0.119450659433
ACH-000183,-0.19505999291999998
ACH-000188,-0.219864893975
ACH-000189,-0.139766043051
ACH-000190,0.038252599441
ACH-000198,-0.0201697505272
ACH-000204,-0.170609433379
ACH-000206,0.131591939461
ACH-000207,-0.4846372439
ACH-000211,-0.0431430218383
ACH-000215,-0.18925097343299999
ACH-000221,-0.167748029341
ACH-000222,-0.0469098007515
ACH-000223,0.0439816396065
ACH-000226,-0.024349717920400003
