,TBP (6908)
ACH-000004,-0.39976860462499997
ACH-000007,-0.58568123106
ACH-000009,-0.4380593723100001
ACH-000011,-0.522050096529
ACH-000012,-0.610723839114
ACH-000013,-0.878935302052
ACH-000014,-0.464550115325
ACH-000015,-0.603970005916
ACH-000017,-0.847309412855
ACH-000018,-0.6181559014679999
ACH-000019,-0.623668317214
ACH-000021,-0.864418558037
ACH-000022,-0.5089229036240001
ACH-000025,-0.346718049888
ACH-000028,-0.76548645462
ACH-000030,-0.43410861249
ACH-000035,-0.510517063024
ACH-000036,-0.678603661503
ACH-000037,-0.665066673386
ACH-000039,-0.43554378458000004
ACH-000040,-0.528474568247
ACH-000041,-0.566151884184
ACH-000042,-0.6563916010949999
ACH-000045,-0.520499677737
ACH-000047,-0.62268251939
ACH-000052,-0.45539474840000005
ACH-000053,-0.5570192579
ACH-000054,-0.630252338776
ACH-000055,-0.483165708226
ACH-000060,-0.628758059508
ACH-000067,-0.340814244356
ACH-000070,-0.562668817271
ACH-000075,-0.49491046455399995
ACH-000078,-0.7174219980050001
ACH-000082,-0.9179113184700001
ACH-000085,-0.595875443897
ACH-000086,-0.448918031509
ACH-000087,-0.784218582609
ACH-000092,-0.203817772816
ACH-000095,-0.634637625905
ACH-000097,-0.75943932669
ACH-000098,-0.469985271025
ACH-000099,-0.5028581899310001
ACH-000108,-0.6797526804430001
ACH-000113,-0.663401254319
ACH-000115,-0.797407263154
ACH-000116,-0.843612866172
ACH-000118,-0.8002229634119999
ACH-000120,-0.797871175665
ACH-000123,-0.633764215732
ACH-000127,-0.34234374038000004
ACH-000128,-0.45815713616400006
ACH-000132,-0.8031062062000001
ACH-000133,-0.35558887260899996
ACH-000137,-0.504741695234
ACH-000138,-0.404832111661
ACH-000142,-0.240705406595
ACH-000143,-0.358416028426
ACH-000146,-0.302108439871
ACH-000148,-0.42578742426399996
ACH-000150,-0.49098863099600004
ACH-000152,-0.366227743641
ACH-000153,-0.518326503951
ACH-000159,-0.521337792348
ACH-000160,-0.046374366202699996
ACH-000163,-0.679834163595
ACH-000167,-0.17289899125799998
ACH-000168,-0.49119991491899995
ACH-000169,-0.584946348125
ACH-000178,-0.605897414912
ACH-000182,-0.622010411475
ACH-000183,-0.718478337621
ACH-000188,-0.321861404136
ACH-000189,-0.410956106026
ACH-000190,-0.0446890078099
ACH-000198,-0.326369020644
ACH-000204,-0.367269082566
ACH-000206,-0.16521078801
ACH-000207,-0.763095330738
ACH-000211,-0.404842255313
ACH-000215,-0.482542096689
ACH-000221,-0.693057604074
ACH-000222,-0.597539310543
ACH-000223,-0.714730860338
ACH-000226,-0.441684885181
ACH-000227,-0.270042035508
ACH-000228,-0.939934777341
ACH-000231,-0.228218944457
