,RTN4IP1 (84816)
ACH-000004,0.038333466556
ACH-000007,-0.123357943235
ACH-000009,-0.17626127153499999
ACH-000011,0.109408956022
ACH-000012,-0.23528473636999997
ACH-000013,-0.156104182935
ACH-000014,-0.215632857734
ACH-000015,-0.13863800302999998
ACH-000017,0.00453398070959
ACH-000018,-0.25035641517900004
ACH-000019,-0.07871525623049999
ACH-000021,-0.25781056350000003
ACH-000022,0.042767761456500006
ACH-000025,-0.252306404762
ACH-000028,-0.492295219938
ACH-000030,-0.108043027689
ACH-000035,-0.24716667953000002
ACH-000036,0.156466797824
ACH-000037,-0.285690179293
ACH-000039,-0.2954865329
ACH-000040,-0.084908243557
ACH-000041,-0.106431444163
ACH-000042,0.0069102199208
ACH-000045,-0.297195630719
ACH-000047,-0.0705901475567
ACH-000052,-0.110051917092
ACH-000053,-0.107809039607
ACH-000054,-0.0142186288994
ACH-000055,0.005423087850760001
ACH-000060,-0.284308865201
ACH-000067,-0.0473910746968
ACH-000070,-0.40126387217200005
ACH-000075,-0.00140190461889
ACH-000078,0.0445983826831
ACH-000082,-0.0208721650137
ACH-000085,-0.0883404412202
ACH-000086,-0.0624096523664
ACH-000087,-0.36865647869900003
ACH-000092,-0.168391984136
ACH-000095,0.13777788042000003
ACH-000097,-0.014672029309200002
ACH-000098,-0.108977935676
ACH-000099,-0.156887812988
ACH-000108,0.10311369906
ACH-000113,-0.126367431383
ACH-000115,0.0196807025832
ACH-000116,-0.0322747040975
ACH-000118,-0.7983274523909999
ACH-000120,-0.23827232389400002
ACH-000123,-0.10520457249500001
ACH-000127,-0.17516169890299998
ACH-000128,-0.6910182539499999
ACH-000132,-0.102359317119
ACH-000133,-0.0888562336537
ACH-000137,0.030102062990299997
ACH-000138,-0.475217329469
ACH-000142,0.08714320843979999
ACH-000143,-0.09022401127350001
ACH-000146,-0.008880362408000001
ACH-000148,-0.239747552511
ACH-000150,-0.13976718811
ACH-000152,0.014099107604700001
ACH-000153,-0.25936065930999996
ACH-000159,-0.203075488103
ACH-000160,-0.199680868506
ACH-000163,0.18754219242800002
ACH-000167,0.0224758138644
ACH-000168,0.05034182114230001
ACH-000169,-0.39206946072
ACH-000178,0.10489793260500001
ACH-000182,-0.267507725015
ACH-000183,-0.00774361908421
ACH-000188,-0.029579528494099998
ACH-000189,0.0623965741917
ACH-000190,-0.173725782721
ACH-000198,-0.301048439732
ACH-000204,-0.414836432408
ACH-000206,0.115350048369
ACH-000207,-0.276853081648
ACH-000211,-0.14549884853800002
ACH-000215,-0.101103533353
ACH-000221,-0.416238031647
ACH-000222,-0.236763444503
ACH-000223,-0.38717451106399997
ACH-000226,-0.22206096746800003
ACH-000227,-0.285979086595
ACH-000228,-0.156925190843
ACH-000231,-0.05498826296630001
ACH-000232,0.036220162542699996
ACH-000233,-0.27720552882599997
ACH-000234,-0.188993917682
ACH-000235,-0.10561572877999999
ACH-000237,0.0685107823004
ACH-000238,-0.215611775983
ACH-000243,-0.170834116816
ACH-000244,-0.07873087397310001
ACH-000246,-0.0957838799608
ACH-000248,0.0170806498126
ACH-000250,0.0575417931336
ACH-000251,-0.010409746462200001
ACH-000253,-0.040731488523
ACH-000255,-0.145595788055
ACH-000256,0.238852865964
ACH-000257,-0.288594345482
ACH-000258,-0.0764669395011
ACH-000259,-0.42057596685000004
ACH-000260,-0.0157886464586
ACH-000261,-0.039106042535599995
ACH-000262,0.0984083653421
ACH-000263,0.41142114852600004
ACH-000264,-0.06309986399140001
ACH-000265,-0.275092212031
ACH-000266,-0.0843644413575
ACH-000272,-0.0483726487532
ACH-000273,-0.0339378757274
ACH-000274,-0.151143718461
ACH-000277,-0.0531333001286
ACH-000278,-0.0400118325227
ACH-000279,-0.36341578506899996
ACH-000280,-0.0679559451365
ACH-000281,-0.324973557271
ACH-000288,-0.12161138510299999
ACH-000291,-0.285064811305
ACH-000293,0.0243408613129
ACH-000294,0.131413445384
ACH-000295,-0.357687331003
ACH-000296,0.0229794195664
ACH-000302,-0.243599395003
ACH-000304,-0.209787224177
ACH-000307,-0.128101242845
ACH-000308,-0.11427832327
ACH-000310,0.0114393139293
ACH-000311,-0.229582927562
ACH-000312,-0.25056513111400003
ACH-000315,-0.228107579803
ACH-000316,-0.0726254359954
ACH-000317,-0.452608539554
ACH-000318,0.022711814720299997
ACH-000319,-0.0652071371115
ACH-000320,-0.22178946515599998
ACH-000322,-0.451296637936
ACH-000323,-0.167463336304
ACH-000324,-0.011394124149400001
ACH-000329,-0.27143098100499996
ACH-000330,-0.865144899189
ACH-000331,-0.07307015550030001
ACH-000332,-0.008608056031440001
ACH-000334,-0.09290551956319999
ACH-000335,-0.39998267768600004
ACH-000336,-0.115810882443
ACH-000337,0.015565903170200002
ACH-000339,-0.117950166038
ACH-000341,-0.0579625128633
ACH-000348,-0.147977242696
ACH-000350,-0.24492643807199999
ACH-000352,-0.309310094771
ACH-000356,-0.08141063372160001
ACH-000361,0.0289337586783
ACH-000362,-0.163012183417
ACH-000363,-0.242876982331
ACH-000364,-0.111705229346
ACH-000365,-0.0910587229669
ACH-000366,0.0660555380517
ACH-000368,-0.0206902271051
ACH-000374,-0.332351673804
ACH-000375,0.0095072383959
ACH-000376,-0.18475365428399998
ACH-000381,-0.10365010202
ACH-000383,-0.0953706771951
ACH-000387,-0.167784489392
ACH-000389,0.287840037388
ACH-000390,0.0305444164137
