,CDYL (9425)
ACH-000004,-0.42502293994
ACH-000007,-0.310755101067
ACH-000009,-0.208801588488
ACH-000011,-0.259747991272
ACH-000012,0.00199394169252
ACH-000013,-0.246889554855
ACH-000014,-0.249579891475
ACH-000015,-0.191470348781
ACH-000017,-0.389405572104
ACH-000018,-0.46478936925700004
ACH-000019,-0.110365450959
ACH-000021,-0.27312841665300003
ACH-000022,-0.464642924381
ACH-000025,-0.338981345148
ACH-000028,-0.154581310048
ACH-000030,-0.18059070155499998
ACH-000035,-0.259525054992
ACH-000036,-0.384298108703
ACH-000037,-0.38022194438100004
ACH-000039,-0.280111608595
ACH-000040,-0.332014467436
ACH-000041,-0.443295475435
ACH-000042,-0.012129862900799999
ACH-000045,-0.0863156159719
ACH-000047,-0.318790850951
ACH-000052,-0.61416818697
ACH-000053,-0.25298618211
ACH-000054,-0.522626507466
ACH-000055,-0.49945719502999997
ACH-000060,-0.24401983181899997
ACH-000067,-0.377777816197
ACH-000070,-0.457677431291
ACH-000075,-0.291306549599
ACH-000078,-0.31056373771699997
ACH-000082,-0.541107428216
ACH-000085,-0.255993023321
ACH-000086,-0.24590628314500002
ACH-000087,-0.228742144453
ACH-000092,-0.7429270752570001
ACH-000095,-0.214064836158
ACH-000097,-0.337072769286
ACH-000098,-0.524987747793
ACH-000099,-0.244060045931
ACH-000108,-0.0655819742292
ACH-000113,-0.522373802232
ACH-000115,-0.6190755785859999
ACH-000116,-0.5153398907060001
ACH-000118,-0.177444277762
ACH-000120,-0.43954930359899996
ACH-000123,-0.150434769973
ACH-000127,-0.330449288027
ACH-000128,-0.398909182072
ACH-000132,-0.448221126333
ACH-000133,-0.323775033311
ACH-000137,-0.29733920809500003
ACH-000138,-0.202742585801
ACH-000142,-0.36222577333000006
ACH-000143,-0.261566984469
ACH-000146,-0.43948406602300005
ACH-000148,-0.179938830016
ACH-000150,0.05292023567009999
ACH-000152,-0.609728662703
ACH-000153,0.162396825607
ACH-000159,-0.477822032131
ACH-000160,0.0894756220623
ACH-000163,-0.207104590713
ACH-000167,0.239078640836
ACH-000168,-0.37132114993500004
ACH-000169,-0.328378946518
ACH-000178,-0.250057413733
ACH-000182,-0.298245357418
ACH-000183,-0.38970548106200004
ACH-000188,-0.269715023626
ACH-000189,0.074479940493
ACH-000190,0.06711925530230001
ACH-000198,-0.333973065196
ACH-000204,-0.392073850609
ACH-000206,-0.7849725926189999
ACH-000207,-0.206715751751
ACH-000211,-0.17500740705899998
ACH-000215,-0.32272295180599997
ACH-000221,-0.267850826041
ACH-000222,-0.0480149417536
ACH-000223,-0.160759509517
ACH-000226,-0.25944514949999997
ACH-000227,-0.347247648995
ACH-000228,-0.0111744130699
ACH-000231,-0.44162033589599997
ACH-000232,-0.298455447894
ACH-000233,-0.25569905635400003
ACH-000234,-0.532159723568
ACH-000235,-0.099895704953
ACH-000237,-0.590648638521
ACH-000238,-0.524722387982
ACH-000243,-0.229085010031
ACH-000244,-0.44192330858900003
ACH-000246,-0.11278442023299999
ACH-000248,-0.301733309362
ACH-000250,-0.512755525411
ACH-000251,-0.321454573601
ACH-000253,-0.37270963758000003
ACH-000255,0.121821856795
ACH-000256,-0.402471996863
ACH-000257,-0.149869973752
ACH-000258,-0.339256176462
ACH-000259,-0.104143003433
ACH-000260,-0.26049525308800003
ACH-000261,-0.248760638454
ACH-000262,-0.346280683662
ACH-000263,-0.485825340542
ACH-000264,-0.165192482641
ACH-000265,-0.173183688353
ACH-000266,-0.0330153314532
ACH-000272,-0.415277489408
ACH-000273,-0.341902844987
ACH-000274,-0.235287771175
ACH-000277,-0.219283247801
ACH-000278,-0.19126893829999997
ACH-000279,-0.471113651975
ACH-000280,-0.229508917487
ACH-000281,-0.147542507144
ACH-000288,-0.45484814216700004
ACH-000291,-0.310048938435
ACH-000293,-0.0699733748809
ACH-000294,-0.0233535792432
ACH-000295,-0.47496381889600003
ACH-000296,0.169473142855
ACH-000302,-0.12789583925
ACH-000304,-0.619906347357
ACH-000307,-0.161376072408
ACH-000308,-0.324744650174
ACH-000310,-0.259858228184
ACH-000311,-0.05317486320880001
ACH-000312,-0.111948482841
ACH-000315,-0.299242377928
ACH-000316,-0.153583529525
ACH-000317,-0.158042819266
ACH-000318,-0.575977961109
ACH-000319,-0.286805794529
ACH-000320,-0.06109315048550001
ACH-000322,-0.391219248532
ACH-000323,-0.199860508797
ACH-000324,-0.365389108944
ACH-000329,-0.40565532034199997
ACH-000330,-0.18420420015500003
ACH-000331,-0.46800289219999996
ACH-000332,-0.29227152285999997
ACH-000334,0.212433278472
ACH-000335,-0.262908686712
ACH-000336,-0.223757375145
ACH-000337,-0.312675710864
ACH-000339,-0.09956734051310001
ACH-000341,-0.349866194391
ACH-000348,-0.145457658351
ACH-000350,-0.053597396032800004
ACH-000352,-0.556156259142
ACH-000356,-0.100064517552
ACH-000361,-0.106980659979
ACH-000362,-0.21645884365899998
ACH-000363,-0.676608463154
ACH-000364,-0.523363821311
ACH-000365,-0.170666103147
ACH-000366,-0.14744026306299998
ACH-000368,0.000231670965195
ACH-000374,-0.532944795892
ACH-000375,-0.304702224681
ACH-000376,0.0017450673127000001
ACH-000381,-0.16504163158600002
ACH-000383,-0.35230075408699996
ACH-000387,-0.169826859796
ACH-000389,-0.34870061419
ACH-000390,-0.267755813069
ACH-000393,-0.42347642066299995
ACH-000395,-0.179715488578
ACH-000397,-0.42249623002899994
ACH-000401,-0.235396439633
ACH-000402,-0.465516186179
ACH-000403,-0.21597738188499999
ACH-000404,-0.256987704217
ACH-000406,-0.087054335483
ACH-000407,-0.6726713023950001
ACH-000408,-0.202552520821
ACH-000410,-0.121324319007
ACH-000411,-0.443155999955
ACH-000414,-0.130459174028
ACH-000415,-0.179372613852
ACH-000416,-0.348026706496
ACH-000420,-0.389770154497
ACH-000421,-0.295245766395
ACH-000424,-0.888231471653
ACH-000425,-0.291439568276
ACH-000426,-0.516370227863
ACH-000427,-0.48394002490000004
ACH-000433,-0.233026447931
ACH-000436,-0.511531841145
ACH-000444,-0.31562980368
ACH-000445,-0.463034222442
ACH-000448,-0.398748735123
ACH-000450,-0.365478846363
ACH-000452,-0.42462463405199996
ACH-000454,-0.14553785627000002
ACH-000458,-0.35484275372199997
ACH-000459,-0.417826725621
ACH-000460,-0.382124371638
ACH-000461,-0.225133362424
ACH-000463,-0.38156120920500003
ACH-000464,0.0220322859816
ACH-000466,-0.25328894945700003
ACH-000467,-0.290423832675
ACH-000468,0.0443146314649
ACH-000469,-0.371426619522
ACH-000470,-0.296205242253
ACH-000471,-0.627252761637
ACH-000472,-0.27662707279300003
ACH-000473,-0.0875514310039
ACH-000475,-0.47194512662
ACH-000476,-0.336116201441
ACH-000477,-0.244293292346
ACH-000480,0.0239808527893
ACH-000481,-0.468842516484
ACH-000483,-0.022112217163200002
ACH-000484,0.0253334494487
ACH-000485,-0.332212347279
ACH-000486,-0.297696311077
ACH-000487,-0.437455225818
ACH-000488,-0.298254777608
ACH-000490,-0.015947003703900002
ACH-000491,-0.46912044990699997
ACH-000495,-0.357528852952
ACH-000496,-0.250311561949
ACH-000499,-0.369087052195
ACH-000500,-0.414300111849
ACH-000502,-0.136913652735
ACH-000503,-0.08550920849169999
ACH-000505,-0.27050439387200004
ACH-000507,-0.0368820369842
ACH-000510,-0.0988057761254
ACH-000511,-0.30521957844700004
ACH-000512,-0.670896060055
ACH-000516,-0.500425837859
ACH-000517,-0.252247843578
ACH-000518,0.0668156448044
ACH-000520,-0.225985224225
