,NCAPD3 (23310)
ACH-000004,-0.908930966088
ACH-000007,-1.42672402198
ACH-000009,-0.373745728904
ACH-000011,-1.5123634066100002
ACH-000012,-1.29504560088
ACH-000013,-1.03878833532
ACH-000014,-1.4359260539399998
ACH-000015,-1.29233188105
ACH-000017,-1.28440876141
ACH-000018,-1.54699771627
ACH-000019,-1.0795077691600001
ACH-000021,-1.28704664418
ACH-000022,-0.532173552338
ACH-000025,-1.03356135163
ACH-000028,-1.0306617158
ACH-000030,-1.30857802595
ACH-000035,-0.9726627223980001
ACH-000036,-1.17239872455
ACH-000037,-1.1876954842
ACH-000039,-1.01969447893
ACH-000040,-1.30179930289
ACH-000041,-1.1993056898999999
ACH-000042,-1.30658211936
ACH-000045,-1.22480312123
ACH-000047,-1.16168502151
ACH-000052,-1.3445948576299998
ACH-000053,-0.37740886394100004
ACH-000054,-1.27211689692
ACH-000055,-1.20995887369
ACH-000060,-1.37978044019
ACH-000067,-1.55283391598
ACH-000070,-1.1017683729799999
ACH-000075,-1.33300640389
ACH-000078,-1.78397264161
ACH-000082,-1.43557940455
ACH-000085,-0.805964010887
ACH-000086,-1.27136721228
ACH-000087,-1.1554764279799998
ACH-000092,-1.3913227716699998
ACH-000095,-1.3886178186200002
ACH-000097,-1.51623119194
ACH-000098,-1.60716837754
ACH-000099,-1.6121662481499999
ACH-000108,-1.0273223554200002
ACH-000113,-1.49942598714
ACH-000115,-0.8258452261820001
ACH-000116,-0.951386517403
ACH-000118,-1.2026989423799999
ACH-000120,-1.29708505798
ACH-000123,-1.41419322908
ACH-000127,-0.88110174886
ACH-000128,-1.21828167661
ACH-000132,-1.4685949722299998
ACH-000133,-1.25017465726
ACH-000137,-1.08946113358
ACH-000138,-0.974804761357
ACH-000142,-0.48731865324100004
ACH-000143,-1.1587897638200002
ACH-000146,-1.0780702778
ACH-000148,-1.69122830887
ACH-000150,-1.3137647747
ACH-000152,-1.45222375372
ACH-000153,-1.28991793953
ACH-000159,-1.3946382069999999
ACH-000160,-0.48403152240599995
ACH-000163,-1.21521015942
ACH-000167,-0.6430731836029999
ACH-000168,-1.53972517584
ACH-000169,-0.965675907672
ACH-000178,-1.12677430991
ACH-000182,-1.1864739557700001
ACH-000183,-1.3858933200299999
ACH-000188,-1.17295046632
ACH-000189,-1.11875099251
ACH-000190,-0.6101150860419999
ACH-000198,-1.1588312617
ACH-000204,-1.13881718546
ACH-000206,-0.915139284581
ACH-000207,-0.7105410072789999
ACH-000211,-1.1972065262
ACH-000215,-0.788449803715
ACH-000221,-1.5046733993799999
ACH-000222,-1.2488571641600001
ACH-000223,-0.620923874503
ACH-000226,-1.45392976328
ACH-000227,-0.992472769453
ACH-000228,-1.4275614324500001
ACH-000231,-0.72524071764
ACH-000232,-1.28450551
ACH-000233,-1.43192611713
ACH-000234,-1.4812245396700001
ACH-000235,-1.06642091803
ACH-000237,-1.2642705345799998
ACH-000238,-1.56922066817
ACH-000243,-1.18037134322
ACH-000244,-1.50646021171
ACH-000246,-1.2809003422399998
ACH-000248,-1.21662037813
ACH-000250,-0.9521720797
ACH-000251,-1.0118022417
ACH-000253,-1.4055005586700002
ACH-000255,-1.2001097727399999
ACH-000256,-0.8102773572600002
ACH-000257,-0.513178759632
ACH-000258,-1.71018994128
ACH-000259,-1.3236666076899999
ACH-000260,-1.10799289256
ACH-000261,-1.2465094356200002
ACH-000262,-1.3707889758
ACH-000263,-1.3124202841500001
ACH-000264,-0.429100132676
ACH-000265,-1.20692563935
ACH-000266,-1.34737150852
ACH-000272,-1.6038565674
ACH-000273,-1.36435766256
ACH-000274,-1.69194413978
ACH-000277,-1.24611514915
ACH-000278,-0.9844237869670001
ACH-000279,-0.46195349019799997
ACH-000280,-1.29544829591
ACH-000281,-0.8022929717749999
ACH-000288,-1.381818209
ACH-000291,-1.25902697267
ACH-000293,-1.01612680515
ACH-000294,-0.560447352264
ACH-000295,-1.22727375243
ACH-000296,-1.4018397529700002
ACH-000302,-0.61853525561
ACH-000304,-1.7398635903
ACH-000307,-1.48195529279
ACH-000308,-1.08330407261
ACH-000310,-1.3485588669600002
ACH-000311,-1.37738003869
ACH-000312,-0.908856190785
ACH-000315,-1.30996612185
ACH-000316,-2.0197652376599997
ACH-000317,-1.80115128028
ACH-000318,-1.28279242704
ACH-000319,-0.906891194279
ACH-000320,-1.46466497023
ACH-000322,-1.43087899523
ACH-000323,-1.40701405717
ACH-000324,-1.48749451368
ACH-000329,-1.18687339123
ACH-000330,-1.3973965522999998
ACH-000331,-1.2063648824600002
ACH-000332,-1.20412450142
ACH-000334,-0.664863170505
ACH-000335,-1.41553883305
ACH-000336,-1.4253362039700002
ACH-000337,-1.5888808475100002
ACH-000339,-1.38795755697
ACH-000341,-0.8926463021879999
ACH-000348,-1.12252973405
ACH-000350,-1.02873536121
ACH-000352,-0.470175901461
ACH-000356,-0.9392396484960001
ACH-000361,-1.24327774162
ACH-000362,-1.5611343030899998
ACH-000363,-0.932079137411
ACH-000364,-1.25172493517
ACH-000365,-1.4641030005200002
ACH-000366,-1.0585366227700002
ACH-000368,-1.76696734127
ACH-000374,-1.88159448164
ACH-000375,-1.03631048943
ACH-000376,-1.03570527827
ACH-000381,-0.56949774962
ACH-000383,-0.997829247825
ACH-000387,-1.25610456337
ACH-000389,-1.18179155625
ACH-000390,-1.03312353079
ACH-000393,-0.589926496751
ACH-000395,-1.27873597809
ACH-000397,-0.66153238762
ACH-000401,-1.1856172524600002
ACH-000402,-0.928696396352
ACH-000403,-1.1336123416600001
ACH-000404,-1.56751993876
ACH-000406,-1.22876817313
ACH-000407,-0.345956902735
ACH-000408,-0.988039990285
ACH-000410,-1.3325421393299999
ACH-000411,-1.63871778751
ACH-000414,-1.4066275644100001
ACH-000415,-1.06679134267
ACH-000416,-1.3955654470200003
ACH-000420,-1.0606340648600001
ACH-000421,-1.17544944036
ACH-000424,-1.3992334915
ACH-000425,-1.3825798298700003
ACH-000426,-1.1737952235299998
ACH-000427,-1.1533500187899999
ACH-000433,-1.30512718484
ACH-000436,-1.03550064485
ACH-000444,-1.11886901292
ACH-000445,-1.56163641088
ACH-000448,-1.46974869882
ACH-000450,-1.69561800558
ACH-000452,-0.9392407382969999
ACH-000454,-1.03000706819
ACH-000458,-1.15811896055
ACH-000459,-1.06786132972
ACH-000460,-1.15915212948
ACH-000461,-1.38381784619
ACH-000463,-1.64373037083
ACH-000464,-1.14940276714
ACH-000466,-1.44861490926
ACH-000467,-1.32918651828
ACH-000468,-1.09976394569
ACH-000469,-1.11605430909
ACH-000470,-0.971094032139
ACH-000471,-1.02744175085
ACH-000472,-0.280710918552
ACH-000473,-0.80896867562
ACH-000475,-1.01492597317
ACH-000476,-1.07361828016
ACH-000477,-2.0651425571799997
ACH-000480,-1.5052515209200001
ACH-000481,-0.28484449202
ACH-000483,-0.574794108861
ACH-000484,-1.42608813869
ACH-000485,-1.58139701102
ACH-000486,-1.2627703550799998
ACH-000487,-1.01520886506
ACH-000488,-1.21078818636
ACH-000490,-1.21052058171
