,GCM1 (8521)
ACH-000004,0.0840499893894
ACH-000007,-0.193010002177
ACH-000009,0.119640643949
ACH-000011,-0.016699402975999998
ACH-000012,-0.120581191933
ACH-000013,-0.0888516029373
ACH-000014,-0.176556769181
ACH-000015,-0.000698142196509
ACH-000017,-0.0362296455789
ACH-000018,-0.10184220191
ACH-000019,0.182386108897
ACH-000021,0.00766756737339
ACH-000022,-0.0705771378242
ACH-000025,-0.16112490928099998
ACH-000028,-0.137142261664
ACH-000030,-0.044275223836699996
ACH-000035,-0.403277306225
ACH-000036,-0.0814767594294
ACH-000037,0.135720645734
ACH-000039,-0.190307865762
ACH-000040,0.017749443035
ACH-000041,-0.14478096690099998
ACH-000042,0.027408452749900003
ACH-000045,0.122194102689
ACH-000047,-0.176779817375
ACH-000052,-0.126772747894
ACH-000053,-0.0653326410439
ACH-000054,-0.033243609870700006
ACH-000055,-0.0618873303506
ACH-000060,-0.265734602438
ACH-000067,-0.379004669787
ACH-000070,-0.03675120286630001
ACH-000075,-0.0275798623558
ACH-000078,-0.199715773141
ACH-000082,0.046866496179999995
ACH-000085,-0.152610974507
ACH-000086,-0.152555617456
ACH-000087,0.179998192825
ACH-000092,-0.221229777293
ACH-000095,-0.07288723702760001
ACH-000097,-0.08242285177789999
ACH-000098,-0.0675993246588
ACH-000099,-0.14204108193099999
ACH-000108,0.0359744830493
ACH-000113,-0.134390915934
ACH-000115,-0.07791309918219999
ACH-000116,-0.155490037126
ACH-000118,-0.04561850972
ACH-000120,-0.0929334998477
ACH-000123,-0.104805813093
ACH-000127,-0.197856089325
ACH-000128,-0.014591950793700001
ACH-000132,0.0240431565576
ACH-000133,-0.013114372725500001
ACH-000137,-0.09935411626289999
ACH-000138,-0.10706064499
ACH-000142,-0.33526503594
ACH-000143,-0.0648349668544
ACH-000146,-0.0638492955982
ACH-000148,-0.0797546928578
ACH-000150,-0.014275950810200002
ACH-000152,-0.181231465231
ACH-000153,-0.16918249210099998
ACH-000159,-0.10877549931500001
ACH-000160,-0.051412668366599995
ACH-000163,0.115449948212
ACH-000167,-0.185927848286
ACH-000168,0.049812570509599995
ACH-000169,-0.158186937305
ACH-000178,-0.128810900289
ACH-000182,-0.0422046966438
ACH-000183,-0.203138433923
ACH-000188,-0.258081743525
ACH-000189,-0.24358205813499997
ACH-000190,-0.17116232253199998
ACH-000198,-0.134802968457
ACH-000204,-0.162072760757
ACH-000206,-0.047295580637600004
ACH-000207,-0.23164656623500002
ACH-000211,0.0553787606279
ACH-000215,-0.040292780740400005
ACH-000221,-0.0207694996285
ACH-000222,-0.06170202501130001
ACH-000223,-0.13161900713400002
ACH-000226,-0.115752926216
ACH-000227,-0.0173917677148
ACH-000228,-0.12873979278699998
ACH-000231,-0.0476193734852
ACH-000232,-0.0238417890979
ACH-000233,-0.219349259549
