,RADIL (55698)
ACH-000004,-0.005683478933090001
ACH-000007,0.14496269324
ACH-000009,-0.23604788368500002
ACH-000011,-0.36462198937600004
ACH-000012,-0.18301190739599998
ACH-000013,-0.17433901760099998
ACH-000014,-0.288384260803
ACH-000015,-0.15530983951400001
ACH-000017,-0.12177744910499999
ACH-000018,-0.280840479274
ACH-000019,-0.27067979728700003
ACH-000021,-0.099729998711
ACH-000022,-0.183866204437
ACH-000025,-0.165913620733
ACH-000028,-0.105238229127
ACH-000030,-0.122995380358
ACH-000035,-0.361936779997
ACH-000036,-0.43352365715
ACH-000037,-0.12855517453
ACH-000039,-0.204951929388
ACH-000040,-0.112290964166
ACH-000041,-0.393387522654
ACH-000042,-0.435287944152
ACH-000045,-0.215668008101
ACH-000047,-0.35539693266000005
ACH-000052,-0.115891904076
ACH-000053,-0.296330173378
ACH-000054,-0.297617287333
ACH-000055,-0.182613838325
ACH-000060,-0.249330669667
ACH-000067,-0.249799205352
ACH-000070,-0.428954270898
ACH-000075,-0.27670030559500003
ACH-000078,-0.18355135667800002
ACH-000082,-0.27111113464000003
ACH-000085,-0.354715455091
ACH-000086,-0.17082401222399998
ACH-000087,0.0251214359999
ACH-000092,-0.34395558495399997
ACH-000095,-0.313365163816
ACH-000097,-0.231988637084
ACH-000098,-0.22860609831099998
ACH-000099,-0.193930372073
ACH-000108,-0.213568989199
ACH-000113,-0.09172836053069999
ACH-000115,-0.153969591133
ACH-000116,-0.11111301343
ACH-000118,-0.07722338759410001
ACH-000120,-0.38442386028000003
ACH-000123,-0.32927792606
ACH-000127,-0.16737122049900002
ACH-000128,-0.265137241082
ACH-000132,-0.282986339253
ACH-000133,-0.204607198678
ACH-000137,-0.107072568714
ACH-000138,-0.10861869645700001
ACH-000142,-0.322149902709
ACH-000143,-0.286702436439
ACH-000146,-0.29353972341999995
ACH-000148,-0.126844131898
ACH-000150,-0.049470851552400004
ACH-000152,-0.30159813613200004
ACH-000153,-0.609587731484
ACH-000159,-0.22679460143599997
ACH-000160,-0.17561837062199998
ACH-000163,-0.18193364716200003
ACH-000167,-0.24120454684700002
ACH-000168,-0.22626071013500001
ACH-000169,-0.22313185403900002
ACH-000178,-0.233705708409
ACH-000182,-0.132931389351
ACH-000183,-0.220607196011
ACH-000188,-0.204059594039
ACH-000189,-0.262589255299
ACH-000190,-0.16749731420999997
ACH-000198,-0.263932257823
ACH-000204,-0.152787012383
ACH-000206,-0.247615873634
ACH-000207,-0.337411222799
ACH-000211,-0.289466725433
ACH-000215,-0.277368286283
ACH-000221,-0.259167612577
ACH-000222,-0.12428967421399999
ACH-000223,-0.049988904212300005
ACH-000226,-0.318194264684
ACH-000227,-0.264026524658
ACH-000228,-0.410250173491
ACH-000231,-0.234886546249
ACH-000232,-0.333938991551
ACH-000233,-0.167259977565
ACH-000234,-0.567745541158
ACH-000235,-0.284104485247
ACH-000237,-0.24633120524799998
ACH-000238,-0.378956223451
ACH-000243,-0.25159342654100003
ACH-000244,-0.168387678999
ACH-000246,-0.31723727715
ACH-000248,-0.122038482832
ACH-000250,-0.35205109579000005
ACH-000251,-0.5081957926690001
ACH-000253,-0.19107370272
ACH-000255,-0.134230419801
ACH-000256,-0.182918060561
ACH-000257,-0.155175976561
ACH-000258,-0.11144723331499999
ACH-000259,-0.219360271035
ACH-000260,-0.377858329027
ACH-000261,-0.169503006526
ACH-000262,-0.25027803701900003
ACH-000263,-0.33105558962
ACH-000264,-0.24179524954
ACH-000265,-0.215943360769
ACH-000266,-0.287602496089
ACH-000272,-0.22119591318300003
ACH-000273,-0.136230975107
ACH-000274,-0.441411643422
ACH-000277,-0.0480712920986
ACH-000278,-0.0291007850558
ACH-000279,-0.230073645635
ACH-000280,-0.350980156858
ACH-000281,-0.779217598708
ACH-000288,-0.353218311521
ACH-000291,-0.34029986046800004
ACH-000293,-0.0567262368253
ACH-000294,-0.338237119939
ACH-000295,-0.379801663106
ACH-000296,-0.265004325418
ACH-000302,-0.297235218059
ACH-000304,-0.37826004662900004
ACH-000307,-0.17647351543499998
ACH-000308,-0.188570660469
ACH-000310,-0.376540712104
ACH-000311,-0.34654546223099997
ACH-000312,-0.397094905201
ACH-000315,-0.351257262946
ACH-000316,-0.243898816415
ACH-000317,-0.139713981763
ACH-000318,-0.321278608641
ACH-000319,-0.173777948854
ACH-000320,-0.33091310341999997
ACH-000322,-0.319981734748
ACH-000323,-0.140838724628
ACH-000324,-0.212907568893
ACH-000329,-0.202565797572
ACH-000330,-0.29199461719700004
ACH-000331,-0.305473986102
ACH-000332,-0.18133116601799998
ACH-000334,-0.121367664505
ACH-000335,-0.103477591986
ACH-000336,-0.016581587361999998
ACH-000337,-0.402315263349
ACH-000339,-0.11350057255200001
ACH-000341,-0.46733817115000004
ACH-000348,-0.182334303268
ACH-000350,-0.423329789515
ACH-000352,-0.131542048567
ACH-000356,-0.205294033586
ACH-000361,-0.015184242309499999
ACH-000362,-0.166425974176
ACH-000363,-0.0718080497723
ACH-000364,-0.25556620036899996
ACH-000365,-0.41670998609300003
ACH-000366,-0.20596291751499998
ACH-000368,-0.160168053894
ACH-000374,-0.280264358007
ACH-000375,-0.24097406851199998
ACH-000376,-0.254817014449
ACH-000381,-0.627365564942
ACH-000383,-0.227616274998
ACH-000387,-0.215019982471
ACH-000389,-0.166043546356
ACH-000390,-0.16697490958
ACH-000393,-0.22327437755999996
ACH-000395,-0.33667185563600005
ACH-000397,-0.09631854225019999
ACH-000401,-0.07688148782769999
ACH-000402,-0.529259572998
ACH-000403,-0.43012740991000004
ACH-000404,-0.220755706181
ACH-000406,-0.29740625640900004
ACH-000407,-0.275680393071
ACH-000408,-0.271947621342
ACH-000410,-0.30924031133
ACH-000411,-0.5226723691740001
ACH-000414,-0.157257482357
ACH-000415,-0.302613893808
ACH-000416,-0.33226341746300003
ACH-000420,-0.338708424413
ACH-000421,-0.29413380726300004
ACH-000424,-0.273192501557
ACH-000425,-0.155223710312
ACH-000426,-0.37628563406599996
ACH-000427,-0.167931881901
ACH-000433,-0.33846629634400005
ACH-000436,-0.130535457337
ACH-000444,-0.10207011893899999
ACH-000445,-0.242837714696
ACH-000448,-0.277817119382
ACH-000450,-0.173915616527
ACH-000452,-0.37537234407
ACH-000454,-0.18869895668900002
ACH-000458,-0.20667536783799997
ACH-000459,-0.23665298288699999
ACH-000460,-0.298448549924
ACH-000461,-0.009237218622379998
