,PDCD1 (5133)
ACH-000004,0.328488153821
ACH-000007,-0.08928299744519999
ACH-000009,0.0126172163154
ACH-000011,0.0826381336507
ACH-000012,0.032844745737200004
ACH-000013,0.19094527997400002
ACH-000014,0.15256618062799998
ACH-000015,0.07688856242589999
ACH-000017,0.0604731306135
ACH-000018,0.13617515679
ACH-000019,0.148327945067
ACH-000021,0.17732579761199999
ACH-000022,-0.0046533191395900005
ACH-000025,0.229936301871
ACH-000028,0.10175219307399999
ACH-000030,0.0330403893223
ACH-000035,0.127769745225
ACH-000036,-0.0412170538593
ACH-000037,0.111815689568
ACH-000039,0.0536018369532
ACH-000040,0.04578883506919999
ACH-000041,-0.0705310638732
ACH-000042,0.0392498918306
ACH-000045,0.286375672281
ACH-000047,0.0845869598711
ACH-000052,0.249121670568
ACH-000053,0.0226920393802
ACH-000054,0.13639688215
ACH-000055,-0.19497233895799998
ACH-000060,0.00617265120765
ACH-000067,-0.047540720483300006
ACH-000070,0.18527483628
ACH-000075,0.19466588957199998
ACH-000078,-0.0848590898824
ACH-000082,-0.07072981206989999
ACH-000085,-0.10974915540100001
ACH-000086,-0.0227889188074
ACH-000087,-0.0465640634832
ACH-000092,-0.0796440694531
ACH-000095,-0.013855761155299998
ACH-000097,-0.0554937323642
ACH-000098,0.0159772751755
ACH-000099,-0.13079588282
ACH-000108,0.138192334613
ACH-000113,-0.0380301950897
ACH-000115,0.06983395296060001
ACH-000116,-0.0692795663425
ACH-000118,0.13151559978900002
ACH-000120,-0.04309554130940001
ACH-000123,0.030735613878799996
ACH-000127,0.140929668334
ACH-000128,-0.151603537097
ACH-000132,0.221005329768
ACH-000133,0.130410031858
ACH-000137,-0.00840044340496
ACH-000138,0.198326464746
ACH-000142,-0.0056779236617299994
ACH-000143,0.184655761306
ACH-000146,-0.144234538484
ACH-000148,-0.0226469594726
ACH-000150,-0.344009571566
ACH-000152,-0.00820140288664
ACH-000153,0.247951613879
ACH-000159,0.20288994301
ACH-000160,0.17106476729400003
ACH-000163,-0.164270148266
ACH-000167,0.00669530166402
ACH-000168,-0.21121587920499998
ACH-000169,0.329775732062
ACH-000178,-0.0231805123915
ACH-000182,-0.062278239348599995
ACH-000183,-0.161313172666
ACH-000188,-0.0270922589058
ACH-000189,0.0385118895119
ACH-000190,0.152890492076
ACH-000198,0.0234975616428
ACH-000204,-0.012346589399000001
ACH-000206,-0.0170096210977
ACH-000207,0.10310412350600001
ACH-000211,0.026051077187
ACH-000215,0.0523359856723
ACH-000221,-0.0642790951099
ACH-000222,0.31477205604
ACH-000223,0.0853333161288
ACH-000226,0.0762711812154
ACH-000227,0.020011861956900003
ACH-000228,0.111604995425
ACH-000231,-0.0602610979075
ACH-000232,0.00517823742276
ACH-000233,0.0893824213864
ACH-000234,0.21781624914900002
ACH-000235,0.116341497283
ACH-000237,0.0073521159219300004
