,PITPNM1 (9600)
ACH-000004,-0.199002984505
ACH-000007,-0.236483403495
ACH-000009,-0.166033406108
ACH-000011,-0.212681819088
ACH-000012,-0.237396762101
ACH-000013,-0.232019160222
ACH-000014,-0.14702340144200002
ACH-000015,-0.150395420256
ACH-000017,-0.454737666783
ACH-000018,-0.313337880407
ACH-000019,-0.16877098442299998
ACH-000021,-0.41085020544699996
ACH-000022,-0.200968983428
ACH-000025,-0.141215212534
ACH-000028,-0.332409255144
ACH-000030,-0.23840150453899997
ACH-000035,-0.024692689410599995
ACH-000036,-0.235286548484
ACH-000037,-0.489311651623
ACH-000039,-0.259942599162
ACH-000040,-0.272852728514
ACH-000041,-0.319856070249
ACH-000042,-0.43647031098399997
ACH-000045,-0.462051371002
ACH-000047,-0.0934871663976
ACH-000052,-0.17718380381299997
ACH-000053,-0.264453488058
ACH-000054,-0.28072502977200003
ACH-000055,0.00145397440323
ACH-000060,-0.17644844217300001
ACH-000067,-0.144143082738
ACH-000070,-0.159496729791
ACH-000075,-0.277931235414
ACH-000078,-0.275850124763
ACH-000082,-0.286466380891
ACH-000085,-0.365463226531
ACH-000086,-0.151537902443
ACH-000087,-0.175846316065
ACH-000092,-0.209000910062
ACH-000095,-0.26272925627099997
ACH-000097,-0.378158367103
ACH-000098,-0.105976860623
ACH-000099,-0.0881805724577
ACH-000108,-0.33236753305100003
ACH-000113,-0.299532094619
ACH-000115,-0.686897821776
ACH-000116,-0.255287723105
ACH-000118,-0.38564144853200005
ACH-000120,-0.230970617543
ACH-000123,-0.433666733658
ACH-000127,-0.18478886709000003
ACH-000128,-0.18383908739799998
ACH-000132,-0.12641992730999999
ACH-000133,-0.282613310491
ACH-000137,-0.0908505776392
ACH-000138,-0.281495035914
ACH-000142,-0.18436246423799998
ACH-000143,-0.025812405187499998
ACH-000146,-0.20937970195
ACH-000148,-0.0979702425838
ACH-000150,-0.19892296732999998
ACH-000152,-0.12535470325200002
ACH-000153,-0.247025281435
ACH-000159,-0.222836846089
ACH-000160,-0.8918539878589999
ACH-000163,-0.171725806917
ACH-000167,-0.411220457686
ACH-000168,-0.45881493857100003
ACH-000169,-0.253643955285
ACH-000178,-0.125146039532
ACH-000182,-0.07365151803989999
ACH-000183,-0.143870425291
ACH-000188,-0.426620884962
ACH-000189,-0.0449925671874
ACH-000190,-0.195239721153
ACH-000198,-0.281757237951
ACH-000204,0.142926788622
ACH-000206,-0.27389081363
ACH-000207,-1.0246919147799998
ACH-000211,-0.28493948149
ACH-000215,-0.161844869369
ACH-000221,-0.0887885840738
ACH-000222,-0.292193503906
ACH-000223,-0.18717399563999998
ACH-000226,-0.290936078478
ACH-000227,-0.238776652786
ACH-000228,-0.36986749327
ACH-000231,-0.34984766368500003
ACH-000232,-0.20432005439399997
ACH-000233,-0.261208876446
ACH-000234,-0.293928371723
ACH-000235,-0.312582297707
ACH-000237,-0.22824078381
ACH-000238,-0.337625736131
ACH-000243,-0.210523609817
ACH-000244,-0.100766867827
ACH-000246,-0.317651726536
ACH-000248,-0.0909035567471
ACH-000250,-0.38982011536600003
ACH-000251,-0.22117711003899998
ACH-000253,-0.13563422369699998
ACH-000255,-0.30782077019299997
ACH-000256,-0.21926334491500002
ACH-000257,0.029671695559900003
ACH-000258,-0.0216035302032
ACH-000259,-0.344549620066
ACH-000260,-0.334500780956
