,HIST2H2BF (440689)
ACH-000004,-0.29556098084399995
ACH-000007,-0.325372823355
ACH-000009,-0.461976484974
ACH-000011,-0.587606477863
ACH-000012,-0.534745518804
ACH-000013,-0.535805134144
ACH-000014,-0.34497348938199995
ACH-000015,-0.464404760062
ACH-000017,-0.453613407451
ACH-000018,-0.50524701107
ACH-000019,-0.6033717276430001
ACH-000021,-0.467846664512
ACH-000022,-0.605602430894
ACH-000025,-0.475784414262
ACH-000028,-0.683161114305
ACH-000030,-0.484741401453
ACH-000035,-0.46590680956299996
ACH-000036,-0.529417810484
ACH-000037,-0.44190569284599995
ACH-000039,-0.44832070634
ACH-000040,-0.666383272332
ACH-000041,-0.722202958902
ACH-000042,-0.606834987179
ACH-000045,-0.629058977272
ACH-000047,-0.578603698095
ACH-000052,-0.424307689379
ACH-000053,-0.537322540131
ACH-000054,-0.43343615311800004
ACH-000055,-0.547517200505
ACH-000060,-0.578776751557
ACH-000067,-0.23227198743299998
ACH-000070,-0.52395216571
ACH-000075,-0.665985321798
ACH-000078,-0.699371463314
ACH-000082,-0.44355927203699996
ACH-000085,-0.278295205133
ACH-000086,-0.6712815886669999
ACH-000087,-0.27923952938
ACH-000092,-0.735642754225
ACH-000095,-0.631065016793
ACH-000097,-0.47683982929799995
ACH-000098,-0.6312251539429999
ACH-000099,-0.48473487046499997
ACH-000108,-0.377660345988
ACH-000113,-0.48425052113399997
ACH-000115,-0.79356445178
ACH-000116,-0.404763864391
ACH-000118,-0.465124937791
ACH-000120,-0.29966895726500004
ACH-000123,-0.644120030421
ACH-000127,-0.526749271067
ACH-000128,-0.6675939245929999
ACH-000132,-0.570866897513
ACH-000133,-0.8577737349879999
ACH-000137,-0.49786700618100005
ACH-000138,-0.306611408538
ACH-000142,-0.39878823624
ACH-000143,-0.450004628376
ACH-000146,-0.620195571375
ACH-000148,-0.5670030650469999
ACH-000150,-0.504403584895
ACH-000152,-0.392656124592
ACH-000153,-0.587569846945
ACH-000159,-0.699435279939
ACH-000160,-0.272316334086
ACH-000163,-0.43295965780100004
ACH-000167,-0.0909356116285
ACH-000168,-0.47013747018700003
ACH-000169,-0.551935719811
ACH-000178,-0.482587324948
ACH-000182,-0.519259967647
ACH-000183,-0.19210533591099999
ACH-000188,-0.706425558037
ACH-000189,-0.543439571659
ACH-000190,-0.172622186015
ACH-000198,-0.500141419707
ACH-000204,-0.606396721782
ACH-000206,-0.621803871456
ACH-000207,-0.036286967886800005
ACH-000211,-0.495269978181
ACH-000215,-0.682870331326
ACH-000221,-0.381136139577
ACH-000222,-0.261863011887
ACH-000223,-0.53545091377
ACH-000226,-0.46477886081200004
ACH-000227,-0.49044993029600004
ACH-000228,-0.47356154546400003
ACH-000231,-0.550033224686
ACH-000232,-0.540609095472
ACH-000233,-0.658195130159
ACH-000234,-0.856633774764
ACH-000235,-0.532818355997
ACH-000237,-0.512656881772
ACH-000238,-0.194055617641
ACH-000243,-0.416229031268
ACH-000244,-0.44167130646200004
ACH-000246,-0.5114456638620001
ACH-000248,-0.501010411812
ACH-000250,-0.38185601535999997
