,ADSL (158)
ACH-000004,-1.6672405953600002
ACH-000007,-1.26832011938
ACH-000009,-1.21876744938
ACH-000011,-1.11732896175
ACH-000012,-0.897695836002
ACH-000013,-0.653241358517
ACH-000014,-1.3955217947100003
ACH-000015,-0.9556861246200001
ACH-000017,-1.7627741067099998
ACH-000018,-1.22132107338
ACH-000019,-1.5382073941999999
ACH-000021,-1.26176868556
ACH-000022,-1.20890318944
ACH-000025,-1.3899648367700002
ACH-000028,-1.13065372704
ACH-000030,-1.7431168745900003
ACH-000035,-0.938214434947
ACH-000036,-0.599196355843
ACH-000037,-0.7807928917329999
ACH-000039,-1.02999421549
ACH-000040,-0.583423135891
ACH-000041,-0.9203121054950001
ACH-000042,-1.33295442098
ACH-000045,-1.0186496198000001
ACH-000047,-1.38734063437
ACH-000052,-0.807007812642
ACH-000053,-1.5664479239200002
ACH-000054,-0.58817143032
ACH-000055,-0.9741239875
ACH-000060,-0.7712926682950001
ACH-000067,-0.910048091425
ACH-000070,-1.2078178208600001
ACH-000075,-0.859298940536
ACH-000078,-0.608234211038
ACH-000082,-0.453434525536
ACH-000085,-0.733112769772
ACH-000086,-0.33234148184900003
ACH-000087,-1.1074613371100002
ACH-000092,-0.592475597885
ACH-000095,-0.6992063667630001
ACH-000097,-1.44824985998
ACH-000098,-0.628671091368
ACH-000099,-0.839581002235
ACH-000108,-1.8551520934099999
ACH-000113,-1.15082995267
ACH-000115,-0.915231696748
ACH-000116,-0.48797906713999994
ACH-000118,-1.25001473447
ACH-000120,-0.548901304212
ACH-000123,-0.880000825132
ACH-000127,-1.2533438556
ACH-000128,-0.858972313968
ACH-000132,-0.5519869191350001
ACH-000133,-0.697702697629
ACH-000137,-0.665567893352
ACH-000138,-1.5707881508700001
ACH-000142,-1.4595911060799998
ACH-000143,-0.988353481505
ACH-000146,-1.5574195539500002
ACH-000148,-0.83545117244
ACH-000150,-0.309694191179
ACH-000152,-0.751000743847
ACH-000153,-0.501426823451
ACH-000159,-0.9456444764599999
ACH-000160,-0.735494304138
ACH-000163,-0.7557406019859999
ACH-000167,-0.76024599626
ACH-000168,-1.31629969963
ACH-000169,-0.645261556397
ACH-000178,-1.2877209435299999
ACH-000182,-1.08136609284
ACH-000183,-1.32912098977
ACH-000188,-1.285870018
ACH-000189,-0.75804789565
ACH-000190,-1.34633184175
ACH-000198,-1.20447547766
ACH-000204,-0.900932955429
ACH-000206,-1.4625171972400002
ACH-000207,-1.7864995279099998
ACH-000211,-0.630880619296
ACH-000215,-0.579299040385
ACH-000221,-0.609313009761
ACH-000222,-1.4419243982499999
ACH-000223,-1.15173700768
ACH-000226,-1.1557840343999999
ACH-000227,-0.7626909350319999
ACH-000228,-0.844147688792
ACH-000231,-0.654356417333
ACH-000232,-0.315339107941
ACH-000233,-1.26349345215
ACH-000234,-1.27726953905
ACH-000235,-1.66915593023
ACH-000237,-0.699870453908
ACH-000238,-0.56742020433
ACH-000243,-1.18843399194
ACH-000244,-0.463442275245
ACH-000246,-0.40099771335100004
ACH-000248,-1.52907005354
ACH-000250,-1.14611159469
ACH-000251,-1.45369738687
ACH-000253,-1.6532335355
ACH-000255,-0.525954627558
ACH-000256,-0.9513177436570001
ACH-000257,-1.09440458553
ACH-000258,-2.05126584326
ACH-000259,-1.0742121731899998
ACH-000260,-0.569268169753
ACH-000261,-0.873747399577
ACH-000262,-0.25509513828499997
ACH-000263,-1.06355280807
ACH-000264,-0.953531040526
ACH-000265,-1.0455438441399998
ACH-000266,-1.0500611061799998
ACH-000272,-1.64747763418
ACH-000273,-1.6900313468900001
ACH-000274,-0.949901758009
ACH-000277,-1.62890222819
ACH-000278,-1.2524435464399999
ACH-000279,-1.65749201361
ACH-000280,-0.870753942788
ACH-000281,-1.76300356375
ACH-000288,-0.81657967856
ACH-000291,-0.369120346081
ACH-000293,-0.689955832473
ACH-000294,-2.1248914715000002
ACH-000295,-1.6477575901
ACH-000296,-1.48285046713
ACH-000302,-0.569127003499
ACH-000304,-1.0076297162799999
ACH-000307,-1.7499989660099997
ACH-000308,-1.54925529607
ACH-000310,-0.7365592804269999
ACH-000311,-1.47910958945
ACH-000312,-0.909272295108
ACH-000315,-1.25685114184
ACH-000316,-0.636815036333
ACH-000317,-1.6812629142700002
ACH-000318,-1.33770760441
ACH-000319,-0.8511185482979999
ACH-000320,-1.53253139239
ACH-000322,-1.15114793811
ACH-000323,-0.656361280684
ACH-000324,-0.620371246397
ACH-000329,-0.630446972221
ACH-000330,-1.6418130972799998
ACH-000331,-0.639132458488
ACH-000332,-0.7581978072490001
ACH-000334,-1.5712089679499999
ACH-000335,-0.981407731848
ACH-000336,-1.26065360003
ACH-000337,-1.49926561457
ACH-000339,-1.7378593531
ACH-000341,-0.601008794177
ACH-000348,-0.786617026752
ACH-000350,-0.782017462432
ACH-000352,-1.5006843935499998
ACH-000356,-1.32549827137
ACH-000361,-0.591937113977
ACH-000362,-1.24683226304
ACH-000363,-1.24527449536
ACH-000364,-0.767111644869
ACH-000365,-1.3748483817
ACH-000366,-0.928611496367
ACH-000368,-0.797319926988
ACH-000374,-1.1069993273
ACH-000375,-1.14649599004
ACH-000376,-0.584606115051
ACH-000381,-1.41210588199
ACH-000383,-2.06622407835
ACH-000387,-1.6571433268399998
ACH-000389,-0.6381365996289999
ACH-000390,-1.9846863420299998
ACH-000393,-0.7706320284899999
ACH-000395,-1.68146032179
ACH-000397,-1.14286960516
ACH-000401,-1.4969688054899999
ACH-000402,-0.908100356171
ACH-000403,-0.608854711285
ACH-000404,-1.1330100977
ACH-000406,-1.8814814914400002
ACH-000407,-0.600986139036
ACH-000408,-1.3750874268200002
ACH-000410,-0.739115026004
ACH-000411,-1.20391428564
ACH-000414,-1.09671546857
ACH-000415,-0.5922327010499999
ACH-000416,-1.59709091239
ACH-000420,-0.614621554096
