,WAPAL (23063)
ACH-000004,-0.28266933227200003
ACH-000007,-0.272907450966
ACH-000009,-0.0789783363473
ACH-000011,-0.23107819181699998
ACH-000012,-0.655426756608
ACH-000013,-0.368790363298
ACH-000014,-0.482478906701
ACH-000015,-0.15343902559699998
ACH-000017,-0.6481927267890001
ACH-000018,-0.294959931576
ACH-000019,-0.397999315023
ACH-000021,-0.602362468447
ACH-000022,-0.36945227705600003
ACH-000025,-0.29235070251899997
ACH-000028,-0.494016465437
ACH-000030,-0.511921527271
ACH-000035,-0.550622875846
ACH-000036,-0.363723242329
ACH-000037,-0.12355746849199999
ACH-000039,-0.537772372523
ACH-000040,-0.0394444062165
ACH-000041,-0.11949648983899999
ACH-000042,-0.11566242886
ACH-000045,-0.213861230527
ACH-000047,-0.6049428951899999
ACH-000052,-0.315933010142
ACH-000053,-0.6458147227350001
ACH-000054,-0.297141011025
ACH-000055,-0.102843085484
ACH-000060,-0.36156559366700003
ACH-000067,-0.145081293786
ACH-000070,-0.174433794082
ACH-000075,-0.100048350659
ACH-000078,-0.356375517412
ACH-000082,-0.371430134038
ACH-000085,-0.682305428114
ACH-000086,-0.310286894802
ACH-000087,-0.388759705408
ACH-000092,-0.10702359624199999
ACH-000095,-0.300365550493
ACH-000097,-0.502644594388
ACH-000098,-0.276264838743
ACH-000099,-0.475905775929
ACH-000108,-0.445741707956
ACH-000113,-0.329613642028
ACH-000115,-0.801035712884
ACH-000116,-0.326797322607
ACH-000118,-0.608403480764
ACH-000120,-0.276457561956
ACH-000123,-0.25485034743900004
ACH-000127,-0.151858260257
ACH-000128,-0.28316478504000003
ACH-000132,-0.0693347052179
ACH-000133,-0.182213349826
ACH-000137,-0.176727853444
ACH-000138,-0.21772006359299997
ACH-000142,-0.253192365988
ACH-000143,-0.0289903612976
ACH-000146,-0.26170257715100004
ACH-000148,-0.380588164416
ACH-000150,-0.277511364322
ACH-000152,-0.361678281519
ACH-000153,-0.17548197536600002
ACH-000159,-0.37008992979500005
ACH-000160,0.220276550326
ACH-000163,-0.100632174992
ACH-000167,0.742193303722
ACH-000168,-0.508997547983
ACH-000169,-0.192592444077
ACH-000178,-0.15037638102700002
ACH-000182,0.17812301037999997
ACH-000183,-0.35345418801
ACH-000188,-0.270266092242
ACH-000189,-0.39835296391999997
ACH-000190,0.08694267461930001
ACH-000198,-0.255638737823
ACH-000204,-0.018705770091799998
ACH-000206,-0.408113454422
ACH-000207,-0.37070298888400005
ACH-000211,-0.34127552963200003
ACH-000215,-0.24174630708099998
ACH-000221,-0.0184439639222
ACH-000222,-0.226598286088
ACH-000223,-0.441163567106
ACH-000226,-0.43068185456600006
ACH-000227,-0.559777182047
ACH-000228,-0.258026987695
ACH-000231,-0.262344222801
ACH-000232,-0.22634296241500002
ACH-000233,-0.34241923858900003
ACH-000234,-0.371516604393
ACH-000235,-0.120768761778
ACH-000237,-0.17128592073600002
ACH-000238,-0.26280948277800004
ACH-000243,-0.571230488093
ACH-000244,-0.408093026003
ACH-000246,-0.401387852634
ACH-000248,-0.507468763551
ACH-000250,0.118014522159
ACH-000251,0.19165819843499998
ACH-000253,-0.311960415066
ACH-000255,0.318118416023
ACH-000256,-0.129853924948
ACH-000257,-0.485223469202
ACH-000258,-0.907455817642
ACH-000259,-0.38300163770999995
ACH-000260,-0.194369402297
ACH-000261,-0.220492553081
ACH-000262,-0.12085906629599999
ACH-000263,-0.404288739309
ACH-000264,-0.124180531747
ACH-000265,-0.181448167297
ACH-000266,-0.291683463191
ACH-000272,-0.41781496558799996
ACH-000273,-0.294787332244
ACH-000274,-0.255101485302
ACH-000277,-0.351898199055
ACH-000278,0.137226525122
ACH-000279,-0.160094150942
ACH-000280,-0.554904311457
ACH-000281,0.177029206084
ACH-000288,-0.236424940876
ACH-000291,-0.166808309041
ACH-000293,-0.39075987716300004
ACH-000294,-0.179291068568
ACH-000295,-0.323048346578
ACH-000296,-0.2327792181
ACH-000302,-0.410768912451
ACH-000304,-0.201488551072
ACH-000307,-0.0929673912994
ACH-000308,-0.18565899424
ACH-000310,-0.718164685015
ACH-000311,-0.368975802801
ACH-000312,-0.33417031429099997
ACH-000315,-0.27377889604600003
ACH-000316,-0.127770457984
ACH-000317,-0.48280576702600003
ACH-000318,-0.395633461052
ACH-000319,-0.309381581959
ACH-000320,-0.39329184189000005
ACH-000322,-0.430732235675
ACH-000323,0.0508468206735
ACH-000324,-0.6155079598659999
ACH-000329,-0.11422971916500001
ACH-000330,-0.473863440058
ACH-000331,-0.531607135092
ACH-000332,-0.0875343502715
ACH-000334,-0.34623526868199994
ACH-000335,-0.36293744707599995
ACH-000336,-0.457431095857
ACH-000337,-0.684707898592
ACH-000339,-0.315344814887
ACH-000341,0.166580821463
ACH-000348,-0.33799194159400003
ACH-000350,-0.23121970785
ACH-000352,-0.31445068658799996
ACH-000356,-0.46754848225
ACH-000361,-0.308768841495
ACH-000362,-0.490871236405
