,MT2A (4502)
ACH-000004,-0.833300710573
ACH-000007,-0.414674563454
ACH-000009,-0.256779580489
ACH-000011,-0.534514848335
ACH-000012,-0.7009280447149999
ACH-000013,-0.365294301572
ACH-000014,-0.22931775481
ACH-000015,-0.208061119721
ACH-000017,-0.627400693979
ACH-000018,-0.337074374675
ACH-000019,-0.467741728445
ACH-000021,-0.427284981468
ACH-000022,-0.5340099187189999
ACH-000025,-0.544287846657
ACH-000028,-0.308667382836
ACH-000030,-0.48775245347400004
ACH-000035,-0.362985066671
ACH-000036,-0.516175190085
ACH-000037,-0.512527939033
ACH-000039,-0.6762534682279999
ACH-000040,-0.413168516897
ACH-000041,-0.545129155191
ACH-000042,-0.48253044946900003
ACH-000045,-0.645454111842
ACH-000047,-0.43636760210500003
ACH-000052,-0.313799652055
ACH-000053,-0.415362820087
ACH-000054,-0.680842890137
ACH-000055,-0.451688203293
ACH-000060,-0.509288821883
ACH-000067,-0.470286937198
ACH-000070,-0.6254713424930001
ACH-000075,-0.38510760948600004
ACH-000078,-0.54180718712
ACH-000082,-0.6679571363800001
ACH-000085,-0.544150609307
ACH-000086,-0.391628901813
ACH-000087,-0.519979794626
ACH-000092,-0.631601371849
ACH-000095,-0.48771734529
ACH-000097,-0.7210260040369999
ACH-000098,-0.5855963149719999
ACH-000099,-0.45951732579099996
ACH-000108,-0.24884463906999998
ACH-000113,-0.28448369824
ACH-000115,-0.77972911158
ACH-000116,-0.551188292892
ACH-000118,-0.45282072671499995
ACH-000120,-0.48108047462
ACH-000123,-0.2276751777
ACH-000127,-0.514355208523
ACH-000128,-0.419034784392
ACH-000132,-0.7191289272310001
ACH-000133,-0.564787387701
ACH-000137,-0.351899572683
ACH-000138,-0.22741535389400003
ACH-000142,-0.5750502616309999
ACH-000143,-0.556620246601
ACH-000146,-0.419903066126
ACH-000148,-0.41388547685599997
ACH-000150,-0.856741178328
ACH-000152,-0.691834489008
ACH-000153,-0.763055332562
ACH-000159,-0.636164073008
ACH-000160,-0.435589958298
ACH-000163,-0.393242244031
ACH-000167,-0.184306553038
ACH-000168,-0.48529800806100004
ACH-000169,-0.522264635673
ACH-000178,-0.41424076324299997
ACH-000182,-0.34879617783699995
ACH-000183,-0.459413206769
ACH-000188,-0.37064354375799996
ACH-000189,-0.435794815216
ACH-000190,-0.30078449376
ACH-000198,-0.511639385364
ACH-000204,-0.807380698081
ACH-000206,-0.467122759221
ACH-000207,-0.601177309638
ACH-000211,-0.520852020142
ACH-000215,-0.546639266926
ACH-000221,-0.322580360362
ACH-000222,-0.233166526496
ACH-000223,-0.653189052588
ACH-000226,-0.708706453704
ACH-000227,-0.34741805492100003
ACH-000228,-0.557619337743
ACH-000231,-0.338322374626
ACH-000232,-0.686952642412
ACH-000233,-0.38806269921400005
ACH-000234,-0.429886465501
ACH-000235,-0.39296551805
ACH-000237,-0.495190511564
ACH-000238,-0.507499243668
ACH-000243,-0.532216944211
ACH-000244,-0.891070494569
ACH-000246,-0.32252627909299997
ACH-000248,-0.727596767571
ACH-000250,-0.45983025252
ACH-000251,-0.319509612449
ACH-000253,-0.5382615014769999
ACH-000255,-0.257557028622
ACH-000256,-0.440736197531
ACH-000257,-0.0821935207081
ACH-000258,-0.675508868187
ACH-000259,-0.36280413230499997
ACH-000260,-0.505042776091
ACH-000261,-0.560918221697
ACH-000262,-0.350698813405
ACH-000263,-0.558291085638
ACH-000264,-0.630600404189
