,FEN1 (2237)
ACH-000004,-1.56915112043
ACH-000007,-1.28742464367
ACH-000009,-0.968513624376
ACH-000011,-0.803389851302
ACH-000012,-1.13326148
ACH-000013,-1.25209838914
ACH-000014,-0.9369140422700001
ACH-000015,-0.666971805466
ACH-000017,-0.81468692206
ACH-000018,-1.3389974302299998
ACH-000019,-1.08211386106
ACH-000021,-1.45597699887
ACH-000022,-0.7154836282879999
ACH-000025,-1.3085662663
ACH-000028,-1.1361190728
ACH-000030,-0.842764454689
ACH-000035,-0.88688998138
ACH-000036,-1.17715678411
ACH-000037,-1.45172410831
ACH-000039,-1.42692648339
ACH-000040,-1.1146418235
ACH-000041,-1.58077657542
ACH-000042,-1.0580724037
ACH-000045,-1.02372818566
ACH-000047,-0.966271261319
ACH-000052,-1.34094344523
ACH-000053,-1.37654576999
ACH-000054,-0.455218956237
ACH-000055,-0.986838814221
ACH-000060,-1.26776135081
ACH-000067,-1.23978709874
ACH-000070,-1.36856776444
ACH-000075,-1.25497387461
ACH-000078,-1.0431774357899999
ACH-000082,-1.1265462975
ACH-000085,-1.54218423283
ACH-000086,-0.847862329164
ACH-000087,-1.66261466854
ACH-000092,-1.57109580394
ACH-000095,-0.7355729917589999
ACH-000097,-1.34387525825
ACH-000098,-1.24354418591
ACH-000099,-1.0451265644399999
ACH-000108,-1.48265087961
ACH-000113,-1.11335392425
ACH-000115,-0.503330084412
ACH-000116,-0.722655484975
ACH-000118,-1.19869204598
ACH-000120,-0.971783398645
ACH-000123,-1.04670503612
ACH-000127,-1.31659886393
ACH-000128,-1.07622424546
ACH-000132,-1.4631523749200002
ACH-000133,-1.6412832316
ACH-000137,-0.810742914688
ACH-000138,-1.5369358238
ACH-000142,-1.16815793814
ACH-000143,-1.06120555829
ACH-000146,-1.5390530118
ACH-000148,-1.51824792555
ACH-000150,-1.34766474937
ACH-000152,-1.31974290198
ACH-000153,-1.76839965667
ACH-000159,-0.793781094813
ACH-000160,-1.8631530757299999
ACH-000163,-1.4940131684399998
ACH-000167,-1.1869195484100001
ACH-000168,-1.4745965536899999
ACH-000169,-1.08029197075
ACH-000178,-1.48625896014
ACH-000182,-1.43279539905
ACH-000183,-1.16655148964
ACH-000188,-1.49792955118
ACH-000189,-1.35518258274
ACH-000190,-1.4172148827200002
ACH-000198,-0.864943316873
ACH-000204,-0.659050184995
ACH-000206,-1.61066070841
ACH-000207,-1.60255140424
ACH-000211,-1.01177660583
ACH-000215,-1.53301797393
ACH-000221,-0.884356867023
ACH-000222,-1.2473858606200001
ACH-000223,-1.2748161058499998
ACH-000226,-1.1957932960100002
ACH-000227,-1.32049738637
ACH-000228,-1.57712402266
ACH-000231,-1.6318979207100002
ACH-000232,-1.4864266748
ACH-000233,-1.6013622145700002
ACH-000234,-0.83220535091
ACH-000235,-0.86337991358
ACH-000237,-1.22394960439
ACH-000238,-1.1017621894
ACH-000243,-1.35576810145
ACH-000244,-1.23034957871
ACH-000246,-1.11133615212
ACH-000248,-0.610703665574
ACH-000250,-1.11211838123
ACH-000251,-1.4322615220500001
ACH-000253,-1.0070736867499999
ACH-000255,-1.32188898004
ACH-000256,-0.9196815568469999
ACH-000257,-1.1194650770399999
ACH-000258,-1.09486664088
ACH-000259,-1.0473227491500001
ACH-000260,-0.92565660006
ACH-000261,-0.710592146163
ACH-000262,-0.9755904192829999
ACH-000263,-0.708705478777
ACH-000264,-0.5602651549600001
ACH-000265,-1.17666703569
ACH-000266,-0.5033214407450001
ACH-000272,-0.864900437817
ACH-000273,-1.19251539955
ACH-000274,-0.444418769804
ACH-000277,-1.06625419534
ACH-000278,-1.43647370655
ACH-000279,-1.52111338784
ACH-000280,-1.12736232156
ACH-000281,-0.905982797387
ACH-000288,-0.8524238441490001
ACH-000291,-1.04393701495
ACH-000293,-0.996954089314
ACH-000294,-1.4391187195
ACH-000295,-1.07076022613
ACH-000296,-1.0221305565
ACH-000302,-0.621530700519
ACH-000304,-1.06063468879
ACH-000307,-0.841966403302
ACH-000308,-0.896982608978
ACH-000310,-0.924512129886
ACH-000311,-0.8881963517329999
ACH-000312,-0.727685863158
ACH-000315,-1.0806367798
ACH-000316,-1.06546148961
ACH-000317,-1.37435905759
ACH-000318,-1.03727563953
ACH-000319,-0.84996287116
ACH-000320,-1.13394947191
ACH-000322,-1.19162331327
ACH-000323,-1.22628884842
ACH-000324,-1.27219020075
ACH-000329,-1.53573706703
ACH-000330,-0.939221060359
ACH-000331,-1.25538967479
ACH-000332,-1.70054360287
ACH-000334,-1.0103325943400001
ACH-000335,-1.4521638434600002
ACH-000336,-0.8751277577399998
ACH-000337,-1.3529904776600001
ACH-000339,-1.1816340682
ACH-000341,-0.9501203058609999
ACH-000348,-1.21592735759
ACH-000350,-0.7903964592270001
ACH-000352,-1.39893799143
ACH-000356,-1.17457319517
ACH-000361,-1.17765838238
ACH-000362,-1.30602632543
ACH-000363,-0.847460748858
ACH-000364,-1.24863946455
ACH-000365,-1.46271349752
ACH-000366,-1.02375523206
ACH-000368,-1.34751228187
ACH-000374,-0.80078540499
ACH-000375,-1.45262238565
ACH-000376,-1.6676179270200002
ACH-000381,-1.26811062736
ACH-000383,-0.599719670834
ACH-000387,-1.01897612885
ACH-000389,-1.34192494734
ACH-000390,-0.868561675461
ACH-000393,-0.44063528372599997
ACH-000395,-0.953267231925
ACH-000397,-0.958759756532
ACH-000401,-1.3252968196600001
ACH-000402,-1.01097282298
