,MARS2 (92935)
ACH-000004,-1.0579403044
ACH-000007,-1.41597869989
ACH-000009,-0.839171524346
ACH-000011,-0.938060034921
ACH-000012,-1.3693473466400001
ACH-000013,-1.13897488008
ACH-000014,-1.11508766771
ACH-000015,-1.5444255306999999
ACH-000017,-0.8038904284810001
ACH-000018,-1.60779355833
ACH-000019,-1.30500159287
ACH-000021,-0.84004438097
ACH-000022,-1.4407415801199999
ACH-000025,-1.3863722269999998
ACH-000028,-1.22940195355
ACH-000030,-1.3091213545
ACH-000035,-1.64577319542
ACH-000036,-0.625707275454
ACH-000037,-0.791673733758
ACH-000039,-0.964401561424
ACH-000040,-0.763509047265
ACH-000041,-1.15345420806
ACH-000042,-0.9601219216310001
ACH-000045,-1.2023171487
ACH-000047,-1.5514268709099999
ACH-000052,-0.884248193565
ACH-000053,-0.988231020073
ACH-000054,-1.39548048135
ACH-000055,-1.09553621356
ACH-000060,-0.871977333646
ACH-000067,-0.8918322310850001
ACH-000070,-1.15777629009
ACH-000075,-0.802545310034
ACH-000078,-1.22765370422
ACH-000082,-1.12388426279
ACH-000085,-1.05426217892
ACH-000086,-1.3911167910100002
ACH-000087,-1.44189099965
ACH-000092,-0.966685785445
ACH-000095,-0.6915218909890001
ACH-000097,-0.899174216118
ACH-000098,-1.14733043561
ACH-000099,-1.23907190073
ACH-000108,-0.823462058392
ACH-000113,-1.0623482033
ACH-000115,-0.848772128682
ACH-000116,-1.4860879526700002
ACH-000118,-1.23702239008
ACH-000120,-0.9154376692589999
ACH-000123,-1.07832202818
ACH-000127,-1.4401391485600001
ACH-000128,-1.4337258773
ACH-000132,-0.917596735291
ACH-000133,-1.37616559678
ACH-000137,-0.9542335540100001
ACH-000138,-1.18286624552
ACH-000142,-0.866012096287
ACH-000143,-1.50527375359
ACH-000146,-1.19587587923
ACH-000148,-1.31655511325
ACH-000150,-1.59663004955
ACH-000152,-1.0049633138
ACH-000153,-1.0816384244
ACH-000159,-1.24392600468
ACH-000160,-1.4903769601299999
ACH-000163,-1.3511832019799999
ACH-000167,-0.999208778782
ACH-000168,-0.793506970193
ACH-000169,-0.968997657637
ACH-000178,-1.29710141979
ACH-000182,-1.3999829911500001
ACH-000183,-1.3617266252899998
ACH-000188,-1.12702174035
ACH-000189,-1.41165832726
ACH-000190,-1.1311376496899999
ACH-000198,-1.2504062222499999
ACH-000204,-1.3296117732700001
ACH-000206,-1.8144763214700002
ACH-000207,-0.870974040632
ACH-000211,-0.937926279358
