,POLD2 (5425)
ACH-000460,-0.730998797803
ACH-000461,-1.09727892476
ACH-000463,-0.831917502697
ACH-000464,-1.2222883180500002
ACH-000466,-0.861338769388
ACH-000467,-0.824381840748
ACH-000468,-0.916461442742
ACH-000469,-0.7625063142649999
ACH-000470,-1.1177449318200001
ACH-000471,-0.8790513196259999
ACH-000472,-0.8342215602590001
ACH-000473,-0.937162476133
ACH-000475,-0.8117222313369999
ACH-000476,-0.83236712219
ACH-000477,-0.529880190479
ACH-000480,-0.68587141882
ACH-000481,-1.06880492159
ACH-000483,-0.905025501878
ACH-000484,-0.820399913801
ACH-000485,-0.9743676373540001
ACH-000486,-0.781819109164
ACH-000487,-0.9328341736519999
ACH-000488,-1.01819605198
ACH-000490,-1.05244191376
ACH-000491,-0.879653099429
ACH-000495,-0.616053010758
ACH-000496,-0.8608602465649999
ACH-000499,-0.774423037953
ACH-000500,-1.17978017719
ACH-000502,-0.7375037405779999
ACH-000503,-0.9531924411480001
ACH-000505,-0.758769534422
ACH-000507,-0.861889807208
ACH-000510,-0.787108902459
ACH-000511,-1.1301532636799998
ACH-000512,-1.17334065096
ACH-000516,-1.14407988332
ACH-000517,-0.763718575014
ACH-000518,-0.5739071196019999
ACH-000520,-1.20758039927
ACH-000521,-1.03412167185
ACH-000522,-0.8447211859299999
ACH-000524,-1.16029028792
ACH-000527,-0.75925066215
ACH-000528,-0.677325695326
ACH-000537,-0.871947856583
ACH-000541,-0.644991555264
ACH-000542,-0.810635227617
ACH-000544,-0.792332709423
ACH-000545,-0.952343787191
ACH-000547,-0.701614875901
ACH-000548,-0.8783119040200001
ACH-000549,-1.0764037830600002
ACH-000550,-0.967731639223
ACH-000552,-0.85410823123
ACH-000556,-0.8115489125349999
ACH-000557,-0.948442615467
ACH-000570,-0.9361164604659999
ACH-000571,-0.9288672156910001
ACH-000573,-0.907202311827
ACH-000576,-0.939234120283
ACH-000580,-0.939255022251
ACH-000584,-0.848938207123
ACH-000585,-0.9772498150650001
ACH-000588,-0.893680751057
ACH-000589,-0.936740726398
ACH-000591,-1.08816629986
ACH-000593,-0.9666093463259999
ACH-000600,-0.6831202556329999
ACH-000601,-0.762968268593
ACH-000604,-0.705717584164
ACH-000605,-0.897353988087
ACH-000606,-0.766369868855
ACH-000608,-0.714727494253
ACH-000614,-0.808584555002
ACH-000616,-0.948841099935
ACH-000618,-0.7374128445379999
ACH-000619,-0.72323665434
ACH-000620,-0.8207367964100001
ACH-000621,-0.972710732793
ACH-000622,-0.598220607032
ACH-000623,-1.17135035055
ACH-000624,-1.0223240604200001
ACH-000627,-0.853422860782
ACH-000630,-0.956704705315
ACH-000632,-0.923874125227
ACH-000633,-0.600886009274
ACH-000637,-1.18062358591
ACH-000638,-0.811462041748
ACH-000646,-0.38597103339
ACH-000647,-0.566432031509
ACH-000648,-0.731749333171
ACH-000649,-0.7436715665870001
ACH-000651,-0.9378431209720001
ACH-000652,-0.8793466384999999
ACH-000653,-1.05052015958
