,ERH (2079)
ACH-000004,-1.6214628482799998
ACH-000007,-1.4043233695299997
ACH-000009,-1.1665609649
ACH-000011,-1.5265610947100001
ACH-000012,-1.4041552836700002
ACH-000013,-1.3871246355200002
ACH-000014,-1.4178227135600001
ACH-000015,-1.2182464392
ACH-000017,-1.6113669127799999
ACH-000018,-1.0926284818799998
ACH-000019,-1.71259519683
ACH-000021,-1.27370359795
ACH-000022,-1.3956492326499998
ACH-000025,-1.34285168375
ACH-000028,-1.39656543129
ACH-000030,-1.13742789727
ACH-000035,-1.02799321552
ACH-000036,-1.38900601199
ACH-000037,-2.04987240565
ACH-000039,-1.2314462439700002
ACH-000040,-1.2844457164
ACH-000041,-1.3661422763
ACH-000042,-1.28189740124
ACH-000045,-1.42883689708
ACH-000047,-1.33396856387
ACH-000052,-1.3752794899899998
ACH-000053,-1.1240462835299998
ACH-000054,-1.42725058271
ACH-000055,-1.51679972864
ACH-000060,-1.4607166458399998
ACH-000067,-1.1896021165700001
ACH-000070,-1.45399656746
ACH-000075,-1.5334016906799999
ACH-000078,-1.3531010820200002
ACH-000082,-1.54931008499
ACH-000085,-1.5869077714300002
ACH-000086,-1.3527021411200002
ACH-000087,-1.3663010687900001
ACH-000092,-1.45680248713
ACH-000095,-1.39943801467
ACH-000097,-1.5922092843
ACH-000098,-1.4699742249399999
ACH-000099,-1.53693310273
ACH-000108,-1.41336884403
ACH-000113,-1.50594173773
ACH-000115,-1.38194001621
ACH-000116,-1.41722037194
ACH-000118,-1.224350576
ACH-000120,-1.4145211241100002
ACH-000123,-1.48591308909
ACH-000127,-1.33311074011
ACH-000128,-1.54541599074
ACH-000132,-1.28765521735
ACH-000133,-1.4324996386200002
ACH-000137,-1.6517618729299999
ACH-000138,-1.25871604487
ACH-000142,-1.4751533347799999
ACH-000143,-1.20141055983
ACH-000146,-1.5559810907299998
ACH-000148,-1.20600979577
ACH-000150,-1.31772184575
ACH-000152,-1.2271636615000001
ACH-000153,-1.68601122255
ACH-000159,-1.57119701754
ACH-000160,-1.404055731
ACH-000163,-1.19411962838
ACH-000167,-1.64281609264
ACH-000168,-1.4405652237200002
ACH-000169,-1.53517186946
ACH-000178,-1.3544394113799998
ACH-000182,-1.48200737876
ACH-000183,-1.4720083068
ACH-000188,-1.33891608437
ACH-000189,-1.33821850784
ACH-000190,-1.49957290209
ACH-000198,-1.5850530207299998
ACH-000204,-1.4504821031200001
ACH-000206,-2.44510042814
ACH-000207,-1.3193935634899998
ACH-000211,-1.61565121377
ACH-000215,-1.3608714432799998
ACH-000221,-1.38067694109
ACH-000222,-1.3732018660499998
ACH-000223,-1.43930952059
ACH-000226,-1.39638375535
ACH-000227,-1.65380223818
ACH-000228,-1.4583068225600002
ACH-000231,-1.5139457803100003
ACH-000232,-1.29139834386
ACH-000233,-1.24273031766
ACH-000234,-1.5947488172100002
ACH-000235,-1.33835759082
ACH-000237,-1.2248143275
ACH-000238,-1.21650145337
ACH-000243,-1.22255219265
ACH-000244,-1.42045878299
ACH-000246,-1.63654808777
ACH-000248,-1.30809285488
ACH-000250,-1.4422129746399999
ACH-000251,-1.11256657766
ACH-000253,-1.5313557300799998
ACH-000255,-1.21605945211
ACH-000256,-1.29404325173
ACH-000257,-1.33943770849
ACH-000258,-1.86015485907
ACH-000259,-1.1748188650700002
ACH-000260,-1.29321234576
ACH-000261,-1.5328144102899999
ACH-000262,-1.60919337814
ACH-000263,-1.6495813352500002
ACH-000264,-1.7290052211000002
ACH-000265,-1.4211238167200002
ACH-000266,-1.5504138402
ACH-000272,-1.60285108867
ACH-000273,-1.51259425631
ACH-000274,-1.7475537810900004
ACH-000277,-1.4387307657600001
ACH-000278,-1.29493447562
ACH-000279,-1.6023004072100002
ACH-000280,-0.9555691404719999
ACH-000281,-1.9099472504
ACH-000288,-1.32777845794
ACH-000291,-1.39428591984
ACH-000293,-1.36217736709
ACH-000294,-0.9731601406139999
ACH-000295,-1.586766087
ACH-000296,-1.04986994741
ACH-000302,-1.27687891549
ACH-000304,-1.25823343638
ACH-000307,-1.28850624321
ACH-000308,-2.0019016857599996
ACH-000310,-1.42896478459
ACH-000311,-1.28877366861
ACH-000312,-1.42088558402
ACH-000315,-1.19576546365
ACH-000316,-1.3904715200400002
ACH-000317,-1.6407887604700002
ACH-000318,-1.28703910922
ACH-000319,-1.21620791825
ACH-000320,-1.28520055659
ACH-000322,-1.17638615704
ACH-000323,-1.2744070731000001
ACH-000324,-1.30298229696
ACH-000329,-1.47418239335
ACH-000330,-1.32388897085
ACH-000331,-1.30625407691
ACH-000332,-1.31245331097
ACH-000334,-1.6754836253100003
ACH-000335,-1.4520703304799998
ACH-000336,-1.33665342317
ACH-000337,-1.48318365115
ACH-000339,-1.05313270086
ACH-000341,-1.5732538515999999
ACH-000348,-1.50529846409
ACH-000350,-1.6457509389700002
ACH-000352,-1.53059566986
ACH-000356,-1.39057267628
ACH-000361,-1.1912631696
ACH-000362,-1.3305574510299998
ACH-000363,-1.5665413823299998
ACH-000364,-1.04907804971
ACH-000365,-1.3461099750499999
ACH-000366,-1.30744990615
ACH-000368,-1.3802694664500001
ACH-000374,-1.4470179999000001
ACH-000375,-1.4525491728600002
ACH-000376,-1.43330007018
ACH-000381,-1.12491582124
ACH-000383,-1.42028997491
ACH-000387,-1.38683680512
ACH-000389,-1.0522094045700001
ACH-000390,-1.41786491225
