,LZTR1 (8216)
ACH-000368,0.225698547207
ACH-000374,0.22825645155000002
ACH-000375,0.328963763605
ACH-000376,0.0502245497338
ACH-000381,0.127940309716
ACH-000383,0.10879218980999998
ACH-000387,0.0512155742091
ACH-000389,0.202879436114
ACH-000390,0.13643285655999998
ACH-000393,-0.169628858037
ACH-000395,0.07659683154860002
ACH-000397,0.0025495053224699996
ACH-000401,0.0813991689898
ACH-000402,-0.141197406711
ACH-000403,-0.0629643590856
ACH-000404,-0.11135259146700001
ACH-000406,0.0368043225643
ACH-000407,-0.0588488825516
ACH-000408,-0.167627530526
ACH-000410,0.33600315416599996
ACH-000411,0.145548796925
ACH-000414,0.231967447852
ACH-000415,0.18970347754099998
ACH-000416,0.18264192068500001
ACH-000420,0.11715845635500001
ACH-000421,-0.185404932412
ACH-000424,0.505283330552
ACH-000425,-0.180988492491
ACH-000426,0.480806951167
ACH-000427,0.0355127705689
ACH-000433,-0.18396773333500002
ACH-000436,0.0206096623864
ACH-000444,-0.128454670044
ACH-000445,0.249925835627
ACH-000448,-0.00693577493099
ACH-000450,-0.0553063847604
ACH-000452,0.381305316664
ACH-000454,-0.214113985069
ACH-000458,-0.0806979491263
ACH-000459,0.014488472146900001
ACH-000460,0.0146480123367
ACH-000461,-0.19526602869000004
ACH-000463,-0.121427514088
ACH-000464,0.479425228056
ACH-000466,-0.00283310399669
ACH-000467,0.039448059367
ACH-000468,-0.0243651738518
ACH-000469,0.208407894984
ACH-000470,0.157567058851
ACH-000471,0.21132650216200002
ACH-000472,-0.0755925609373
ACH-000473,0.0682493671922
ACH-000475,0.0531533137371
ACH-000476,0.184758372935
ACH-000477,-0.131262936956
ACH-000480,-0.0150043192903
ACH-000481,0.25074266748199997
ACH-000483,-0.31660774763599997
ACH-000484,0.12232054777200001
ACH-000485,0.17278834285
ACH-000486,-0.146460880599
ACH-000487,0.434936150435
ACH-000488,-0.10500083520600001
ACH-000490,0.0941672082973
ACH-000491,0.131665635675
ACH-000495,0.005938815446649999
ACH-000496,0.369749578816
ACH-000499,-0.057990293900300006
ACH-000500,0.0792766218735
ACH-000502,-0.142876612051
ACH-000503,0.165328066539
ACH-000505,-0.0239206432357
ACH-000507,-0.0324024957711
ACH-000510,0.0416190711082
ACH-000511,0.11456023857799999
ACH-000512,-0.389214396427
ACH-000516,-0.043229733769500005
ACH-000517,-0.0516609598714
ACH-000518,0.000301647699883
ACH-000520,0.141819842349
ACH-000521,0.145064879471
ACH-000522,0.116101871072
ACH-000524,0.0103923642418
ACH-000527,0.024421998640900004
ACH-000528,-0.134720944475
ACH-000537,0.234283920506
ACH-000541,0.788859075072
ACH-000542,0.0795357638095
ACH-000544,0.262618457667
ACH-000545,0.138304305339
ACH-000547,0.037295372872
ACH-000548,0.09860942745380001
ACH-000549,-0.048907861069400003
ACH-000550,0.234295076519
ACH-000552,0.0359528631047
ACH-000556,0.11524645159399999
ACH-000557,0.26626206339
ACH-000570,-0.0236070186086
ACH-000571,0.1264654201
ACH-000573,0.00172711362733
ACH-000576,-0.14859280593399998
ACH-000580,-0.0153352715004
ACH-000584,0.09370173027499999
ACH-000585,0.602702251405
ACH-000588,0.457397146052
ACH-000589,-0.0701762356738
ACH-000591,0.0766577285767
ACH-000593,0.313541384952
ACH-000600,0.43546216800099996
ACH-000601,-0.0522290093736
ACH-000604,-0.130503552587
ACH-000605,0.12546249691400002
ACH-000606,0.026583528398500002
ACH-000608,-0.017562464156400004
ACH-000614,0.126123687693
ACH-000616,-0.13927740790100002
ACH-000618,-0.0874829851055
ACH-000619,0.0347168240163
ACH-000620,0.264880192095
ACH-000621,0.121879053305
ACH-000622,0.0824023233529
ACH-000623,-0.0325012581706
ACH-000624,-0.148914074522
ACH-000627,0.0948242184945
ACH-000630,0.17494966108399998
ACH-000632,-0.0839963061863
ACH-000633,0.0940634802926
ACH-000637,-0.050788482406
ACH-000638,0.102386510187
ACH-000646,0.020694584852099997
ACH-000647,0.043954187603599995
ACH-000648,0.145888672957
ACH-000649,0.0867810032172
ACH-000651,-0.0570353692205
ACH-000652,-0.135587213399
ACH-000653,0.012122246614999999
ACH-000657,0.270429441291
ACH-000658,0.45775045157099997
ACH-000661,0.216167862052
ACH-000662,-0.00433636642873
ACH-000663,0.060932296639
ACH-000665,-0.16365054590199998
ACH-000671,0.264591314749
ACH-000673,0.08983165828260001
ACH-000676,0.13854372103
ACH-000677,-0.05239364421230001
ACH-000681,-0.0637720824388
ACH-000682,0.0351376837743
ACH-000683,-0.151365955267
ACH-000684,0.37493768377400005
ACH-000688,0.234591876147
ACH-000693,-0.0528064787417
ACH-000694,-0.131227405268
ACH-000695,0.0311673262383
ACH-000696,0.130180143364
ACH-000697,-0.0681015095675
ACH-000699,-0.03771318029469999
ACH-000701,-0.026145065896799997
ACH-000706,-0.0211872330837
ACH-000711,-0.08781651752139999
ACH-000713,0.125119410969
ACH-000714,-0.42126323939599997
ACH-000718,-0.00891035962325
ACH-000720,0.0938935933464
ACH-000721,-0.11060691623199999
ACH-000724,-0.12118213952
ACH-000725,0.0514353456334
ACH-000732,-0.238312727511
ACH-000734,0.165517457005
ACH-000735,-0.13018095432399998
ACH-000736,0.0327808530377
ACH-000738,0.210734745583
ACH-000746,0.263729398283
ACH-000747,0.355529910587
ACH-000748,0.0676865118213
ACH-000753,0.366208107869
ACH-000756,0.17216898626
ACH-000757,-0.08609049802539999
ACH-000758,-0.315104093619
ACH-000760,0.42693058128899997
ACH-000763,0.300910637441
ACH-000764,-0.051892645417800004
ACH-000765,0.122176672042
ACH-000766,0.13780316235200002
ACH-000767,-0.0617910199963
ACH-000768,-0.073448449286
ACH-000769,-0.34280911347599996
ACH-000770,0.175844599615
ACH-000771,0.0290181798953
ACH-000773,-0.0232455176004
ACH-000776,-0.0779302731362
ACH-000777,-0.118368835517
ACH-000778,-0.217796361824
ACH-000781,0.120997413949
ACH-000782,8.15860876464e-05
ACH-000783,0.306876795737
ACH-000784,0.0270830900573
ACH-000785,0.113607677616
ACH-000787,0.0540286964762
ACH-000788,-0.0253506266562
ACH-000791,-0.320377268442
ACH-000792,0.178307722955
ACH-000794,0.169809604777
ACH-000796,0.21329674654800002
ACH-000799,-0.205275416327
ACH-000800,-0.357151550918
ACH-000802,0.00421451610256
ACH-000804,0.474227375057
ACH-000805,-0.269788654857
ACH-000809,-0.552531895668
ACH-000810,0.17634513705
ACH-000811,0.265636822619
ACH-000817,0.902643328794
ACH-000819,-0.0682469587236
ACH-000820,-0.374567705471
ACH-000821,-0.298065132478
ACH-000822,0.15860579977199998
ACH-000823,0.0231130419796
ACH-000824,0.137052524749
ACH-000827,-0.0367997594121
ACH-000829,-0.0776107579276
ACH-000831,0.0144923298363
ACH-000832,0.116007006767
ACH-000833,-0.35147376148299997
ACH-000834,-0.00631501012043
ACH-000835,-0.129164453742
ACH-000836,0.0196256589254
ACH-000837,-0.04860030977580001
ACH-000838,0.21660175531800002
ACH-000839,-0.255003580823
ACH-000840,-0.149475576924
ACH-000841,-0.11326246535800001
ACH-000843,0.17725759634100002
ACH-000846,-0.131324690141
ACH-000847,0.420435515805
ACH-000848,0.150924747118
ACH-000849,0.0472100454444
ACH-000851,0.0569799234397
ACH-000855,0.09117586700069999
ACH-000856,-0.227517098547
ACH-000858,-0.173180234767
ACH-000859,-0.344718410039
ACH-000861,0.0475415504716
ACH-000862,0.09890723293169999
ACH-000865,0.056890262396
ACH-000866,0.24282377242800002
ACH-000867,-0.147526412918
ACH-000869,0.06956856059689999
ACH-000872,-0.40438144511699997
ACH-000873,-0.0529023403787
ACH-000876,0.14452575336200002
ACH-000878,0.279292947429
ACH-000880,0.253301527055
ACH-000881,-0.053544650472
ACH-000882,0.024546659199200002
ACH-000884,-0.0320056550337
ACH-000885,0.11421608553899999
ACH-000887,-0.26486186275
ACH-000888,0.455963582923
ACH-000889,0.180650514548
ACH-000890,-0.22771179907400002
ACH-000896,0.234865799386
ACH-000898,-0.136294006921
ACH-000900,-0.18335782355
ACH-000901,-0.25578733757
ACH-000905,0.193381860182
ACH-000906,0.0018678633070999997
ACH-000907,0.102724284846
ACH-000910,-0.112943527747
ACH-000911,0.0437774779846
ACH-000912,-0.030073773300200002
ACH-000913,-0.0219245404586
ACH-000915,0.10213750043400001
ACH-000916,0.349560930035
ACH-000917,-0.0942720506363
ACH-000921,-0.08505837452189999
ACH-000924,-0.057703942174399996
ACH-000926,0.0677991754226
ACH-000928,0.19151609462000002
ACH-000929,0.115064980382
ACH-000932,-0.34121564363799994
ACH-000935,0.051912803451500004
ACH-000936,0.0623769567593
ACH-000937,-0.0485274832476
ACH-000938,0.12052073311799999
ACH-000939,-0.143032422608
ACH-000941,-0.028748874134200002
ACH-000943,0.056411878840699994
ACH-000946,-0.055329771577900005
ACH-000947,0.0190528440754
ACH-000948,0.129282339721
ACH-000950,0.5740601931620001
ACH-000953,-0.010429355357299998
ACH-000957,0.173908697112
ACH-000958,0.00221756273102
ACH-000960,0.0921233561048
ACH-000963,0.000621813620005
ACH-000968,0.463471842508
ACH-000969,-0.0506135376107
ACH-000973,0.0321747945397
ACH-000974,0.0312606440369
ACH-000975,-0.0180806222183
ACH-000976,0.09903822113260001
ACH-000978,0.0841211810505
ACH-000980,0.0160485726024
ACH-000984,0.31180204146699997
ACH-000986,-0.006006073248739999
ACH-000988,0.301599713935
ACH-000993,0.181387584366
ACH-000994,0.150713338851
ACH-000996,-0.20776490553100002
ACH-001001,-0.0588757577933
ACH-001020,0.0388746398056
ACH-001028,-0.00901745838981
ACH-001031,0.161305541291
ACH-001038,0.0661043205813
ACH-001048,0.23871110637600002
ACH-001050,0.441231171078
ACH-001053,-0.12205184212200001
ACH-001054,0.177672670279
ACH-001061,-0.042363789563699995
ACH-001067,-0.08155865780720001
ACH-001075,0.0595745406215
ACH-001096,0.11012847759500001
ACH-001128,0.202629517909
ACH-001134,-0.0444743181132
ACH-001151,-0.346809630554
ACH-001163,-0.0935586570848
ACH-001164,0.202280143819
ACH-001173,0.207163960665
ACH-001183,-0.187484069301
ACH-001184,-0.43317774476000004
ACH-001190,-0.0651109807386
ACH-001192,-0.22660253263500002
ACH-001193,0.0952574281687
ACH-001196,-0.007871331565520001
ACH-001197,-0.118305637105
ACH-001205,0.545575692842
ACH-001211,-0.113667262205
ACH-001212,-0.273567457044
ACH-001228,0.1701059326
ACH-001232,-0.049528908937599994
ACH-001239,-0.0994597494906
ACH-001274,0.060992598717900005
ACH-001275,0.193021108587
ACH-001277,0.046595270436
ACH-001278,0.349778067337
ACH-001280,0.538529104544
ACH-001283,0.647735835085
ACH-001289,-0.0500790880272
ACH-001295,-0.100492535077
ACH-001300,-0.00040475523622
ACH-001301,0.34648933794500003
ACH-001302,-0.19099347691500002
ACH-001303,-0.476835880473
ACH-001306,-0.048264223554699996
ACH-001318,0.25343173707899996
ACH-001322,-0.0944744056508
ACH-001328,-0.0104819471672
ACH-001332,-0.32077931534000004
ACH-001333,-0.16820688760699998
ACH-001336,-0.0535244343482
ACH-001340,0.0444556240505
ACH-001346,-0.21787290246899998
ACH-001353,-0.0255166416555
ACH-001354,-0.203542601586
ACH-001367,-0.510937354583
ACH-001368,0.144989455564
ACH-001374,0.12181900644999999
ACH-001375,-0.0857326636245
ACH-001377,0.265103423914
ACH-001380,0.203654461384
ACH-001391,-0.0520808321136
ACH-001407,-0.063745661881
ACH-001408,0.00537797527854
ACH-001413,0.0686763121796
ACH-001430,-0.0031668738981799997
ACH-001431,0.0272582466701
ACH-001450,0.17947037157600002
ACH-001496,0.173536234668
ACH-001500,0.24076096769000002
ACH-001521,0.133056727247
ACH-001523,0.300638605845
ACH-001532,0.316941668706
ACH-001536,-0.0667556920539
ACH-001550,-0.0995145085226
ACH-001552,0.41718169189599996
ACH-001554,-0.0703688076761
ACH-001645,-0.15997672804000002
ACH-001654,0.059824387795
ACH-001715,0.112134545026
ACH-001735,-0.301807705092
ACH-001736,0.181947273681
ACH-001737,0.7043808749250001
ACH-001740,-0.06353699258960001
ACH-001745,0.0571214497809
ACH-001750,-0.018340176772900004
ACH-001765,0.0554802889458
ACH-001956,0.048889286945
ACH-001957,0.13884102567099998
