,NFKBIE (4794)
ACH-000004,-0.380532794015
ACH-000007,-0.40932349254600003
ACH-000009,-0.536953011463
ACH-000011,-0.536775867916
ACH-000012,-0.525621556741
ACH-000013,-0.55526489819
ACH-000014,-0.24239371187800002
ACH-000015,-0.35842198211599996
ACH-000017,-0.777711933086
ACH-000018,-0.6189011220480001
ACH-000019,-0.493193591946
ACH-000021,-0.633388773883
ACH-000022,-0.6134190067440001
ACH-000025,-0.675312562946
ACH-000028,-0.459048533885
ACH-000030,-0.383057790995
ACH-000035,-0.452450351219
ACH-000036,-0.764153782618
ACH-000037,-0.583736367936
ACH-000039,-0.507308991034
ACH-000040,-0.641953511267
ACH-000041,-0.36381061947099996
ACH-000042,-0.443824159088
ACH-000045,-0.659848160727
ACH-000047,-0.636019467962
ACH-000052,-0.501237536224
ACH-000053,-0.487083245617
ACH-000054,-0.588863515478
ACH-000055,-0.699602628913
ACH-000060,-0.37490607331299997
ACH-000067,-0.8138588190100001
ACH-000070,-0.648150555057
ACH-000075,-0.127517962444
ACH-000078,-0.699813761768
ACH-000082,-0.6925796796070001
ACH-000085,-0.615291484784
ACH-000086,-0.64208536943
ACH-000087,-0.536236632418
ACH-000092,-0.633544626066
ACH-000095,-0.485254102914
ACH-000097,-0.67512568753
ACH-000098,-0.329823600147
ACH-000099,-0.6383611248009999
ACH-000108,-0.459135717028
ACH-000113,-0.358741260107
ACH-000115,-0.5415191121199999
ACH-000116,-0.508072701444
ACH-000118,-0.5145923585809999
ACH-000120,-0.569385093158
ACH-000123,-0.441887247605
ACH-000127,-0.508343508935
ACH-000128,-0.7050219646100001
ACH-000132,-0.406339533243
ACH-000133,-0.490184354538
ACH-000137,-0.565855357466
ACH-000138,-0.354713148327
ACH-000142,-0.647194184585
ACH-000143,-0.17230323659000002
ACH-000146,-0.38774789796
ACH-000148,-0.36569450983499996
ACH-000150,-0.40861871738600003
ACH-000152,-0.666608094395
ACH-000153,-0.376181696168
ACH-000159,-0.606290357748
ACH-000160,-0.19588313223200002
ACH-000163,-0.7190041704729999
ACH-000167,-0.488662812004
ACH-000168,-0.610512766028
ACH-000169,-0.522063831113
ACH-000178,-0.524826762786
ACH-000182,-0.618645700179
ACH-000183,-0.517309354855
ACH-000188,-0.7262390236399999
ACH-000189,-0.27942969187600003
ACH-000190,-0.732674011522
ACH-000198,-0.555618412288
ACH-000204,-0.667646184573
ACH-000206,-0.24931673987
ACH-000207,-0.971570066469
ACH-000211,-0.45161769651699996
ACH-000215,-0.466405325484
ACH-000221,-0.292603978747
ACH-000222,-0.457851480378
ACH-000223,-0.47160649633999996
ACH-000226,-0.559534271128
ACH-000227,-0.612455145273
ACH-000228,-0.633733916661
ACH-000231,-0.5767180264940001
ACH-000232,-0.45433381747
ACH-000233,-0.537709472597
ACH-000234,-0.502532059173
ACH-000235,-0.44076050309299997
ACH-000237,-0.371062043552
ACH-000238,-0.332766870429
ACH-000243,-0.536935482034
ACH-000244,-0.9327728127670001
ACH-000246,-0.463268610501
ACH-000248,-0.403347205637
ACH-000250,-0.449692264965
ACH-000251,-0.696828756792
ACH-000253,-0.6310447511039999
ACH-000255,-0.47033923085100005
ACH-000256,-0.866650193416
ACH-000257,-0.19937461603
ACH-000258,-0.763979297466
ACH-000259,-0.477959891777
ACH-000260,-0.667091525534
ACH-000261,-0.533626799964
ACH-000262,-0.232906436705
ACH-000263,-0.283368064747
ACH-000264,-0.481297938283
ACH-000265,-0.44483991942100004
ACH-000266,-0.598454852835
ACH-000272,-0.498191415823
ACH-000273,-0.43362895355400005
ACH-000274,-0.49571157359800005
ACH-000277,-0.593305030687
ACH-000278,-0.556200220084
ACH-000279,-0.495296687887
ACH-000280,-0.599942428545
ACH-000281,-0.308800930957
ACH-000288,-0.441789026588
ACH-000291,-0.276095133331
ACH-000293,-0.5917000513740001
ACH-000294,-0.36251946417400005
ACH-000295,-0.534309376234
ACH-000296,-0.9090549752760001
ACH-000302,-0.559172818924
ACH-000304,-0.6989831372490001
ACH-000307,-0.593892991147
ACH-000308,-0.628989883987
ACH-000310,-0.755362686327
ACH-000311,-0.37902782105300004
ACH-000312,-0.5266190823260001
ACH-000315,-0.0734129088725
ACH-000316,-0.5251492163889999
ACH-000317,-0.550165069822
ACH-000318,-0.491022974994
