,TIGD3 (220359)
ACH-000004,0.049772144090800004
ACH-000007,-0.0720874110899
ACH-000009,0.108620361952
ACH-000011,-0.215143793003
ACH-000012,-0.245053191464
ACH-000013,-0.324989191357
ACH-000014,0.167726255905
ACH-000015,-0.185340971963
ACH-000017,-0.027750981038700002
ACH-000018,-0.199594403733
ACH-000019,-0.384190802327
ACH-000021,-0.109990776472
ACH-000022,-0.036110806015199996
ACH-000025,-0.152754033161
ACH-000028,-0.0295327367509
ACH-000030,-0.253368634315
ACH-000035,-0.179999248953
ACH-000036,-0.163621434968
ACH-000037,-0.7180352161839999
ACH-000039,-0.425326588463
ACH-000040,-0.274367947638
ACH-000041,-0.166320325363
ACH-000042,-0.27699155417800003
ACH-000045,-0.153152363708
ACH-000047,-0.102488337251
ACH-000052,-0.00161941746124
ACH-000053,-0.204303898462
ACH-000054,-0.192999778403
ACH-000055,-0.174603116867
ACH-000060,-0.489876956683
ACH-000067,0.193536637944
ACH-000070,-0.194186155178
ACH-000075,-0.25201493371800004
ACH-000078,-0.13310962298
ACH-000082,-0.398351310207
ACH-000085,-0.165080329282
ACH-000086,-0.286305289327
ACH-000087,0.112079447728
ACH-000092,-0.315352721382
ACH-000095,-0.139697829727
ACH-000097,-0.0987411181484
ACH-000098,-0.197700679191
ACH-000099,-0.0034108238416
ACH-000108,-0.07942955666019999
ACH-000113,-0.197854600647
ACH-000115,-0.227223280766
ACH-000116,-0.267580926322
ACH-000118,-0.37812034876100004
ACH-000120,-0.10840846624500002
ACH-000123,0.0730839678279
ACH-000127,-0.18485650504099999
ACH-000128,-0.198468141346
ACH-000132,-0.40196445392200003
ACH-000133,-0.249227946441
ACH-000137,-0.0280003780271
ACH-000138,-0.319354039647
ACH-000142,-0.536547395365
ACH-000143,-0.0479496598185
ACH-000146,-0.07608964815510001
ACH-000148,-0.185783105409
ACH-000150,-0.16436688117
ACH-000152,-0.21744919591999998
ACH-000153,-0.132715140442
ACH-000159,-0.23357094655299998
ACH-000160,-0.296880381259
ACH-000163,-0.0801578890851
ACH-000167,-0.29953104864700003
ACH-000168,-0.057585629511
ACH-000169,-0.0469540757362
ACH-000178,-0.0986498304623
ACH-000182,-0.068358955748
ACH-000183,-0.123342857182
ACH-000188,-0.468860858523
ACH-000189,-0.286907660186
ACH-000190,-0.196233824829
ACH-000198,-0.0643605985468
ACH-000204,-0.246783724086
ACH-000206,-0.0865929772635
ACH-000207,-0.370897880048
ACH-000211,-0.265053305378
ACH-000215,0.030299991526200002
ACH-000221,-0.2673480157
ACH-000222,0.12145660102700001
ACH-000223,-0.0740163293475
ACH-000226,-0.39886489719400003
ACH-000227,-0.103079284542
ACH-000228,-0.481415504713
ACH-000231,-0.105344210253
ACH-000232,-0.0017719607412899998
ACH-000233,-0.214455596182
ACH-000234,-0.42154376675399996
ACH-000235,-0.10771605508899999
ACH-000237,-0.151789302149
ACH-000238,-0.21667731647
ACH-000243,-0.148856213377
ACH-000244,-0.5378287426199999
ACH-000246,-0.140898302586
ACH-000248,-0.21161692430100001
ACH-000250,-0.314620552512
ACH-000251,0.0410029663646
ACH-000253,-0.045182135003199994
ACH-000255,-0.181806181775
ACH-000256,-0.29298418372900004
ACH-000257,-0.059594395192300004
ACH-000258,-0.0147545742208
ACH-000259,-0.203968041519
ACH-000260,-0.318894639932
ACH-000261,-0.259339267648
ACH-000262,-0.322381342487
ACH-000263,-0.47982038516000003
ACH-000264,0.07198877532800001
ACH-000265,-0.017301521803700003
ACH-000266,-0.223676055253
ACH-000272,0.130764294385
ACH-000273,-0.0303311846064
ACH-000274,-0.141512956755
ACH-000277,-0.312286210322
ACH-000278,-0.401798802968
ACH-000279,-0.118340344632
ACH-000280,-0.18433857379299998
ACH-000281,-0.0352604766244
ACH-000288,-0.246843271911
ACH-000291,0.027497677928499997
ACH-000293,-0.304868291776
ACH-000294,-0.179088170619
ACH-000295,-0.199649416055
ACH-000296,0.22504324585299998
ACH-000302,-0.0209965878507
ACH-000304,-0.0671353807809
ACH-000307,-0.206745532802
ACH-000308,-0.44929780520400003
ACH-000310,-0.100915905799
ACH-000311,0.0175206239105
ACH-000312,-0.10888761007200001
ACH-000315,-0.460827666003
ACH-000316,-0.386497183525
ACH-000317,-0.164289652106
ACH-000318,-0.288697909988
ACH-000319,-0.511592471844
ACH-000320,0.068110495104
ACH-000322,-0.162369065197
ACH-000323,-0.152759484654
ACH-000324,-0.10596594560799999
ACH-000329,0.000933944747724
ACH-000330,-0.171752264019
ACH-000331,-0.232489946155
ACH-000332,-0.20361190873100002
ACH-000334,0.0250261650814
ACH-000335,-0.316334431743
ACH-000336,0.19003773011
ACH-000337,-0.233178754835
ACH-000339,-0.028011936724200003
ACH-000341,-0.0534575361503
ACH-000348,0.165679096286
ACH-000350,0.13394592066
ACH-000352,-0.105414080302
ACH-000356,-0.398599456288
ACH-000361,-0.367971554574
ACH-000362,-0.0388657630312
ACH-000363,-0.128913856393
ACH-000364,-0.0336139421179
ACH-000365,-0.187514538347
ACH-000366,-0.351920764026
ACH-000368,-0.267818149401
ACH-000374,-0.246170016776
ACH-000375,0.18255704550299998
ACH-000376,-0.193753110447
ACH-000381,-0.0249668175335
ACH-000383,-0.37276846882700004
ACH-000387,-0.056001040173000005
ACH-000389,-0.27245042460200003
ACH-000390,-0.162023125887
ACH-000393,-0.30559407226999996
ACH-000395,-0.07715389372310001
ACH-000397,-0.147121579386
ACH-000401,-0.196684859151
ACH-000402,-0.595397440579
ACH-000403,-0.156602929542
ACH-000404,-0.309889670245
ACH-000406,-0.19957236675999998
ACH-000407,-0.0895713091894
ACH-000408,-0.342617617333
ACH-000410,-0.192226015955
ACH-000411,-0.16504186757
ACH-000414,-0.122552168429
ACH-000415,-0.5140505025159999
ACH-000416,-0.180580331369
ACH-000420,-0.35197659415
ACH-000421,-0.279703302758
ACH-000424,-0.434591980541
ACH-000425,-0.155880357257
ACH-000426,-0.00571557312512
ACH-000427,-0.36874474981600003
ACH-000433,-0.36091833881200003
ACH-000436,0.03706244239
ACH-000444,-0.264052569555
ACH-000445,-0.566277055355
ACH-000448,-0.12318755814200001
ACH-000450,-0.18387899219599999
ACH-000452,-0.22856403976700002
ACH-000454,-0.247067711647
ACH-000458,-0.47596539053000003
ACH-000459,0.0567122285466
ACH-000460,-0.189174042333
ACH-000461,-0.211459312319
ACH-000463,-0.21032124196
ACH-000464,-0.209411445351
ACH-000466,-0.41935184554399996
ACH-000467,-0.31866086203099997
ACH-000468,-0.17511939938499999
ACH-000469,-0.107473586193
ACH-000470,-0.015992008927200003
ACH-000471,-0.217549099706
ACH-000472,-0.0299128712048
ACH-000473,-0.00375736278926
ACH-000475,-0.119809709515
ACH-000476,-0.0626467977926
ACH-000477,0.0542883275185
ACH-000480,-0.060860302541899995
ACH-000481,0.0593903554022
ACH-000483,-0.34219966807400004
ACH-000484,0.07949254270669999
ACH-000485,-0.0845899169567
ACH-000486,-0.241598328281
ACH-000487,-0.175759988121
ACH-000488,-0.22564924494199998
ACH-000490,-0.30934450316
ACH-000491,-0.0879167590991
ACH-000495,-0.0306455327765
ACH-000496,-0.0396398132514
ACH-000499,0.0161549486708
ACH-000500,-0.49065957409500005
ACH-000502,-0.22886809658399998
ACH-000503,-0.7564441304539999
ACH-000505,-0.0917356241553
ACH-000507,-2.4688546621900003e-06
ACH-000510,-0.10204982165
ACH-000511,-0.12223376024700001
ACH-000512,-0.000244791159242
ACH-000516,-0.09210484156330001
ACH-000517,-0.192703718463
ACH-000518,-0.256216694773
ACH-000520,-0.247666487117
ACH-000521,-0.029883536449500002
ACH-000522,-0.246174266894
ACH-000524,-0.23077265263900001
ACH-000527,-0.0888510186621
ACH-000528,-0.06279303213819999
ACH-000537,-0.0387022141677
ACH-000541,-0.0630530089264
ACH-000542,-0.303256566998
ACH-000544,-0.429497829082
ACH-000545,-0.24780810821
ACH-000547,-0.254143721742
ACH-000548,-0.43918481217200006
ACH-000549,-0.307377166418
ACH-000550,0.00100009191274
ACH-000552,-0.209170779945
ACH-000556,-0.16448872614
ACH-000557,-0.12527605345
ACH-000570,-0.24471679761300003
ACH-000571,0.12023684873099999
ACH-000573,-0.0384369342781
ACH-000576,-0.0352622051906
ACH-000580,-0.338130516211
ACH-000584,-0.10304500416000001
ACH-000585,-0.321253281634
ACH-000588,-0.055060647267399995
ACH-000589,-0.0542852411435
ACH-000591,-0.111924134789
ACH-000593,-0.29199636196600004
ACH-000600,-0.428434613511
ACH-000601,-0.166070318066
ACH-000604,0.0551994367064
ACH-000605,-0.013571513355700001
ACH-000606,-0.590962270327
ACH-000608,-0.313633439939
ACH-000614,-0.282697167854
ACH-000616,-0.40874269139200003
ACH-000618,-0.286620287507
ACH-000619,-0.389278408309
ACH-000620,0.00768511970293
ACH-000621,-0.22332424362599998
ACH-000622,-0.20272197159299998
ACH-000623,-0.530923614257
ACH-000624,-0.17397362868900001
ACH-000627,-0.030502294741599996
ACH-000630,-0.308696154762
ACH-000632,-0.13565118469100002
ACH-000633,-0.170640965929
ACH-000637,-0.662540562917
ACH-000638,-0.0389934599585
ACH-000646,-0.089712474797
ACH-000647,-0.10785035671700001
ACH-000648,-0.00403401133711
ACH-000649,-0.177254116104
ACH-000651,-0.0161164355242
ACH-000652,-0.17024278756900002
ACH-000653,-0.021715042025500002
ACH-000657,-0.333791004793
ACH-000658,-0.14366126354699998
ACH-000661,-0.254162911476
ACH-000662,-0.789010710557
ACH-000663,-0.176016030156
ACH-000665,-0.37504835156599997
ACH-000671,-0.262406340339
ACH-000673,-0.15306537297
ACH-000676,-0.126948786857
ACH-000677,-0.20755527820500003
