,KNG1 (3827)
ACH-000004,-0.19193248208500002
ACH-000007,-0.04627048978019999
ACH-000009,-0.402944852003
ACH-000011,-0.246565750253
ACH-000012,0.00366680582482
ACH-000013,-0.014705232331600001
ACH-000014,-0.20817759993700002
ACH-000015,-0.35581522548699995
ACH-000017,-0.165246907974
ACH-000018,-0.301701194173
ACH-000019,-0.0127188103205
ACH-000021,-0.09625319253049999
ACH-000022,-0.125930021444
ACH-000025,-0.309224364618
ACH-000028,-0.093737443279
ACH-000030,-0.22700618712499998
ACH-000035,-0.0815002052248
ACH-000036,-0.340876105788
ACH-000037,-0.181323924096
ACH-000039,-0.0797769206862
ACH-000040,-0.0755557158152
ACH-000041,-0.227466411965
ACH-000042,-0.24085982060400002
ACH-000045,-0.33589848290200003
ACH-000047,-0.18454143551399999
ACH-000052,-0.09533865341679999
ACH-000053,-0.164041461257
ACH-000054,-0.443103982749
ACH-000055,-0.455716791564
ACH-000060,-0.442013295693
ACH-000067,-0.0935399062326
ACH-000070,-0.129571333936
ACH-000075,-0.37099292577699994
ACH-000078,-0.234326139232
ACH-000082,-0.102528932543
ACH-000085,-0.294858675541
ACH-000086,-0.342057534661
ACH-000087,0.023974146663900003
ACH-000092,-0.311356657963
ACH-000095,-0.251844222455
ACH-000097,-0.226777177128
ACH-000098,-0.137407926753
ACH-000099,-0.17212033272
ACH-000108,-0.338401692738
ACH-000113,-0.27013536231999996
ACH-000115,-0.245021015828
ACH-000116,-0.43550284607900003
ACH-000118,-0.184321986692
ACH-000120,-0.25244841146499997
ACH-000123,-0.128993302359
ACH-000127,-0.172277753704
ACH-000128,-0.49818918442500004
ACH-000132,-0.291862864976
ACH-000133,-0.139100974858
ACH-000137,-0.235508688125
ACH-000138,-0.39132825999399995
ACH-000142,-0.329509667535
ACH-000143,-0.11177328148900001
ACH-000146,-0.327591639328
ACH-000148,-0.221843374718
ACH-000150,-0.32150837483100003
ACH-000152,-0.178036387464
ACH-000153,-0.240957510116
ACH-000159,-0.23137298996
ACH-000160,-0.17645666841899998
ACH-000163,-0.07565849128499999
ACH-000167,-0.130350622918
ACH-000168,-0.210053852267
ACH-000169,-0.13544371078700002
ACH-000178,-0.228248907141
ACH-000182,-0.107329869181
ACH-000183,-0.095574927324
ACH-000188,-0.04487870545869999
ACH-000189,-0.40981013202600003
ACH-000190,-0.394453011373
ACH-000198,-0.270770070913
ACH-000204,-0.007583000218239999
ACH-000206,-0.20465993125
ACH-000207,-0.8437584638269999
ACH-000211,-0.279600303151
ACH-000215,-0.31481528596700004
ACH-000221,-0.170610092328
ACH-000222,-0.244588957327
ACH-000223,-0.28521640016800004
ACH-000226,-0.21815400043699998
ACH-000227,-0.21437968053
ACH-000228,-0.0499481894487
ACH-000231,-0.300213508084
ACH-000232,-0.381805330216
ACH-000233,-0.353715100097
ACH-000234,-0.16871906456500002
ACH-000235,-0.284544719252
ACH-000237,-0.27010073493500003
ACH-000238,-0.186988379716
ACH-000243,-0.100229800359
ACH-000244,-0.45511208366800004
ACH-000246,-0.30864869214400004
ACH-000248,-0.193279992196
ACH-000250,-0.291794521727
ACH-000251,0.056172938887800006
ACH-000253,-0.0739912659161
ACH-000255,-0.22601872702
ACH-000256,-0.141626995229
ACH-000257,-0.047921370006599996
ACH-000258,-0.28230081262
ACH-000259,-0.277437315493
ACH-000260,-0.102012563276
ACH-000261,-0.31153752447099997
ACH-000262,-0.0729326999975
ACH-000263,-0.362451063118
ACH-000264,-0.211314772672
ACH-000265,-0.0672058484339
ACH-000266,-0.34170121776999995
ACH-000272,-0.32613262767900003
ACH-000273,-0.12947352914899998
ACH-000274,-0.461987353694
ACH-000277,-0.330795001784
ACH-000278,-0.17309531780499998
ACH-000279,-0.5158834701730001
ACH-000280,-0.239411303801
ACH-000281,-0.364301429848
ACH-000288,-0.27977312501999996
