,HPCA (3208)
ACH-000004,-0.160902626625
ACH-000007,-0.056473318448
ACH-000009,-0.210700048589
ACH-000011,-0.219036642117
ACH-000012,-0.38500131052000003
ACH-000013,-0.331003705206
ACH-000014,-0.08108142561130001
ACH-000015,-0.330888846714
ACH-000017,-0.221839594726
ACH-000018,-0.25123595154
ACH-000019,-0.07757739398249999
ACH-000021,-0.330928396391
ACH-000022,-0.004155751616760001
ACH-000025,-0.20828792753199998
ACH-000028,-0.20563685952799998
ACH-000030,-0.178773770596
ACH-000035,-0.367019179027
ACH-000036,-0.272824197915
ACH-000037,-0.274222830724
ACH-000039,-0.485933933495
ACH-000040,-0.09181603247220001
ACH-000041,-0.311457031111
ACH-000042,-0.35644675919200003
ACH-000045,-0.186647677392
ACH-000047,-0.301612012121
ACH-000052,-0.305301248019
ACH-000053,-0.226013172047
ACH-000054,-0.127769950764
ACH-000055,-0.0213814007981
ACH-000060,-0.24496657884700002
ACH-000067,-0.166114246515
ACH-000070,-0.08690876156840001
ACH-000075,-0.0646907497306
ACH-000078,-0.383735292274
ACH-000082,-0.285710886365
ACH-000085,-0.410008576294
ACH-000086,-0.278095271857
ACH-000087,-0.08176809271289999
ACH-000092,-0.561854477078
ACH-000095,-0.256760593565
ACH-000097,-0.243661401997
ACH-000098,-0.119489431351
ACH-000099,-0.477974044954
ACH-000108,-0.447626416439
ACH-000113,-0.04995717148159999
ACH-000115,-0.250181605876
ACH-000116,-0.291347674429
ACH-000118,-0.277991623809
ACH-000120,-0.131545106358
ACH-000123,-0.41953395510200003
ACH-000127,-0.08589353601410002
ACH-000128,-0.34422495205700004
ACH-000132,-0.35565416654200005
ACH-000133,-0.381815064454
ACH-000137,-0.142067173763
ACH-000138,-0.164432015254
ACH-000142,-0.463554731163
ACH-000143,-0.404972345988
ACH-000146,-0.19458215746500002
ACH-000148,-0.13952162999
ACH-000150,-0.716048796823
ACH-000152,-0.17778904554299998
ACH-000153,-0.245157133142
ACH-000159,-0.0511399141886
ACH-000160,-0.184829924919
ACH-000163,-0.191313923513
ACH-000167,-0.297589685301
ACH-000168,-0.33733301501
ACH-000169,-0.30117991845
ACH-000178,-0.258444158533
ACH-000182,-0.18234467128100001
ACH-000183,-0.0737344956075
ACH-000188,-0.430475886715
ACH-000189,-0.447457545304
ACH-000190,-0.13144448271099998
ACH-000198,-0.17657740974599997
ACH-000204,-0.491590019545
ACH-000206,-0.197531161325
ACH-000207,-0.060529652648099994
ACH-000211,-0.0923737262253
ACH-000215,-0.210479528537
ACH-000221,-0.162996434524
ACH-000222,-0.146495848407
ACH-000223,-0.195680880674
ACH-000226,-0.264058591475
ACH-000227,-0.236351169327
ACH-000228,-0.0353580190067
ACH-000231,-0.25194878768
ACH-000232,-0.109759839715
ACH-000233,-0.234197401968
ACH-000234,-0.253811178975
ACH-000235,-0.18508090029899998
ACH-000237,-0.31697054709100003
ACH-000238,-0.42719657114799997
ACH-000243,-0.181902709388
ACH-000244,-0.260110919496
ACH-000246,-0.231096990729
ACH-000248,-0.32028319515799997
ACH-000250,-0.236224934311
ACH-000251,0.021770543330200003
ACH-000253,-0.10118121888
ACH-000255,-0.217132065443
ACH-000256,-0.333214554659
ACH-000257,0.05749606232340001
ACH-000258,-0.172472975691
ACH-000259,-0.280112817247
ACH-000260,-0.273926931704
ACH-000261,-0.0804722136712
ACH-000262,-0.114249930996
ACH-000263,-0.316709064353
ACH-000264,-0.209207429804
ACH-000265,-0.340809305232
ACH-000266,-0.217210864666
ACH-000272,-0.0874945313205
ACH-000273,-0.08819531845100001
