,YTHDC1 (91746)
ACH-000004,-0.760411079252
ACH-000007,-0.630322919097
ACH-000009,-0.533230430896
ACH-000011,-0.624752768196
ACH-000012,-0.5777746821649999
ACH-000013,-0.343797301578
ACH-000014,-0.24941812891800003
ACH-000015,-0.39970095610699996
ACH-000017,-0.571540531453
ACH-000018,-0.334799507027
ACH-000019,-0.880999300567
ACH-000021,-0.42200698966399997
ACH-000022,-0.712167068737
ACH-000025,-0.51809524657
ACH-000028,-0.603811889289
ACH-000030,-0.526966218899
ACH-000035,-0.6697951734709999
ACH-000036,-0.495982815344
ACH-000037,-0.71223622394
ACH-000039,-0.7009092168950001
ACH-000040,-0.38877172665799997
ACH-000041,-0.590884841656
ACH-000042,-0.51648730996
ACH-000045,-0.815865013018
ACH-000047,-0.5727380820970001
ACH-000052,-0.829907019614
ACH-000053,-0.623245022707
ACH-000054,-0.6195365795960001
ACH-000055,-0.33555256948
ACH-000060,-0.339509773179
ACH-000067,-0.298846644991
ACH-000070,-0.586818109071
ACH-000075,-0.472021077483
ACH-000078,-0.662025509513
ACH-000082,-0.655374130993
ACH-000085,-0.408104039068
ACH-000086,-0.259630604984
ACH-000087,-0.759944375693
ACH-000092,-0.651271750423
ACH-000095,-0.668188109478
ACH-000097,-0.753876492958
ACH-000098,-0.521234477465
ACH-000099,-0.411060228652
ACH-000108,-0.73935061251
ACH-000113,-0.6540492511339999
ACH-000115,-0.7504505190340001
ACH-000116,-0.958153029369
ACH-000118,-0.5112285339239999
ACH-000120,-0.37329498024499996
ACH-000123,-0.745165717882
ACH-000127,-0.5530194257959999
ACH-000128,-0.7863947236900001
ACH-000132,-0.5163735244650001
ACH-000133,-0.144674258026
ACH-000137,-0.844603647438
ACH-000138,-0.596732046188
ACH-000142,-0.378944539215
ACH-000143,-0.809934199471
ACH-000146,-0.881824082641
ACH-000148,-0.389525040345
ACH-000150,-0.44988066106799995
ACH-000152,-0.598914404786
ACH-000153,-0.517198548824
ACH-000159,-0.49276045039599997
ACH-000160,-0.7465141062980001
ACH-000163,-0.48937298591300005
ACH-000167,-0.957766630951
ACH-000168,-0.663495433699
ACH-000169,-0.699300583274
ACH-000178,-0.7000830149420001
ACH-000182,-0.555357893669
ACH-000183,-0.38926307212800004
ACH-000188,-0.427412552994
ACH-000189,-0.903055821706
ACH-000190,-1.1276587147700001
ACH-000198,-0.562971019521
ACH-000204,-0.8592196580589999
ACH-000206,-0.70752578978
ACH-000207,-0.472450507646
ACH-000211,-0.719921139252
ACH-000215,-0.57524810881
ACH-000221,-1.03779880971
ACH-000222,-0.721831648448
ACH-000223,-1.00492062044
ACH-000226,-0.544534160701
ACH-000227,-0.0924644264738
