,SKIV2L (6499)
ACH-000004,-0.32521438731999996
ACH-000007,-0.137030508671
ACH-000009,-0.232588816937
ACH-000011,-0.247246711701
ACH-000012,-0.366787249914
ACH-000013,-0.219164083522
ACH-000014,-0.524369499729
ACH-000015,-0.0822404617188
ACH-000017,-0.405212222038
ACH-000018,-0.335026597958
ACH-000019,-0.175514717324
ACH-000021,-0.08441254825919998
ACH-000022,-0.145188882494
ACH-000025,-0.303255849866
ACH-000028,-0.469609866858
ACH-000030,-0.134344769792
ACH-000035,-0.6925967969
ACH-000036,-0.22471107901
ACH-000037,-0.32271406213799997
ACH-000039,-0.060477775865
ACH-000040,-0.258717224952
ACH-000041,-0.096995912697
ACH-000042,-0.0978031035131
ACH-000045,-0.494270680471
ACH-000047,-0.187619407492
ACH-000052,-0.450110049889
ACH-000053,-0.23356331424000001
ACH-000054,-0.20170204592799998
ACH-000055,-0.301002396227
ACH-000060,-0.27427025699900004
ACH-000067,-0.19984750870700002
ACH-000070,-0.33052093584000003
ACH-000075,-0.453986038732
ACH-000078,-0.139728203715
ACH-000082,-0.312164078187
ACH-000085,-0.364787971567
ACH-000086,-0.251368424341
ACH-000087,0.0324229134726
ACH-000092,-0.205340097764
ACH-000095,-0.27430412913
ACH-000097,-0.301353457021
ACH-000098,-0.186802023387
ACH-000099,0.0440464053405
ACH-000108,-0.350443577482
ACH-000113,-0.058578900959
ACH-000115,-0.36990909960900004
ACH-000116,-0.274633846826
ACH-000118,-0.0054867829938500005
ACH-000120,-0.21629762673900002
ACH-000123,-0.27537011798
ACH-000127,-0.20231795734299998
ACH-000128,-0.269083971927
ACH-000132,-0.3096648723
ACH-000133,-0.284403797714
ACH-000137,-0.21873210516199998
ACH-000138,-0.213933943661
ACH-000142,-0.20174408128199997
ACH-000143,-0.22483741439100002
ACH-000146,-0.169513479346
ACH-000148,-0.08744021734210002
ACH-000150,-0.060120160624
ACH-000152,-0.12755045286699998
ACH-000153,-0.280748670452
ACH-000159,-0.28221138971099996
ACH-000160,-0.285153434978
ACH-000163,-0.309021182104
ACH-000167,-0.5756655705879999
