,POLR3F (10621)
ACH-000004,-0.903113490475
ACH-000007,-0.7328765484659999
ACH-000009,-1.2306300858499999
ACH-000011,-0.9258372168629999
ACH-000012,-1.35482676747
ACH-000013,-1.03252557969
ACH-000014,-1.12728539032
ACH-000015,-1.01099508178
ACH-000017,-1.14187463468
ACH-000018,-0.8677143152600001
ACH-000019,-1.3589462643599999
ACH-000021,-1.33743385052
ACH-000022,-0.770189531759
ACH-000025,-1.25243527262
ACH-000028,-1.25272752276
ACH-000030,-1.1759168996
ACH-000035,-1.1121660362399999
ACH-000036,-1.31998082344
ACH-000037,-1.05334373567
ACH-000039,-1.16689119451
ACH-000040,-1.07418132368
ACH-000041,-1.01702374057
ACH-000042,-1.2316983842799998
ACH-000045,-1.17869858327
ACH-000047,-1.05807592456
ACH-000052,-1.18868972141
ACH-000053,-1.27432452941
ACH-000054,-1.17994301945
ACH-000055,-1.31562500924
ACH-000060,-1.1529636782700001
ACH-000067,-1.11423824074
ACH-000070,-1.15848518588
ACH-000075,-1.1018934207100002
ACH-000078,-0.9749179054770001
ACH-000082,-1.11119917284
ACH-000085,-1.14371911625
ACH-000086,-1.2913111807
ACH-000087,-1.4039207891999999
ACH-000092,-1.2934905008700002
ACH-000095,-1.5184186443
ACH-000097,-1.3410405569700001
ACH-000098,-1.30543975356
ACH-000099,-1.17035368425
ACH-000108,-1.5790721237
ACH-000113,-1.36123129038
ACH-000115,-1.3049897972
ACH-000116,-1.14606310346
ACH-000118,-1.33784969198
ACH-000120,-0.996526227237
ACH-000123,-1.32177493712
ACH-000127,-1.17158443907
ACH-000128,-1.35306135102
ACH-000132,-1.46715034364
ACH-000133,-1.18953089955
ACH-000137,-1.4985366779499998
ACH-000138,-1.01864369745
ACH-000142,-0.92164731955
ACH-000143,-1.14407369436
ACH-000146,-1.38828164801
ACH-000148,-0.973511986177
ACH-000150,-1.24932313933
ACH-000152,-1.11910953168
ACH-000153,-0.8344115228039999
ACH-000159,-1.0775496990200002
ACH-000160,-0.948616114383
ACH-000163,-0.9168284178899999
ACH-000167,-0.788166495301
ACH-000168,-1.18286445805
ACH-000169,-1.15270750136
ACH-000178,-1.11816897615
ACH-000182,-1.43996865482
ACH-000183,-1.12482005734
ACH-000188,-1.12333802424
ACH-000189,-1.13363993907
ACH-000190,-0.5119728373100001
ACH-000198,-1.3278468996200001
ACH-000204,-1.0119158804200001
ACH-000206,-1.2951962389700002
ACH-000207,-1.7351000739900002
ACH-000211,-1.43078731157
ACH-000215,-1.10032390831
ACH-000221,-1.23887340578
ACH-000222,-1.3071257904
ACH-000223,-1.3593290565600002
ACH-000226,-1.1085666472700002
ACH-000227,-0.719677890023
ACH-000228,-1.2637512683
ACH-000231,-1.4485733529700002
ACH-000232,-1.4534734105200002
ACH-000233,-1.19599816056
ACH-000234,-1.11273876875
ACH-000235,-1.35694669037
ACH-000237,-1.47546261361
ACH-000238,-1.03569415776
ACH-000243,-1.18810558478
ACH-000244,-1.27446049498
ACH-000246,-1.06658527453
ACH-000248,-1.10954406319
ACH-000250,-1.1296022398
ACH-000251,-1.35107001705
ACH-000253,-1.17486665252
ACH-000255,-1.08596000662
ACH-000256,-1.1061089472
ACH-000257,-1.05939390183
ACH-000258,-1.31481501985
