,PLA2G2F (64600)
ACH-000004,0.068218778212
ACH-000007,-0.0980525473209
ACH-000009,-0.0647717174448
ACH-000011,-0.0618654960567
ACH-000012,-0.0651733352559
ACH-000013,-0.12882936501199999
ACH-000014,-0.333356297899
ACH-000015,-0.173228773743
ACH-000017,-0.0306813900054
ACH-000018,-0.224846431107
ACH-000019,-0.419864752437
ACH-000021,-0.0467500304263
ACH-000022,-0.237964174379
ACH-000025,-0.105808243968
ACH-000028,-0.0361670084969
ACH-000030,-0.0349318605749
ACH-000035,-0.225135802459
ACH-000036,-0.143303269414
ACH-000037,-0.05481507700680001
ACH-000039,0.17152947991700002
ACH-000040,-0.08324504858989999
ACH-000041,-0.207263919589
ACH-000042,-0.135257802086
ACH-000045,0.0660959881249
ACH-000047,-0.169100806107
ACH-000052,-0.191976592544
ACH-000053,-0.0380742244118
ACH-000054,-0.0327222246563
ACH-000055,-0.246424837419
ACH-000060,-0.041244470455300004
ACH-000067,-0.038119474354199996
ACH-000070,-0.175890004489
ACH-000075,-0.206339639524
ACH-000078,0.022357563360799998
ACH-000082,-0.20150465478500001
ACH-000085,-0.314933354003
ACH-000086,-0.12596651750399998
ACH-000087,-0.0281382870526
ACH-000092,-0.093452283122
ACH-000095,-0.046456455084300005
ACH-000097,-0.181880051334
ACH-000098,-0.04506131041
ACH-000099,-0.164566005627
ACH-000108,-0.19374276708500002
ACH-000113,-0.20334214028499997
ACH-000115,-0.12698016597200001
ACH-000116,-0.072787611604
ACH-000118,-0.0378159421926
ACH-000120,0.008886784990129999
ACH-000123,-0.193984713644
ACH-000127,-0.09437036918780001
ACH-000128,-0.31052194595800003
ACH-000132,-0.0946836359805
ACH-000133,0.0093717220795
ACH-000137,-0.059214508296900004
ACH-000138,-0.141780449962
ACH-000142,-0.050315484399899996
ACH-000143,-0.190966732062
ACH-000146,-0.11048001464000001
ACH-000148,-0.031787744950900004
ACH-000150,-0.435393395897
ACH-000152,-0.235963560814
ACH-000153,0.0142248237998
ACH-000159,-0.147443105035
ACH-000160,-0.204270852287
ACH-000163,-0.0618066880658
ACH-000167,-0.0307080458481
ACH-000168,-0.158894593543
ACH-000169,-0.143172879522
ACH-000178,0.0014014269294899998
ACH-000182,-0.055876348391500005
ACH-000183,-0.173497023682
ACH-000188,-0.207982165498
ACH-000189,0.142254755265
ACH-000190,-0.11762044471100001
ACH-000198,-0.066451716019
ACH-000204,0.0774942032341
ACH-000206,-0.202450630132
ACH-000207,0.284570385082
ACH-000211,0.010275279549799999
ACH-000215,-0.06258025282259999
ACH-000221,-0.054103000542400005
ACH-000222,-0.0432451426559
ACH-000223,-0.00493372351433
ACH-000226,-0.13389353607
ACH-000227,-0.265098320012
ACH-000228,0.0672858957493
ACH-000231,-0.238246465578
ACH-000232,-0.052411076263
ACH-000233,0.071758529944
ACH-000234,-0.16508879377
