,PMFBP1 (83449)
ACH-000004,-0.09956361525389999
ACH-000007,-0.21253901574499998
ACH-000009,-0.115662419753
ACH-000011,-0.0093411073295
ACH-000012,-0.0146664059445
ACH-000013,-0.134481307246
ACH-000014,-0.0138889666337
ACH-000015,-0.015546276809700001
ACH-000017,-0.06048915115669999
ACH-000018,-0.014459761043200002
ACH-000019,-0.021557750383700003
ACH-000021,-0.046116469726999995
ACH-000022,0.0383293759501
ACH-000025,-0.257604807331
ACH-000028,-0.164400409872
ACH-000030,-0.0912683739408
ACH-000035,-0.0179033263834
ACH-000036,0.0217507293361
ACH-000037,-0.017602201906000002
ACH-000039,0.0747600496012
ACH-000040,-0.022843157933400002
ACH-000041,0.020265723854599998
ACH-000042,-0.025149423576700004
ACH-000045,0.09426799347310001
ACH-000047,0.006191636521120001
ACH-000052,-0.07573426093669999
ACH-000053,-0.00784165954986
ACH-000054,-0.022521782004999998
ACH-000055,-0.118305960911
ACH-000060,0.10026808759099999
ACH-000067,-0.137221862964
ACH-000070,0.037369858267000004
ACH-000075,-0.24710413921399998
ACH-000078,-0.08780749487119999
ACH-000082,-0.0392751241622
ACH-000085,-0.22216655265000002
ACH-000086,-0.13409983926
ACH-000087,-0.196794361642
ACH-000092,-0.19703126529399997
ACH-000095,-0.048577340317
ACH-000097,-0.0306348999192
ACH-000098,-0.174178211725
ACH-000099,0.00805678245412
ACH-000108,-0.055282001386
ACH-000113,0.0150263602431
ACH-000115,-0.248846970406
ACH-000116,-0.0361583935074
ACH-000118,-0.0110146996513
ACH-000120,-0.190376105731
ACH-000123,-0.029507897708200004
ACH-000127,-0.05995782371280001
ACH-000128,0.0969637790318
ACH-000132,-0.119438830661
ACH-000133,-0.136196183459
ACH-000137,0.020837098144900004
ACH-000138,0.0754892641858
ACH-000142,0.0018320036546300002
ACH-000143,0.029830046315599996
ACH-000146,-0.0604790475607
ACH-000148,-0.151967407179
ACH-000150,0.038505327658699996
ACH-000152,-0.0842802536749
ACH-000153,0.152024218961
ACH-000159,-0.15520544752999998
ACH-000160,-0.10450175920499999
ACH-000163,-0.11022624891100001
ACH-000167,-0.20550439026200001
ACH-000168,0.13622642719900002
ACH-000169,-0.0022189362479699995
ACH-000178,-0.053023731120699996
ACH-000182,-0.0496327912255
ACH-000183,-0.139494696745
ACH-000188,-0.014078667838299998
ACH-000189,-0.023842649563700004
ACH-000190,-0.299038387977
ACH-000198,-0.0731084545801
ACH-000204,0.109346792963
ACH-000206,-0.023803172960200004
ACH-000207,0.148046918787
ACH-000211,-0.0061409435967499995
ACH-000215,-0.112305740824
ACH-000221,0.019443989576400002
ACH-000222,0.181125547069
ACH-000223,-0.12325564332999998
ACH-000226,-0.0374520357377
ACH-000227,-0.462766188051
ACH-000228,0.032080415498799995
ACH-000231,-0.0580309998766
ACH-000232,-0.06565566159969999
ACH-000233,-0.015212286907399999
ACH-000234,0.07460660574110001
ACH-000235,-0.037167753482
ACH-000237,0.0201799775469
ACH-000238,0.011848306133299999
ACH-000243,-0.00824179666188
ACH-000244,-0.12599523876
ACH-000246,-0.0510203599699
ACH-000248,-0.127393831603
ACH-000250,0.0217704717825
ACH-000251,0.136720955722
ACH-000253,-0.0100032698349
ACH-000255,-0.06806209669390001
ACH-000256,0.08023080615589999
ACH-000257,-0.06049100091080001
ACH-000258,-0.0325088122114
ACH-000259,0.00202171824897
ACH-000260,-0.0258737206335
ACH-000261,-0.142641944814
ACH-000262,-0.10532212719
ACH-000263,0.0422843263233
ACH-000264,-0.0970019858326
ACH-000265,0.04118147385
ACH-000266,0.014933357440200001
ACH-000272,-0.07987632888780001
ACH-000273,-0.050171584701699995
ACH-000274,-0.006044423313399999
ACH-000277,-0.209359908266
