,MIF (4282)
ACH-000004,0.159704993629
ACH-000007,0.0673274212937
ACH-000009,0.106539086116
ACH-000011,-0.374920458344
ACH-000012,-0.136458215376
ACH-000013,-0.0925899062513
ACH-000014,-0.226419515862
ACH-000015,-0.19864418164900002
ACH-000017,0.0400488523876
ACH-000018,-0.18698611328099998
ACH-000019,-0.230338103712
ACH-000021,0.0343725393405
ACH-000022,-0.0534057898125
ACH-000025,-0.26076042982500003
ACH-000028,-0.269270895121
ACH-000030,-0.0786195718028
ACH-000035,-0.0614273498977
ACH-000036,-0.126790115692
ACH-000037,0.0569232437489
ACH-000039,-0.10834294526499999
ACH-000040,0.09703615888589999
ACH-000041,-0.0922645724902
ACH-000042,0.146705057508
ACH-000045,-0.12142838609500001
ACH-000047,0.0809474901858
ACH-000052,-0.42518819309199996
ACH-000053,-0.00932140120825
ACH-000054,-0.00810585548279
ACH-000055,-0.136144472958
ACH-000060,-0.09609502681530001
ACH-000067,-0.202320977465
ACH-000070,-0.124780657259
ACH-000075,-0.057945435278900004
ACH-000078,0.0069710074293900005
ACH-000082,0.0536805615108
ACH-000085,0.0743917397029
ACH-000086,0.255819557877
ACH-000087,-0.282250830699
ACH-000092,-0.07437654216060001
ACH-000095,-0.204453187134
ACH-000097,-0.24494023189800002
ACH-000098,-0.117105064813
ACH-000099,-0.277364280552
ACH-000108,-0.0718920432888
ACH-000113,0.046769786651400004
ACH-000115,-0.0864098388116
ACH-000116,-0.025379922973400002
ACH-000118,-0.0207813691202
ACH-000120,-0.009693841556540002
ACH-000123,0.0413636306865
ACH-000127,0.012354788118700001
ACH-000128,0.0284426017433
ACH-000132,0.007948474598930002
ACH-000133,0.0428863545526
ACH-000137,-0.07947512754910001
ACH-000138,0.231906081613
ACH-000142,0.266850094316
ACH-000143,-0.09847503909839998
ACH-000146,-0.052179461856199996
ACH-000148,0.0667076063882
ACH-000150,-0.0699369278654
ACH-000152,0.049867294775900003
ACH-000153,0.314254210017
ACH-000159,0.272642452539
ACH-000160,-0.0473209194125
ACH-000163,0.161928240935
ACH-000167,0.0437007085716
ACH-000168,-0.17046034090700002
ACH-000169,-0.165576115603
ACH-000178,0.00329055542573
ACH-000182,0.0499174752214
ACH-000183,-0.112317411481
ACH-000188,-0.106185305307
ACH-000189,0.362643674872
ACH-000190,-0.142998396537
ACH-000198,0.0006984935780460001
ACH-000204,0.152311162771
ACH-000206,-0.315289576531
ACH-000207,-0.389816096882
ACH-000211,-0.13714429323400001
ACH-000215,-0.00169926287824
ACH-000221,-0.083459894346
ACH-000222,-0.0237953739875
ACH-000223,-0.013115454642700001
ACH-000226,-0.174006574778
ACH-000227,-0.11240641806700001
ACH-000228,0.0362167818056
ACH-000231,-0.192377816004
ACH-000232,-0.10241309588099999
ACH-000233,-0.15603794045299998
ACH-000234,0.108574088176
ACH-000235,0.142179062852
ACH-000237,-0.0728929761323
ACH-000238,0.17637316754500001
ACH-000243,-0.166938253867
ACH-000244,-0.22021365795400002
ACH-000246,-0.113165178081
ACH-000248,-0.171859477152
ACH-000250,-0.033969863171
ACH-000251,0.25101489998000004
ACH-000253,-0.17084568331500002
ACH-000255,-0.0853919585018
ACH-000256,-0.08838744660530001
ACH-000257,0.173464678929
ACH-000258,-0.0923206435237
ACH-000259,-0.0948790016842
ACH-000260,0.107928660906
ACH-000261,-0.08687260049619999
ACH-000262,-0.042587320687199996
ACH-000263,0.0351980867953
ACH-000264,-0.153021263899
ACH-000265,-0.129267006568
ACH-000266,0.07819237680289999
ACH-000272,-0.11920786191400001
ACH-000273,-0.09727961805560001
ACH-000274,-0.0041656235181100005
ACH-000277,0.0721376280963
ACH-000278,-0.24419786628600001
ACH-000279,-0.17150639550799998
ACH-000280,0.08899074577789999
ACH-000281,0.0922724622139
ACH-000288,-0.0663728011291
ACH-000291,-0.255460656259
ACH-000293,-0.18581314978100003
ACH-000294,0.31575097929400003
ACH-000295,-0.0649669986717
ACH-000296,-0.19899763145
ACH-000302,-0.132814914573
ACH-000304,-0.40869925301
ACH-000307,-0.12300614765699999
ACH-000308,-0.0651738338089
ACH-000310,0.135623345812
ACH-000311,0.05694214044819999
ACH-000312,0.047187751549000005
ACH-000315,-0.055664560379
ACH-000316,0.07739354352460001
ACH-000317,0.151225364456
ACH-000318,-0.20672339279
ACH-000319,0.0188739316274
ACH-000320,-0.183653955589
ACH-000322,-0.107979152661
ACH-000323,-0.137584963886
ACH-000324,-0.166420077874
ACH-000329,0.0990841337896
ACH-000330,-0.105558958113
ACH-000331,0.06240442884959999
ACH-000332,-0.108273767364
ACH-000334,0.183768221
ACH-000335,-0.16556578429899999
ACH-000336,0.329571023556
ACH-000337,-0.339827799323
ACH-000339,-0.177301007859
ACH-000341,0.0974698128703
ACH-000348,-0.136956199467
ACH-000350,-0.204005719205
ACH-000352,-0.0418583660684
