,WHAMM (123720)
ACH-000004,-0.362082812493
ACH-000007,-0.317932824025
ACH-000009,-0.6682268382769999
ACH-000011,-0.595246818614
ACH-000012,-0.207064089365
ACH-000013,-0.388365084012
ACH-000014,-0.39617819445200003
ACH-000015,-0.318329353215
ACH-000017,-0.256374251776
ACH-000018,-0.411869146792
ACH-000019,-0.6683216154070001
ACH-000021,-0.21643852532299998
ACH-000022,-0.454866366347
ACH-000025,-0.63768381705
ACH-000028,-0.220452766943
ACH-000030,-0.19038182993099997
ACH-000035,-0.120931545587
ACH-000036,-0.426108553367
ACH-000037,-0.393080605942
ACH-000039,-0.026045233882599998
ACH-000040,-0.34589661397200006
ACH-000041,-0.564466790567
ACH-000042,-0.550100719272
ACH-000045,-0.375974642425
ACH-000047,-0.197839496048
ACH-000052,-0.7302154977159999
ACH-000053,-0.367834773944
ACH-000054,-0.376564217155
ACH-000055,-0.205755356286
ACH-000060,-0.545348134685
ACH-000067,-0.466582955437
ACH-000070,-0.615181202624
ACH-000075,-0.649158346677
ACH-000078,-0.2170827715
ACH-000082,-0.30300052843499997
ACH-000085,-0.326187640654
ACH-000086,-0.37617227835100003
ACH-000087,-0.42799389038
ACH-000092,-0.397960003495
ACH-000095,-0.630773122949
ACH-000097,-0.6613981378580001
ACH-000098,-0.49518314384400003
ACH-000099,-0.254459402143
ACH-000108,-0.381421166699
ACH-000113,-0.28955494721999997
ACH-000115,-0.249050076386
ACH-000116,-0.516871597307
ACH-000118,-0.14880661622000002
ACH-000120,-0.22035721535799999
ACH-000123,-0.36092800456600005
ACH-000127,-0.329082696211
ACH-000128,0.013379849776700002
ACH-000132,-0.759942841378
ACH-000133,-0.46369219220200003
ACH-000137,-0.564569492734
ACH-000138,-0.266968086301
ACH-000142,-0.596424654557
ACH-000143,-0.506370268619
ACH-000146,-0.172590643633
ACH-000148,-0.335778567412
ACH-000150,-0.290339213853
ACH-000152,-0.49460135501
ACH-000153,-0.430090298342
ACH-000159,-0.45131542338799996
ACH-000160,-0.34831256514200004
ACH-000163,-0.33283275828000003
ACH-000167,-0.43065295609399995
ACH-000168,-0.405785578455
ACH-000169,-0.434698820792
ACH-000178,-0.475064534287
ACH-000182,-0.309649738459
ACH-000183,-0.26198581976
ACH-000188,-0.315478186202
ACH-000189,-0.664841145513
ACH-000190,-0.130701728357
ACH-000198,-0.52167431045
ACH-000204,-0.740279432941
ACH-000206,-0.39127463009499996
ACH-000207,-0.0874323461906
ACH-000211,-0.407482551099
ACH-000215,-0.263545410691
ACH-000221,-0.550193141715
ACH-000222,-0.22498198422
ACH-000223,-0.37164857650399996
ACH-000226,-0.467275383646
ACH-000227,-0.507181473505
ACH-000228,-0.5089471923650001
ACH-000231,-0.36608544018600003
ACH-000232,-0.217179078907
ACH-000233,-0.36884673752499997
ACH-000234,-0.614178039581
ACH-000235,-0.399561763384
ACH-000237,-0.332320577854
ACH-000238,-0.20887660948
ACH-000243,-0.46998786585600005
ACH-000244,0.11108910958599999
ACH-000246,-0.419029285706
ACH-000248,-0.129811311807
ACH-000250,-0.331347081777
ACH-000251,-0.212411686326
ACH-000253,-0.429275280114
ACH-000255,-0.6048331706669999
ACH-000256,-0.524280261389
ACH-000257,-0.37965563056699997
ACH-000258,-0.221694056358
ACH-000259,-0.21303647821199997
ACH-000260,-0.36628707217600004
ACH-000261,-0.385052248389
ACH-000262,-0.38853083023
ACH-000263,-0.169058409604
ACH-000264,-0.474476046858
ACH-000265,-0.375063124277
ACH-000266,-0.49484072203999996
ACH-000272,-0.480609464587
ACH-000273,-0.370782851214
ACH-000274,-0.601040409247
ACH-000277,-0.478776095995
ACH-000278,-0.414803276484
ACH-000279,-0.439532759409
ACH-000280,-0.415023653
ACH-000281,-0.497383141875
ACH-000288,-0.377909326317
ACH-000291,-0.199676582392
ACH-000293,-0.330120975892
ACH-000294,-0.277145067393
ACH-000295,0.00801070396732
ACH-000296,-0.46719493047
ACH-000302,-0.42188188390799997
ACH-000304,-0.102710728952
ACH-000307,-0.529894918405
ACH-000308,-0.291704525443
ACH-000310,-0.33076355701
ACH-000311,-0.512109191932
ACH-000312,-0.238605569553
ACH-000315,-0.25913466054
ACH-000316,-0.492404423992
ACH-000317,-0.43654375167099996
ACH-000318,-0.30345484107500004
ACH-000319,-0.445409721106
ACH-000320,-0.368739794542
ACH-000322,-0.197550318218
ACH-000323,-0.135133935363
ACH-000324,-0.217531681978
ACH-000329,-0.41505300860600003
ACH-000330,-0.0648787420602
