,FAM71E1 (112703)
ACH-000004,0.239975631439
ACH-000007,-0.0296706640125
ACH-000009,0.127529794394
ACH-000011,0.24370691919100002
ACH-000012,-0.024842863486200004
ACH-000013,-0.0349612594712
ACH-000014,0.170727205687
ACH-000015,0.12446515976
ACH-000017,0.157057343651
ACH-000018,0.29590531989
ACH-000019,-0.07764154054160001
ACH-000021,0.143476137399
ACH-000022,-0.09892563143689999
ACH-000025,0.288667925387
ACH-000028,0.0730018385771
ACH-000030,0.0784866594241
ACH-000035,0.192858459648
ACH-000036,0.23876836599800003
ACH-000037,0.186373196876
ACH-000039,-0.380575800546
ACH-000040,0.188516848987
ACH-000041,0.0417298985313
ACH-000042,-0.0027220364467399998
ACH-000045,0.276110148914
ACH-000047,-0.0526080158753
ACH-000052,0.020167230282099997
ACH-000053,0.0325771887874
ACH-000054,0.0783073307418
ACH-000055,0.054718995129999996
ACH-000060,0.18658211574099998
ACH-000067,0.19737096787
ACH-000070,-0.029963441881599998
ACH-000075,-0.0284296530412
ACH-000078,0.21616809540100002
ACH-000082,0.13436944332
ACH-000085,-0.14729652407299998
ACH-000086,0.18175075814199998
ACH-000087,-0.219450021798
ACH-000092,-0.00200065666737
ACH-000095,0.074804652342
ACH-000097,-0.17673012849300002
ACH-000098,0.0211730102919
ACH-000099,-0.10297997058700001
ACH-000108,-0.037473874752300004
ACH-000113,0.328266248433
ACH-000115,0.042119513421900005
ACH-000116,0.19987039820900002
ACH-000118,0.0313611501499
ACH-000120,0.187388489833
ACH-000123,-0.0243352711902
ACH-000127,-0.00869108756451
ACH-000128,-0.127027300251
ACH-000132,0.278194781248
ACH-000133,0.271059350751
ACH-000137,-0.011533008114100001
ACH-000138,-0.0653819000119
ACH-000142,0.112857863137
ACH-000143,-0.0813792258529
ACH-000146,0.0488804562589
ACH-000148,0.240143777567
ACH-000150,0.0661466779434
ACH-000152,0.135574163581
ACH-000153,0.189179507055
ACH-000159,0.111909199377
ACH-000160,-0.0168829368897
ACH-000163,0.275425257855
ACH-000167,0.024723662604
ACH-000168,0.19799546210400001
ACH-000169,0.123602066342
ACH-000178,0.224211112205
ACH-000182,0.108169982778
ACH-000183,0.187780570735
ACH-000188,0.194051886119
ACH-000189,0.219930624852
ACH-000190,-0.0455823908771
