,INPP4A (3631)
ACH-000004,-0.253049132495
ACH-000007,-0.365104455792
ACH-000009,-0.254932243657
ACH-000011,-0.282176527219
ACH-000012,-0.105352928852
ACH-000013,-0.0194182872604
ACH-000014,-0.167849038542
ACH-000015,-0.28901439079
ACH-000017,-0.23548533106699998
ACH-000018,-0.156052473642
ACH-000019,-0.20335960037599998
ACH-000021,0.0726644443668
ACH-000022,-0.0896643060507
ACH-000025,-0.21551425406599997
ACH-000028,-0.100860078235
ACH-000030,-0.19361201096099998
ACH-000035,-0.397756133944
ACH-000036,-0.177699998723
ACH-000037,-0.355843277354
ACH-000039,-0.158811967162
ACH-000040,0.16196404785399998
ACH-000041,-0.0228429619085
ACH-000042,-0.162723342602
ACH-000045,0.0755302673147
ACH-000047,-0.23450247180999997
ACH-000052,-0.312793696507
ACH-000053,-0.218954407505
ACH-000054,-0.506291861467
ACH-000055,0.0684187554881
ACH-000060,0.0441050117571
ACH-000067,-0.20220479500500002
ACH-000070,-0.264500064359
ACH-000075,-0.225717964139
ACH-000078,-0.17021018902899998
ACH-000082,-0.08999456916300001
ACH-000085,-0.15330317497600002
ACH-000086,-0.19307871166700002
ACH-000087,-0.194605122421
ACH-000092,-0.355555993161
ACH-000095,-0.09637794879039999
ACH-000097,-0.0889309738528
ACH-000098,-0.198859186145
ACH-000099,-0.24255690385200002
ACH-000108,-0.206640456622
ACH-000113,-0.352488667533
ACH-000115,0.19137661161800001
ACH-000116,-0.02644487462
ACH-000118,-0.33683596121299997
ACH-000120,-0.258551698322
ACH-000123,-0.17719854963
ACH-000127,-0.17771991248100003
ACH-000128,-0.0858272802307
ACH-000132,0.047400446010800006
ACH-000133,-0.31376339176999996
ACH-000137,-0.208461795201
ACH-000138,-0.0498874017183
ACH-000142,-0.33742015304799994
ACH-000143,-0.18379399153099998
ACH-000146,-0.0497981062999
ACH-000148,-0.259288029738
ACH-000150,0.15694004939300002
ACH-000152,-0.137593456612
ACH-000153,-0.121193986219
ACH-000159,-0.0525596358204
ACH-000160,-0.138963195731
ACH-000163,-0.114311612626
ACH-000167,-0.027480666012300002
ACH-000168,-0.11575363240599999
ACH-000169,0.14758938900000002
ACH-000178,-0.20104104699900002
ACH-000182,-0.101221837541
ACH-000183,-0.132405347382
ACH-000188,-0.0824820177348
ACH-000189,-0.16405978949799999
ACH-000190,-0.28301141123
ACH-000198,-0.35241899270599997
ACH-000204,-0.143340943923
ACH-000206,-0.338276450316
ACH-000207,-0.010806361809999998
ACH-000211,-0.167591729012
ACH-000215,-0.15367592952700002
ACH-000221,-0.250065972656
ACH-000222,-0.117631794946
ACH-000223,-0.37885837019900004
ACH-000226,-0.154454264491
ACH-000227,0.022366971864099996
ACH-000228,-0.0944763228644
ACH-000231,-0.23028232664999998
ACH-000232,0.264131756544
ACH-000233,0.042508323300099994
ACH-000234,-0.21302763098000002
ACH-000235,-0.19806833802700002
ACH-000237,-0.0253022875745
ACH-000238,0.0857906546307
ACH-000243,-0.233970964108
ACH-000244,-0.150819152647
ACH-000246,-0.111983024606
ACH-000248,-0.156589823085
ACH-000250,-0.08458152446969999
ACH-000251,-0.170939278289
ACH-000253,-0.0943610333945
