,FGFR1OP (11116)
ACH-000004,-0.637473498875
ACH-000007,-0.438955904563
ACH-000009,-1.20994144302
ACH-000011,-1.0404177622600002
ACH-000012,-0.723731496523
ACH-000013,-1.31715463343
ACH-000014,-0.472341131369
ACH-000015,-0.694243426085
ACH-000017,-1.12613754891
ACH-000018,-0.792997956074
ACH-000019,-1.1239978839799998
ACH-000021,-1.3909989555200002
ACH-000022,-0.406087525226
ACH-000025,-0.319000214908
ACH-000028,-1.18854096541
ACH-000030,-1.11552935641
ACH-000035,-0.778010402084
ACH-000036,-0.7752289291300001
ACH-000037,-0.639290632751
ACH-000039,-0.637557517723
ACH-000040,-0.543697280972
ACH-000041,-0.657375829797
ACH-000042,-0.47290472435099995
ACH-000045,-0.52171384568
ACH-000047,-0.660430832414
ACH-000052,-0.30840164923
ACH-000053,-0.810068279647
ACH-000054,-0.44157131299400004
ACH-000055,-0.88626438486
ACH-000060,-0.707622172377
ACH-000067,-0.246725405196
ACH-000070,-0.848616280054
ACH-000075,-0.76607135681
ACH-000078,-0.8891966136789999
ACH-000082,-0.5361037363800001
ACH-000085,-0.993973037745
ACH-000086,-0.7652788732410001
ACH-000087,-0.80436222412
ACH-000092,-0.8353590174109999
ACH-000095,-1.08929436641
ACH-000097,-1.25341411844
ACH-000098,-0.694491736147
ACH-000099,-0.806889268321
ACH-000108,-0.8963254300560001
ACH-000113,-1.1032699875399998
ACH-000115,-1.02202942032
ACH-000116,-0.331363194815
ACH-000118,-0.797129688224
ACH-000120,-1.10245561027
ACH-000123,-1.0309692823999999
ACH-000127,-0.550410329459
ACH-000128,-0.8594064202770001
ACH-000132,-1.38489504716
ACH-000133,-0.586965017696
ACH-000137,-0.176761980514
ACH-000138,-1.1794727488299999
ACH-000142,-0.973695397053
ACH-000143,-0.44997890735600005
ACH-000146,-0.407248072753
ACH-000148,-0.735389568074
ACH-000150,-0.22896567134100002
ACH-000152,-0.9013506038779999
ACH-000153,-1.2386230379899998
ACH-000159,-0.846634187594
ACH-000160,-0.634035014137
ACH-000163,-0.7540564790950001
ACH-000167,-0.97857686624
ACH-000168,-0.842522727715
ACH-000169,-0.919781263878
ACH-000178,-0.446815160317
ACH-000182,-0.612627260449
ACH-000183,-1.1879778360100002
ACH-000188,-0.835268512896
ACH-000189,-1.1209643812899999
ACH-000190,-0.46194016808300004
ACH-000198,-0.601797605863
ACH-000204,-0.977844045325
ACH-000206,-0.616973330272
ACH-000207,-0.781643597823
