,RRS1 (23212)
ACH-000004,-1.002532125
ACH-000007,-1.02906354765
ACH-000009,-1.6127994750799999
ACH-000011,-1.39647394074
ACH-000012,-1.35003924155
ACH-000013,-1.17525546753
ACH-000014,-1.43480209585
ACH-000015,-1.1867271795
ACH-000017,-0.9750939363660001
ACH-000018,-1.42354740013
ACH-000019,-1.40923888778
ACH-000021,-1.25590199697
ACH-000022,-1.02567155639
ACH-000025,-1.12106727063
ACH-000028,-1.28517538805
ACH-000030,-1.2539360175799998
ACH-000035,-1.2371149933299999
ACH-000036,-1.24342723533
ACH-000037,-0.711990202808
ACH-000039,-0.8847948038410001
ACH-000040,-1.14929601231
ACH-000041,-1.2121874535400001
ACH-000042,-1.18171502578
ACH-000045,-1.16314977359
ACH-000047,-1.0560431971200002
ACH-000052,-1.40295939599
ACH-000053,-1.13426799201
ACH-000054,-1.20704903713
ACH-000055,-1.2314501580700001
ACH-000060,-1.17220666764
ACH-000067,-1.18458913578
ACH-000070,-1.1664942522
ACH-000075,-1.29667117526
ACH-000078,-1.49964515029
ACH-000082,-0.9212672111810001
ACH-000085,-1.0181682643
ACH-000086,-0.983865997473
ACH-000087,-1.31605169915
ACH-000092,-1.36311840421
ACH-000095,-1.25816166094
ACH-000097,-1.04875423006
ACH-000098,-1.08740259896
ACH-000099,-1.2289980281200001
ACH-000108,-1.1736012672299998
ACH-000113,-1.1875196839700002
ACH-000115,-0.562922686352
ACH-000116,-1.00382693695
ACH-000118,-1.16957502922
ACH-000120,-1.25015356862
ACH-000123,-1.25555338486
ACH-000127,-1.3622460533899998
ACH-000128,-1.41674691605
ACH-000132,-1.43476079191
ACH-000133,-1.3571743459799999
ACH-000137,-1.01967747554
ACH-000138,-1.31425133756
ACH-000142,-1.4447635385799997
ACH-000143,-1.13455618442
ACH-000146,-0.998016245994
ACH-000148,-1.06979811463
ACH-000150,-1.25870334741
ACH-000152,-1.4021780321000001
ACH-000153,-1.75571005729
ACH-000159,-1.49083834234
ACH-000160,-1.23625691265
ACH-000163,-1.3045381552500002
ACH-000167,-1.5044587300999999
ACH-000168,-1.19493626271
ACH-000169,-1.3469324687399997
ACH-000178,-1.2310869847700001
ACH-000182,-1.31065324125
ACH-000183,-1.03410960966
ACH-000188,-1.27621418035
ACH-000189,-1.5594938258200002
ACH-000190,-1.3928483811
ACH-000198,-1.11173708129
ACH-000204,-0.822177870317
ACH-000206,-1.2196641448999999
ACH-000207,-1.26481052024
ACH-000211,-1.41509132333
ACH-000215,-1.0705633972700002
ACH-000221,-1.4672252845500002
ACH-000222,-1.02232577623
ACH-000223,-0.926739089227
ACH-000226,-1.1626365359200002
ACH-000227,-1.0406002891600001
ACH-000228,-1.28852660037
ACH-000231,-1.31356490547
ACH-000232,-1.13028462232
ACH-000233,-1.08564460802
ACH-000234,-1.18669705291
ACH-000235,-1.1533116505399998
ACH-000237,-1.29468900264
ACH-000238,-1.1535691202399998
ACH-000243,-1.2221753460100002
ACH-000244,-1.2628327642100001
ACH-000246,-1.43394788614
ACH-000248,-0.995888182956
ACH-000250,-1.13897931203
ACH-000251,-1.3623627748500002
ACH-000253,-1.2710217485
ACH-000255,-1.30650136926
ACH-000256,-1.2225806057200002
ACH-000257,-1.1847632435700002
ACH-000258,-1.32390030658
ACH-000259,-1.18157359566
