,OAT (4942)
ACH-000004,-0.21399029451499998
ACH-000007,-0.253915460897
ACH-000009,-0.160869139288
ACH-000011,-0.127334251063
ACH-000012,-0.334951807829
ACH-000013,-0.235292203032
ACH-000014,-0.203201608063
ACH-000015,-0.25940456463399997
ACH-000017,-0.304908809642
ACH-000018,-0.380225965946
ACH-000019,-0.0916359446172
ACH-000021,-0.259464701088
ACH-000022,-0.581870475827
ACH-000025,-0.44446339524899997
ACH-000028,-0.17558686907
ACH-000030,-0.211036078022
ACH-000035,-0.183288109041
ACH-000036,-0.386426726314
ACH-000037,-0.298870905699
ACH-000039,-0.325460696036
ACH-000040,-0.190537279311
ACH-000041,-0.452584353064
ACH-000042,-0.479106401852
ACH-000045,-0.37655448739799996
ACH-000047,-0.0383775229918
ACH-000052,-0.126748258403
ACH-000053,-0.31973447732
ACH-000054,-0.15408384318499999
ACH-000055,0.0318339582528
ACH-000060,-0.257854351413
ACH-000067,-0.318849879085
ACH-000070,-0.14122571191
ACH-000075,-0.309457148021
ACH-000078,-0.502782815646
ACH-000082,-0.401158106879
ACH-000085,-0.18751965233600001
ACH-000086,-0.23783966429499998
ACH-000087,-0.369443025782
ACH-000092,-0.19746795302499998
ACH-000095,-0.322593277131
ACH-000097,-0.184851428824
ACH-000098,-0.372997546316
ACH-000099,-0.389382726101
ACH-000108,-0.207664452383
ACH-000113,-0.207269213479
ACH-000115,-0.40248555469400005
ACH-000116,-0.162265566846
ACH-000118,-0.10710546716399999
ACH-000120,-0.430992509815
ACH-000123,-0.41475100897600004
ACH-000127,-0.34834464299
ACH-000128,-0.170141845825
ACH-000132,-0.227294933986
ACH-000133,-0.298886721068
ACH-000137,-0.171645244137
ACH-000138,-0.262642873367
ACH-000142,-0.38420368260300003
ACH-000143,-0.45644927614299996
ACH-000146,-0.44555112171000005
ACH-000148,-0.456257152798
ACH-000150,-0.309812194196
ACH-000152,-0.17479378203899998
ACH-000153,-0.108881425862
ACH-000159,-0.337447539308
ACH-000160,0.131935346611
ACH-000163,-0.510673663774
ACH-000167,0.07902764384439999
ACH-000168,-0.380160579272
ACH-000169,-0.491425405325
ACH-000178,-0.213863030524
ACH-000182,-0.405054285104
ACH-000183,-0.136998787844
ACH-000188,-0.206408147597
ACH-000189,-0.10102264889799999
ACH-000190,0.159919232188
ACH-000198,-0.532631978332
ACH-000204,-0.36852626983000003
ACH-000206,-0.45805028484
ACH-000207,-0.34023743668300005
ACH-000211,-0.299903643079
ACH-000215,-0.250998937015
ACH-000221,-0.183946842201
ACH-000222,-0.0908730060213
ACH-000223,-0.42661722710999994
ACH-000226,-0.238423939421
ACH-000227,-0.47604772119800004
ACH-000228,-0.42425372031999997
ACH-000231,-0.325200434948
ACH-000232,-0.214767628991
ACH-000233,-0.332518527627
ACH-000234,-0.370007723675
ACH-000235,-0.261380119545
ACH-000237,-0.248519981568
ACH-000238,-0.115559041689
ACH-000243,-0.190755486049
ACH-000244,-0.056537154382499996
ACH-000246,-0.276325339096
ACH-000248,-0.165913090776
ACH-000250,-0.3179947012
ACH-000251,-0.05800667200469999
ACH-000253,-0.448479103278
ACH-000255,-0.176664576444
ACH-000256,-0.200142299208
ACH-000257,-0.652196498513
ACH-000258,-0.41418883591399996
ACH-000259,-0.310024149783
ACH-000260,-0.24961759576900003
ACH-000261,-0.287968321967
ACH-000262,-0.15188385269000002
ACH-000263,-0.458035401845
ACH-000264,-0.278236535255
ACH-000265,-0.154229289805
ACH-000266,-0.275426272558
ACH-000272,-0.32858297826099997
ACH-000273,-0.40943385129
ACH-000274,-0.321523918535
ACH-000277,-0.464528925731
ACH-000278,-0.33898782507200004
ACH-000279,-0.5161186966800001
ACH-000280,-0.399624747491
ACH-000281,-0.332167638402
ACH-000288,-0.480427495202
ACH-000291,-0.18249170922200003
ACH-000293,-0.225526614668
ACH-000294,-0.647607092292
ACH-000295,-0.173489871539
ACH-000296,-0.138080556503
ACH-000302,-0.22099322798300003
ACH-000304,-0.308863070139
ACH-000307,-0.206016530994
ACH-000308,-0.247649504565
ACH-000310,-0.36727950022
ACH-000311,-0.100107742096
ACH-000312,-0.222030579664
ACH-000315,0.0264852862902
ACH-000316,-0.255321395254
ACH-000317,-0.237688950959
ACH-000318,-0.197829880237
ACH-000319,-0.199925715963
ACH-000320,-0.485129595961
ACH-000322,0.11613933239
ACH-000323,-0.233828575779
ACH-000324,-0.427254430282
ACH-000329,-0.441858597856
ACH-000330,-0.254996267185
ACH-000331,-0.318686171935
ACH-000332,-0.29960578770999996
ACH-000334,-0.42073978149700003
