,ZMAT2 (153527)
ACH-000004,-1.63594662737
ACH-000007,-1.66119178393
ACH-000009,-1.6446227526
ACH-000011,-1.53084536686
ACH-000012,-1.68733948322
ACH-000013,-1.4912615715200002
ACH-000014,-1.6935102278799998
ACH-000015,-1.7825661184700001
ACH-000017,-1.60556485565
ACH-000018,-1.2979131791399998
ACH-000019,-1.41483381982
ACH-000021,-1.6459901668999999
ACH-000022,-1.69048368066
ACH-000025,-1.56220397301
ACH-000028,-1.4712383009999999
ACH-000030,-1.6610525539899998
ACH-000035,-1.36055530008
ACH-000036,-1.44667733208
ACH-000037,-2.4727993056299997
ACH-000039,-2.03442241337
ACH-000040,-1.7453901989900003
ACH-000041,-1.8446859817200003
ACH-000042,-1.7156081812700001
ACH-000045,-1.8282173513599997
ACH-000047,-1.45238593199
ACH-000052,-1.4484692681600002
ACH-000053,-1.5626212216100002
ACH-000054,-1.55333574649
ACH-000055,-1.5767991795899998
ACH-000060,-1.75067857805
ACH-000067,-1.53208414514
ACH-000070,-1.3721536907799998
ACH-000075,-1.29577104198
ACH-000078,-1.8898079598
ACH-000082,-1.88921522898
ACH-000085,-1.4002003480399998
ACH-000086,-1.1487116723
ACH-000087,-2.15929121777
ACH-000092,-1.56053605943
ACH-000095,-1.81198840637
ACH-000097,-1.46209866551
ACH-000098,-1.56569227788
ACH-000099,-1.7841434125799998
ACH-000108,-1.85774874308
ACH-000113,-1.5498307653
ACH-000115,-2.1276388372599997
ACH-000116,-1.72721757009
ACH-000118,-1.6709558803400002
ACH-000120,-1.82301733067
ACH-000123,-1.61221378842
ACH-000127,-1.34372520715
ACH-000128,-1.67992203521
ACH-000132,-1.30047296413
ACH-000133,-1.54288639359
ACH-000137,-1.7190811557700003
ACH-000138,-1.63801831644
ACH-000142,-1.5011543873100002
ACH-000143,-1.3026591206
ACH-000146,-2.05024745112
ACH-000148,-1.7201011036400002
ACH-000150,-1.50651670859
ACH-000152,-1.3608789300600002
ACH-000153,-1.0385639077
ACH-000159,-1.7153281162600003
ACH-000160,-1.81599272854
ACH-000163,-1.66120990502
ACH-000167,-2.06648951251
ACH-000168,-1.55216214741
ACH-000169,-1.5820259545700002
ACH-000178,-1.59357016371
ACH-000182,-1.7304415826400004
ACH-000183,-1.41723263711
ACH-000188,-1.6412900939
ACH-000189,-1.43018963671
ACH-000190,-1.6979211030799999
ACH-000198,-1.6109091887600002
ACH-000204,-1.7063523645700003
ACH-000206,-1.91924001372
ACH-000207,-1.9200485475599998
ACH-000211,-1.54078216185
ACH-000215,-1.57934205645
ACH-000221,-1.7342071106799999
ACH-000222,-1.50111102183
ACH-000223,-1.38732189258
ACH-000226,-1.84911951186
ACH-000227,-1.96425570874
ACH-000228,-1.7439800546700002
ACH-000231,-1.43607952671
ACH-000232,-1.4354464447
ACH-000233,-1.72568630124
ACH-000234,-1.53849086975
ACH-000235,-1.66733260433
ACH-000237,-1.46815017971
ACH-000238,-1.7576070174400003
ACH-000243,-1.7497531415599998
ACH-000244,-1.31941998888
ACH-000246,-1.33675840235
ACH-000248,-1.60562225389
ACH-000250,-1.53962660558
ACH-000251,-1.4409571803799999
ACH-000253,-1.71118148919
ACH-000255,-1.47260916456
ACH-000256,-1.5236307149200001
ACH-000257,-1.94311438162
ACH-000258,-1.7013706074500001
ACH-000259,-1.94325149502
ACH-000260,-1.86887450416
ACH-000261,-1.7375904962400002
ACH-000262,-1.4704161678100003
ACH-000263,-1.26754946581
ACH-000264,-1.5876754007299998
ACH-000265,-1.6288527526299998
ACH-000266,-1.68740967982
ACH-000272,-1.45655857764
ACH-000273,-1.4291708276100001
ACH-000274,-1.8781926204799997
ACH-000277,-1.8251845422400002
ACH-000278,-1.44270791875
ACH-000279,-1.79325272317
ACH-000280,-1.5866746884399998
ACH-000281,-1.6104842151899998
ACH-000288,-1.39816655178
ACH-000291,-1.52820980971
ACH-000293,-1.71716481204
ACH-000294,-2.10717042262
ACH-000295,-1.4003509679700001
ACH-000296,-1.7480306511700001
ACH-000302,-1.77774946768
ACH-000304,-2.09296491466
ACH-000307,-1.45477612486
ACH-000308,-1.54367554275
ACH-000310,-2.33256719058
ACH-000311,-1.8816224301400002
ACH-000312,-1.7607607033000001
ACH-000315,-1.85938805532
ACH-000316,-1.8468103776400002
ACH-000317,-1.65901926912
ACH-000318,-1.49675684225
ACH-000319,-1.61980541456
ACH-000320,-1.8705016254700002
ACH-000322,-1.4768491341
ACH-000323,-1.3738836885799999
ACH-000324,-1.38054273223
ACH-000329,-1.6258204116600001
ACH-000330,-1.71504788994
ACH-000331,-1.4689594563100001
ACH-000332,-1.57347676023
ACH-000334,-2.3172033981299998
ACH-000335,-1.3234629566299998
ACH-000336,-1.28560551372
ACH-000337,-1.30601371836
ACH-000339,-1.71671475042
ACH-000341,-1.99138444655
ACH-000348,-1.86631408872
ACH-000350,-2.12710915279
ACH-000352,-1.6100105129100002
ACH-000356,-1.33475163692
ACH-000361,-1.6531968804100001
ACH-000362,-1.9119554988799998
ACH-000363,-1.79765980493
ACH-000364,-1.31168742485
ACH-000365,-1.86036764199
ACH-000366,-1.59695797505
ACH-000368,-1.6222771485299998
ACH-000374,-1.44713513308
ACH-000375,-1.6325547386700001
ACH-000376,-1.5255283805500002
ACH-000381,-1.5339682308899998
ACH-000383,-1.81226754616
ACH-000387,-1.76010826844
ACH-000389,-1.4031632021899998
ACH-000390,-1.64448641273
ACH-000393,-1.5993830317700002
ACH-000395,-1.89063142345
ACH-000397,-1.4809169258200001
ACH-000401,-1.78036536539
ACH-000402,-1.67229613229
ACH-000403,-1.52786728079
ACH-000404,-1.91469175187
ACH-000406,-1.8995753416599999
ACH-000407,-1.4496296986200001
ACH-000408,-1.35868345461
ACH-000410,-1.7084183989700001
ACH-000411,-1.7038483202099999
ACH-000414,-1.9076539670900001
ACH-000415,-1.6174312765
ACH-000416,-1.49535456137
ACH-000420,-1.86441289038
ACH-000421,-1.4121548144100002
ACH-000424,-1.54176857649
ACH-000425,-1.7432984085900003
ACH-000426,-2.1939370142700003
ACH-000427,-1.38043922257
ACH-000433,-1.5351258495
ACH-000436,-1.8787761598099997
ACH-000444,-1.50947424683
ACH-000445,-1.80986314906
ACH-000448,-1.62680738799
ACH-000450,-1.8601569652
ACH-000452,-1.68758307557
ACH-000454,-1.5092948832
ACH-000458,-1.60863106088
ACH-000459,-1.17484395127
ACH-000460,-1.60879047162
ACH-000461,-1.81116638542
ACH-000463,-1.4613337293000002
ACH-000464,-1.92280206118
ACH-000466,-1.57739077609
ACH-000467,-1.3519025252399999
ACH-000468,-1.9193003446799999
ACH-000469,-1.53338386178
ACH-000470,-1.68022231019
ACH-000471,-1.4552097514500002
ACH-000472,-1.6154135705000001
ACH-000473,-1.64601791722
ACH-000475,-1.5613897444
ACH-000476,-1.8836988597
ACH-000477,-1.90761177898
ACH-000480,-1.8515240311
ACH-000481,-1.84878893418
ACH-000483,-1.8237757661000003
ACH-000484,-1.9137172988
ACH-000485,-1.6679761379
ACH-000486,-1.48723462061
ACH-000487,-1.60051071879
ACH-000488,-1.68406681012
ACH-000490,-1.59970417568
ACH-000491,-1.67188983179
ACH-000495,-1.08556377953
ACH-000496,-1.61573146942
ACH-000499,-1.3613158968799999
ACH-000500,-0.785734240324
ACH-000502,-1.65578745601
ACH-000503,-2.37749391973
ACH-000505,-1.5524237034700001
ACH-000507,-1.8089570526499998
ACH-000510,-1.3871211528299998
ACH-000511,-1.57773155122
ACH-000512,-1.8574106601900002
ACH-000516,-1.5541582173100001
ACH-000517,-1.58280880668
ACH-000518,-1.26831965787
ACH-000520,-1.57576367274
ACH-000521,-1.5334936667299999
ACH-000522,-1.41308369159
ACH-000524,-1.97653450933
ACH-000527,-1.53295865261
ACH-000528,-1.65661980294
ACH-000537,-1.7046360608700002
ACH-000541,-1.9176443518400001
ACH-000542,-1.59149076361
ACH-000544,-1.3878617432
ACH-000545,-1.63007747897
ACH-000547,-1.6935858880599999
ACH-000548,-1.40919763313
ACH-000549,-1.69030176035
ACH-000550,-1.44288751814
ACH-000552,-1.64853822716
ACH-000556,-1.6708156200400002
ACH-000557,-1.840981351
ACH-000570,-1.6183622601299998
ACH-000571,-1.4601376521
ACH-000573,-1.60835311613
ACH-000576,-1.60940283799
ACH-000580,-1.8299440010099999
ACH-000584,-1.60780511075
ACH-000585,-1.4911585785600001
ACH-000588,-1.46262509788
ACH-000589,-1.68146361943
ACH-000591,-1.3905666466
ACH-000593,-1.7119329376299999
ACH-000600,-1.3915212341
ACH-000601,-1.51836194977
ACH-000604,-1.72799762448
ACH-000605,-1.72401901308
ACH-000606,-1.4035757749700002
ACH-000608,-2.12922270958
ACH-000614,-1.62953296869
ACH-000616,-1.4314953575100002
ACH-000618,-1.5290550807499999
ACH-000619,-1.49103984284
ACH-000620,-1.69842208542
ACH-000621,-1.6395174407100002
ACH-000622,-1.7141137829799997
ACH-000623,-1.81899513865
ACH-000624,-1.65680334965
ACH-000627,-1.40474103956
ACH-000630,-1.3490572765
ACH-000632,-1.45272660405
ACH-000633,-1.67390077731
ACH-000637,-1.68261165509
ACH-000638,-1.7129133335799998
ACH-000646,-1.98125354703
ACH-000647,-1.69990014039
ACH-000648,-1.6642742321200001
ACH-000649,-1.47777095587
ACH-000651,-1.6238631319999999
ACH-000652,-1.2779170269
ACH-000653,-1.61438906104
ACH-000657,-1.5512939130899999
ACH-000658,-1.6277896106099998
ACH-000661,-1.8293239477400003
ACH-000662,-1.55278870897
ACH-000663,-1.7875129805
ACH-000665,-1.54136768692
ACH-000671,-1.42240296245
ACH-000673,-1.6002540964399998
ACH-000676,-1.40847551481
ACH-000677,-1.3806203543200002
ACH-000681,-1.7609927695200003
ACH-000682,-1.63516168041
ACH-000683,-1.81221918686
ACH-000684,-1.61017865037
ACH-000688,-1.4463802408500002
ACH-000693,-1.4798545577700002
ACH-000694,-1.437659089
ACH-000695,-1.5392409419600002
ACH-000696,-1.48883425634
ACH-000697,-1.7188808530000002
ACH-000699,-1.69863568622
ACH-000701,-1.59639838035
ACH-000706,-1.56677254224
ACH-000711,-1.62360644068
ACH-000713,-1.41008829966
ACH-000714,-1.6648725233200001
ACH-000718,-1.9225189099200002
ACH-000720,-1.7129233285699998
ACH-000721,-1.18438735301
ACH-000724,-1.25018338548
ACH-000725,-1.8365149446900002
ACH-000732,-1.66492756456
ACH-000734,-1.45971446576
ACH-000735,-1.5078220391400001
ACH-000736,-1.66388694886
ACH-000738,-1.7529493807599998
ACH-000746,-1.77673643069
ACH-000747,-1.34658534259
ACH-000748,-1.3463341482700002
ACH-000753,-1.6373416732
ACH-000756,-1.67435425157
ACH-000757,-1.62575010247
ACH-000758,-1.52003307167
ACH-000760,-1.4740067412
ACH-000763,-1.8790498108900002
ACH-000764,-1.63019002614
ACH-000765,-1.55133309951
ACH-000766,-1.7335254753799998
ACH-000767,-1.7800112098900003
ACH-000768,-1.55326801404
ACH-000769,-1.53819175181
ACH-000770,-1.65011389022
ACH-000771,-1.48436879151
ACH-000773,-1.7969457003
ACH-000776,-1.48999542801
ACH-000777,-1.45366589485
ACH-000778,-2.1368072917500003
ACH-000781,-1.75144337475
ACH-000782,-1.49477995475
ACH-000783,-1.51549270789
ACH-000784,-1.41141154234
ACH-000785,-1.78673731069
ACH-000787,-1.73197619632
ACH-000788,-1.58397613167
ACH-000791,-1.7381003264200001
ACH-000792,-1.54244613908
ACH-000794,-1.47267750878
ACH-000796,-1.62362008723
ACH-000799,-1.27679005001
ACH-000800,-2.15365506081
ACH-000802,-1.5544116784200002
ACH-000804,-1.89538089374
ACH-000805,-1.67617981169
ACH-000809,-1.44654901884
ACH-000810,-1.5878257277799999
ACH-000811,-1.6511535167299998
ACH-000817,-1.34574890044
ACH-000819,-1.3661738438600002
ACH-000820,-1.6448273747600002
ACH-000821,-2.00477704972
ACH-000822,-1.8539957181400002
ACH-000823,-1.4900599761200002
ACH-000824,-1.6073782483899999
ACH-000827,-1.4335952022999998
ACH-000829,-1.7305314933700002
ACH-000831,-1.7702054245299998
ACH-000832,-1.19220613097
ACH-000833,-1.4737873024500001
ACH-000834,-1.4669027747799999
ACH-000835,-1.24558179706
ACH-000836,-1.62188153884
ACH-000837,-2.02128731501
ACH-000838,-1.74853537935
ACH-000839,-1.59675935804
ACH-000840,-1.70176344639
ACH-000841,-1.6990347876700003
ACH-000843,-1.5114653104799998
ACH-000846,-1.5927639675
ACH-000847,-1.54278970666
ACH-000848,-1.5616744998199998
ACH-000849,-1.43104068432
ACH-000851,-1.77989684955
ACH-000855,-1.61630083384
ACH-000856,-1.7064337615
ACH-000858,-1.5596040900600001
ACH-000859,-1.74053034972
ACH-000861,-2.0211516942700003
ACH-000862,-1.5210031405700002
ACH-000865,-1.5954428470299997
ACH-000866,-1.7185810130599999
ACH-000867,-1.71666257968
ACH-000869,-1.7781386038299998
ACH-000872,-1.8094721731799999
