,FADS6 (283985)
ACH-000004,-0.0964350595416
ACH-000007,0.109079398132
ACH-000009,-0.158371368956
ACH-000011,-0.09770201364060001
ACH-000012,-0.347890272917
ACH-000013,-0.154384836896
ACH-000014,0.0578136425667
ACH-000015,-0.10669626893999999
ACH-000017,-0.259924584261
ACH-000018,-0.319397164916
ACH-000019,-0.22369475324299998
ACH-000021,-0.0892709073954
ACH-000022,-0.0820795857167
ACH-000025,-0.0708934612913
ACH-000028,-0.240187015939
ACH-000030,-0.09813493004799999
ACH-000035,-0.0672222521407
ACH-000036,-0.15516939787200001
ACH-000037,-0.519523220273
ACH-000039,-0.219422869503
ACH-000040,-0.013123507061499999
ACH-000041,-0.248145279939
ACH-000042,-0.260634082858
ACH-000045,-0.13997295925699998
ACH-000047,-0.170297955398
ACH-000052,-0.16234036495999998
ACH-000053,-0.1974683313
ACH-000054,-0.155310532498
ACH-000055,-0.10479951042999999
ACH-000060,-0.215177095695
ACH-000067,-0.341181378534
ACH-000070,0.08544690965289999
ACH-000075,0.179541419806
ACH-000078,-0.438894270758
ACH-000082,-0.213855241256
ACH-000085,-0.0166262744218
ACH-000086,-0.38136857677
ACH-000087,-0.144594518669
ACH-000092,-0.18020186259799997
ACH-000095,-0.18792470498
ACH-000097,-0.07073921736439999
ACH-000098,-0.18131795270799997
ACH-000099,-0.264668231295
ACH-000108,-0.12158854581700002
ACH-000113,-0.193721094734
ACH-000115,-0.111760157399
ACH-000116,-0.212467923711
ACH-000118,-0.0552647164716
ACH-000120,-0.10806803394200001
ACH-000123,-0.06729650246230001
ACH-000127,-0.300497022674
ACH-000128,-0.319324003175
ACH-000132,-0.282170650691
ACH-000133,-0.24366574789099998
ACH-000137,-0.137148148918
ACH-000138,-0.14569518045
ACH-000142,-0.38378491391900005
ACH-000143,0.0982950335093
ACH-000146,-0.125607925804
ACH-000148,-0.0999229749505
ACH-000150,-0.227513016895
ACH-000152,-0.328797758013
ACH-000153,-0.08903001556910001
ACH-000159,-0.513681664007
ACH-000160,-0.17746941562100002
ACH-000163,-0.147500319598
ACH-000167,-0.244586404978
ACH-000168,-0.10436110575400001
ACH-000169,-0.08364267993800001
ACH-000178,-0.0336348939945
ACH-000182,-0.295398254487
ACH-000183,-0.09481769254280001
ACH-000188,-0.223661442056
ACH-000189,-0.162276413886
ACH-000190,-0.32716621262
ACH-000198,-0.11892722549200001
ACH-000204,0.178980582009
ACH-000206,-0.25362204710700004
ACH-000207,-0.258597236523
ACH-000211,-0.178640175826
ACH-000215,-0.155778476848
ACH-000221,0.017475205437
ACH-000222,-0.26689943923
ACH-000223,0.0949257378535
ACH-000226,-0.22651878522500002
ACH-000227,0.050637017690500004
ACH-000228,-0.220028736815
ACH-000231,-0.115604516491
ACH-000232,-0.132069194104
ACH-000233,-0.20702242611
ACH-000234,0.0288677732693
ACH-000235,-0.249077373766
ACH-000237,-0.032885424590599996
ACH-000238,-0.334823573819
ACH-000243,-0.133551462229
ACH-000244,-0.0655062232007
ACH-000246,-0.135181168147
ACH-000248,-0.149330201427
ACH-000250,-0.282038728102
ACH-000251,-0.539891770014
ACH-000253,-0.23283199027899998
ACH-000255,-0.238639666166
