,HNF1B (6928)
ACH-000004,-0.00251961230141
ACH-000007,-0.856576991682
ACH-000009,-0.395475797292
ACH-000011,-1.41111032152
ACH-000012,-0.823180013202
ACH-000013,-0.223345612752
ACH-000014,-0.382632400024
ACH-000015,-0.0795420996444
ACH-000017,-0.171892557388
ACH-000018,-0.937605124345
ACH-000019,-0.296538578304
ACH-000021,-0.08509934690469999
ACH-000022,-0.395212052808
ACH-000025,-0.0891756675908
ACH-000028,-0.171421676739
ACH-000030,-0.234060658703
ACH-000035,-0.33171370320300003
ACH-000036,-0.41420798954599997
ACH-000037,0.06282118320209999
ACH-000039,-0.218460127546
ACH-000040,-0.17726417526299998
ACH-000041,-0.216496338482
ACH-000042,-0.105506813906
ACH-000045,-0.285380451074
ACH-000047,-1.43254414762
ACH-000052,-0.115698157008
ACH-000053,-0.0599335526446
ACH-000054,-0.134327759597
ACH-000055,-0.35894515598099996
ACH-000060,-0.27556397319000003
ACH-000067,-0.357492158398
ACH-000070,-0.194643097253
ACH-000075,-0.234869926164
ACH-000078,-0.186354550887
ACH-000082,-0.21188718431499998
ACH-000085,-0.209273911295
ACH-000086,-0.17888626236900002
ACH-000087,0.00219373856585
ACH-000092,-0.0308339839562
ACH-000095,-0.20511418638599999
ACH-000097,-0.132712828893
ACH-000098,-0.265611676101
ACH-000099,-0.14174015778100002
ACH-000108,0.019471307577
ACH-000113,-0.329818316647
ACH-000115,-2.1637773519
ACH-000116,-0.20775761532499998
ACH-000118,-0.347998604252
ACH-000120,-0.38521960592
ACH-000123,-0.127607668475
ACH-000127,-0.528109408591
ACH-000128,-0.22282045411899998
ACH-000132,-0.116130581249
ACH-000133,-0.119158931643
ACH-000137,-0.307836460167
ACH-000138,-1.2070146327200002
ACH-000142,-0.414873862337
ACH-000143,-0.249246832136
ACH-000146,-0.187692950024
ACH-000148,-0.0795665371584
ACH-000150,-0.0350176676725
ACH-000152,-0.122094254418
ACH-000153,0.165659252138
ACH-000159,-1.70001077956
ACH-000160,-0.241012413948
ACH-000163,0.006170026451399999
ACH-000167,-0.5113409069879999
ACH-000168,-0.240589474104
ACH-000169,-0.16770245696799999
ACH-000178,-0.0845955786166
ACH-000182,-0.696041000942
ACH-000183,-0.32178865430500003
ACH-000188,-0.339542422049
ACH-000189,-1.0474021752200002
ACH-000190,-0.28456413684500004
ACH-000198,-0.225349162677
ACH-000204,-0.256972067686
ACH-000206,-0.025038054839
ACH-000207,0.12031014579600001
ACH-000211,-0.0878215312349
ACH-000215,-0.17073873653000002
ACH-000221,-0.38035277102799997
ACH-000222,-0.24548878482900002
ACH-000223,-0.193699049162
ACH-000226,-0.19492330272599998
ACH-000227,-0.169388271715
ACH-000228,0.043091772064100003
ACH-000231,-0.170277704809
ACH-000232,-0.22409400108600003
ACH-000233,-0.0715204378024
ACH-000234,-3.0031741100400002
ACH-000235,-0.6718447117090001
ACH-000237,-0.110621089336
ACH-000238,-0.26448110899300004
ACH-000243,-0.145656963777
ACH-000244,-0.31600396818300003
ACH-000246,-1.43657985384
ACH-000248,-0.265548110877
ACH-000250,-1.3577377207899999
ACH-000251,-1.81364679808
ACH-000253,-0.478769062475
ACH-000255,-0.334427739753
ACH-000256,-0.215933712546
ACH-000257,-0.17768937372000002
ACH-000258,0.275337932247
ACH-000259,-0.26318412582899997
ACH-000260,-0.199013549881
ACH-000261,-0.19129738231899998
ACH-000262,-1.54975411167
ACH-000263,-0.37763407487899997
ACH-000264,-0.149098421914
ACH-000265,-0.144366907846
ACH-000266,-0.392107841806
ACH-000272,-1.52494455463
ACH-000273,-0.143922495963
ACH-000274,-0.112062045749
ACH-000277,0.0562812327576
ACH-000278,-0.171598899947
ACH-000279,-0.0892123242412
ACH-000280,-0.118869759444
ACH-000281,0.0526844988989
ACH-000288,-0.13618148977
ACH-000291,-0.551073785894
ACH-000293,-0.389509201532
ACH-000294,-0.25457059228
ACH-000295,-0.12322319482100001
ACH-000296,-0.138634992079
ACH-000302,-1.40484613912
ACH-000304,-0.351525697464
ACH-000307,-0.015005940301700002
ACH-000308,-0.83609730416
ACH-000310,-0.15530043459
ACH-000311,-0.760035641275
ACH-000312,-0.434229755752
ACH-000315,-0.216061219657
ACH-000316,-0.685300277135
ACH-000317,-1.6938286978600001
ACH-000318,-0.11329180188200001
