,CRTC3 (64784)
ACH-000004,-0.652346148061
ACH-000007,0.0696598035206
ACH-000009,-0.183605239897
ACH-000011,-0.08204367791669999
ACH-000012,-0.0864677081483
ACH-000013,-0.11631506349300001
ACH-000014,-0.46802592497
ACH-000015,-0.11364339207999999
ACH-000017,-0.369909455363
ACH-000018,-0.048215923046399996
ACH-000019,-0.249943579866
ACH-000021,-0.150864109932
ACH-000022,-0.137571830492
ACH-000025,-0.22909083176699999
ACH-000028,-0.356745840492
ACH-000030,-0.141758093778
ACH-000035,-0.09388415082399999
ACH-000036,0.154674824444
ACH-000037,-0.423740232947
ACH-000039,-0.24547037590999998
ACH-000040,-0.0309695919582
ACH-000041,-0.308506952945
ACH-000042,-0.20328663523499999
ACH-000045,-0.169592693929
ACH-000047,-0.214042061011
ACH-000052,-0.215836520963
ACH-000053,-0.164334702838
ACH-000054,-0.147918745894
ACH-000055,-0.153100163991
ACH-000060,-0.08369673958539998
ACH-000067,-0.209443465383
ACH-000070,-0.00732445839941
ACH-000075,0.10360984352199999
ACH-000078,-0.00799802618355
ACH-000082,-0.10920376435799999
ACH-000085,0.00493467517383
ACH-000086,-0.293539346617
ACH-000087,-0.0272543226443
ACH-000092,-0.24485445018100002
ACH-000095,-0.21293148771099998
ACH-000097,-0.185239736283
ACH-000098,0.039354433597499995
ACH-000099,-0.287458867022
ACH-000108,-0.161999792956
ACH-000113,-0.161459527552
ACH-000115,-0.0769267503968
ACH-000116,-0.06664695121559999
ACH-000118,0.000930832341143
ACH-000120,-0.21530331210200002
ACH-000123,-0.0696282379493
ACH-000127,-0.0501912705348
ACH-000128,-0.291479101491
ACH-000132,-0.379480750957
ACH-000133,-0.204822784258
ACH-000137,-0.0682133789311
ACH-000138,0.0368777748415
ACH-000142,-0.0360459032634
ACH-000143,-0.258352385103
ACH-000146,-0.247059223188
ACH-000148,-0.147271550134
ACH-000150,-0.027686803823099997
ACH-000152,-0.0637778817385
ACH-000153,0.0746154801623
ACH-000159,0.101493672851
ACH-000160,-0.167700774917
ACH-000163,0.0816933278781
ACH-000167,0.0347911883494
ACH-000168,-0.04808782250580001
ACH-000169,-0.094438640812
ACH-000178,-0.139975389443
ACH-000182,-0.0895823940184
ACH-000183,-0.30171040749899997
ACH-000188,-0.022076815893099996
ACH-000189,-0.507129226123
ACH-000190,-0.112608055611
