,BSDC1 (55108)
ACH-000004,0.158046932757
ACH-000007,-0.216324848847
ACH-000009,-0.16744664836200002
ACH-000011,-0.08081661375860001
ACH-000012,-0.10038413108100001
ACH-000013,-0.271042199993
ACH-000014,-0.11878059050100001
ACH-000015,-0.0469340881662
ACH-000017,-0.0233877358709
ACH-000018,-0.05667715054280001
ACH-000019,0.0239732101002
ACH-000021,-0.100866202258
ACH-000022,-0.0820455730506
ACH-000025,-0.0365639061846
ACH-000028,-0.06369248017160001
ACH-000030,-0.03550177943130001
ACH-000035,-0.36787246415200003
ACH-000036,-0.019798641668900004
ACH-000037,-0.08773499856080001
ACH-000039,0.0077431547806
ACH-000040,-0.0751201301595
ACH-000041,0.0874677901333
ACH-000042,0.05024041557180001
ACH-000045,-0.060440066208
ACH-000047,-0.207764529045
ACH-000052,-0.121302506615
ACH-000053,-0.16029497491800002
ACH-000054,0.10383730004899999
ACH-000055,-0.0737711784242
ACH-000060,-0.10676240703400001
ACH-000067,-0.060010307518199996
ACH-000070,0.05151978347030001
ACH-000075,-0.128549189439
ACH-000078,-0.105463936186
ACH-000082,-0.073908499161
ACH-000085,0.0662463744519
ACH-000086,-0.13732048392
ACH-000087,-0.0450658177952
ACH-000092,-0.542452676672
ACH-000095,-0.06483247751190001
ACH-000097,0.022227774573400003
ACH-000098,-0.18541404074
ACH-000099,0.0438216144881
ACH-000108,-0.222590582737
ACH-000113,-0.173015569305
ACH-000115,-0.115536697123
ACH-000116,0.0560980076501
ACH-000118,-0.0997231851448
ACH-000120,-0.101037041744
ACH-000123,-0.200208215854
ACH-000127,0.10445256168299999
ACH-000128,-0.18518766750399998
ACH-000132,0.0211656362989
ACH-000133,-0.12374336539000001
ACH-000137,-0.208853621047
ACH-000138,-0.0689039500536
ACH-000142,-0.139763054563
ACH-000143,0.0817702704149
ACH-000146,-0.0137369842287
ACH-000148,-0.113205626868
ACH-000150,-0.510663948701
ACH-000152,-0.26751255151000003
ACH-000153,-0.06429851456730001
ACH-000159,0.057653044719099995
ACH-000160,0.027497124382400002
ACH-000163,0.0357044349667
ACH-000167,-0.16311523516100002
ACH-000168,-0.0250093107592
ACH-000169,-0.23752888733199998
ACH-000178,-0.15731909662000002
ACH-000182,0.0853215915643
ACH-000183,-0.07760719854550001
ACH-000188,-0.431692623811
ACH-000189,0.189804592204
ACH-000190,-0.020411552580200002
ACH-000198,-0.126909146647
ACH-000204,0.06415193407019999
ACH-000206,-0.15548649509
ACH-000207,0.0538320046065
ACH-000211,-0.0572681057773
ACH-000215,-0.0812739506598
ACH-000221,-0.0577037996536
ACH-000222,0.0203678963623
ACH-000223,0.05819305534659999
ACH-000226,-0.0509944365978
ACH-000227,0.0321820425055
ACH-000228,-0.267455166792
ACH-000231,-0.07286421944039999
ACH-000232,-0.14421739387399998
ACH-000233,0.14179853669700002
ACH-000234,-0.17880138936
ACH-000235,-0.041005988530599995
ACH-000237,-0.178812959496
ACH-000238,-0.18026176607299998
ACH-000243,-0.026572023989900002
ACH-000244,-0.11394735138800001
ACH-000246,-0.0599800588507
ACH-000248,-0.20406256601599998
ACH-000250,-0.06328433146739999
ACH-000251,0.130589187207
