,MED30 (90390)
ACH-000004,-1.5208218200499999
ACH-000007,-1.8455309068999999
ACH-000009,-1.8199412820299998
ACH-000011,-2.09619710253
ACH-000012,-1.64298454451
ACH-000013,-1.82840724414
ACH-000014,-2.01048128621
ACH-000015,-1.53085177397
ACH-000017,-1.29930600831
ACH-000018,-1.5987820244100002
ACH-000019,-1.60507907567
ACH-000021,-1.61493451818
ACH-000022,-1.8615914185599998
ACH-000025,-1.37900665376
ACH-000028,-1.67253009569
ACH-000030,-1.69063162643
ACH-000035,-1.3800502044799998
ACH-000036,-1.3998778717700002
ACH-000037,-1.70640208136
ACH-000039,-1.8198696969200001
ACH-000040,-1.88891082729
ACH-000041,-1.88703094406
ACH-000042,-1.6022837906
ACH-000045,-1.9578744130599999
ACH-000047,-1.7730422045200003
ACH-000052,-1.51140386476
ACH-000053,-1.7229783642900003
ACH-000054,-1.81350110568
ACH-000055,-1.73049198875
ACH-000060,-1.4805719677000002
ACH-000067,-1.3790607229700003
ACH-000070,-1.6319828387900002
ACH-000075,-1.22725120754
ACH-000078,-1.62095366061
ACH-000082,-1.50018725035
ACH-000085,-1.5657686958
ACH-000086,-1.3346972099299999
ACH-000087,-1.4812724960299999
ACH-000092,-1.8076492373
ACH-000095,-1.62800169653
ACH-000097,-2.08123222238
ACH-000098,-1.6086957503000001
ACH-000099,-1.72970951993
ACH-000108,-1.8577890196200002
ACH-000113,-1.78075023615
ACH-000115,-1.3988641051800002
ACH-000116,-1.61520577537
ACH-000118,-1.70169591704
ACH-000120,-1.69857971659
ACH-000123,-1.60022862245
ACH-000127,-1.7221443263
ACH-000128,-2.01916525157
ACH-000132,-1.58681203016
ACH-000133,-1.4785971978
ACH-000137,-1.46196695704
ACH-000138,-1.77473573818
ACH-000142,-1.6188214537799999
ACH-000143,-1.63953434009
ACH-000146,-2.07156266363
ACH-000148,-1.77391341035
ACH-000150,-1.90127211027
ACH-000152,-1.58405720941
ACH-000153,-1.7233861855400001
ACH-000159,-2.07758566565
ACH-000160,-1.1017808764700001
ACH-000163,-2.09283624074
ACH-000167,-1.92668207775
ACH-000168,-1.74579217742
ACH-000169,-1.8024082721799999
ACH-000178,-1.7912802796
ACH-000182,-1.94587436738
ACH-000183,-1.7441257881099999
ACH-000188,-1.6007056670200002
ACH-000189,-2.0244632718099997
ACH-000190,-1.18224123109
ACH-000198,-1.8961188494099999
ACH-000204,-1.8156176164500002
ACH-000206,-2.0458992602
ACH-000207,-1.10085434049
ACH-000211,-1.7455151871
ACH-000215,-1.9679988216599997
ACH-000221,-1.8880844861500001
ACH-000222,-1.90462603397
ACH-000223,-1.8986223667500002
ACH-000226,-1.5823011961200002
ACH-000227,-1.71056388062
ACH-000228,-1.68469733572
ACH-000231,-1.58137480593
