,CHERP (10523)
ACH-000004,-1.05227850858
ACH-000007,-1.3509234109700001
ACH-000009,-1.27337997092
ACH-000011,-1.5073026219799999
ACH-000012,-1.3055580311
ACH-000013,-1.35064568407
ACH-000014,-1.27146212443
ACH-000015,-1.3996655964500002
ACH-000017,-1.27738390859
ACH-000018,-1.2738765780299999
ACH-000019,-1.15427737253
ACH-000021,-1.33978678188
ACH-000022,-1.04593890718
ACH-000025,-1.18632027786
ACH-000028,-1.30688929422
ACH-000030,-1.3788239317
ACH-000035,-1.16713799981
ACH-000036,-1.3754086887900001
ACH-000037,-1.25977995782
ACH-000039,-1.28674271064
ACH-000040,-1.3381201320799998
ACH-000041,-1.24850773439
ACH-000042,-1.48876586072
ACH-000045,-1.1718615131899999
ACH-000047,-1.33492763853
ACH-000052,-1.47861195717
ACH-000053,-1.1390146833900001
ACH-000054,-1.48763804168
ACH-000055,-1.3839910017200001
ACH-000060,-1.3007939860700002
ACH-000067,-1.02121883668
ACH-000070,-1.1948553122
ACH-000075,-1.2968621926000001
ACH-000078,-1.2210637507200002
ACH-000082,-1.03311123279
ACH-000085,-1.51979305393
ACH-000086,-1.31101135323
ACH-000087,-1.28482571866
ACH-000092,-1.08701738875
ACH-000095,-1.3995115634
ACH-000097,-1.31762866355
ACH-000098,-1.24449725705
ACH-000099,-1.3628185426600001
ACH-000108,-1.0790235891600002
ACH-000113,-1.6224859774899998
ACH-000115,-1.2596622773700001
ACH-000116,-1.3191275784
ACH-000118,-1.33530309622
ACH-000120,-1.3169171165200002
ACH-000123,-1.24472834786
ACH-000127,-1.1787121753399998
ACH-000128,-1.05352671015
ACH-000132,-1.00036753502
ACH-000133,-1.25812009985
ACH-000137,-1.2706187603399999
ACH-000138,-1.2116848015200001
ACH-000142,-1.22455436073
ACH-000143,-1.10233512376
ACH-000146,-1.31733042675
ACH-000148,-1.2165454993
ACH-000150,-1.3914984298700002
ACH-000152,-1.20131576529
ACH-000153,-1.6066282756799999
ACH-000159,-1.4444257646
ACH-000160,-1.31482885888
ACH-000163,-1.1875508382200002
ACH-000167,-0.671582506334
ACH-000168,-1.11124463721
ACH-000169,-1.01817514985
ACH-000178,-1.34606191041
ACH-000182,-1.24438806403
ACH-000183,-1.2243643680299998
ACH-000188,-1.60437240907
ACH-000189,-1.26603632565
ACH-000190,-1.11709294256
ACH-000198,-0.8982447996259999
ACH-000204,-1.42153726023
ACH-000206,-1.8084773704
ACH-000207,-1.6722293985499999
ACH-000211,-1.4020355938999998
ACH-000215,-1.13508391017
ACH-000221,-1.42324499218
ACH-000222,-1.23820356676
ACH-000223,-1.55730855884
ACH-000226,-1.2796505905
ACH-000227,-1.3955141864200002
ACH-000228,-1.10923046019
ACH-000231,-0.914294121231
ACH-000232,-1.12703758692
ACH-000233,-1.54677521079
ACH-000234,-1.15482723194
ACH-000235,-1.2928754251999999
ACH-000237,-1.4352605588299998
ACH-000238,-0.9397398924979999
ACH-000243,-1.2703820242000001
ACH-000244,-1.35494711757
ACH-000246,-1.05291550156
ACH-000248,-1.23371753068
ACH-000250,-1.41708650701
ACH-000251,-1.3489387377700002
ACH-000253,-1.19581610497
ACH-000255,-1.12826595218
ACH-000256,-1.5240960926299998
ACH-000257,-0.9509621594769999
ACH-000258,-0.953050226277
ACH-000259,-1.44666655647
ACH-000260,-1.3157359747700001
ACH-000261,-1.4404815936700002
ACH-000262,-1.459844822
ACH-000263,-1.24014388767
ACH-000264,-1.29566998766
ACH-000265,-1.2472393296700002
ACH-000266,-1.49701049493
ACH-000272,-1.1162606906399999
ACH-000273,-1.4720451725900001
ACH-000274,-1.15085484471
ACH-000277,-1.19536274276
ACH-000278,-1.18242674215
ACH-000279,-1.11377761452
ACH-000280,-1.25889040179
ACH-000281,-0.944880279106
ACH-000288,-0.8441042984489999
ACH-000291,-1.57401173262
ACH-000293,-1.70513072119
ACH-000294,-1.31509810038
ACH-000295,-1.25008938732
ACH-000296,-1.7338601718
ACH-000302,-1.84072046729
ACH-000304,-1.2069372972
ACH-000307,-1.3017441033200001
ACH-000308,-1.55604456646
ACH-000310,-1.1998057424700002
ACH-000311,-1.25775083124
ACH-000312,-1.109932143
ACH-000315,-1.51168704095
ACH-000316,-0.851173780311
ACH-000317,-1.3368873058700002
ACH-000318,-1.2432242158
ACH-000319,-1.2955029507200002
ACH-000320,-1.1249075883
ACH-000322,-1.37817920311
ACH-000323,-1.3340002390799999
ACH-000324,-1.6291092238799998
ACH-000329,-0.9492518719390001
ACH-000330,-1.3744282915900001
ACH-000331,-1.19183188816
ACH-000332,-1.12801396407
ACH-000334,-1.31358419775
ACH-000335,-1.2947530516299999
ACH-000336,-1.3674360847100002
ACH-000337,-1.14938534861
ACH-000339,-1.33552894567
ACH-000341,-1.81252333217
ACH-000348,-1.6057316590200001
ACH-000350,-1.55344191399
ACH-000352,-1.5878292972699999
ACH-000356,-1.39778646896
ACH-000361,-1.4333137310600002
ACH-000362,-1.3582396671799999
ACH-000363,-1.3568985362200001
ACH-000364,-1.33778757795
ACH-000365,-1.28962298654
ACH-000366,-1.4026132660799997
ACH-000368,-1.2539808711799998
ACH-000374,-1.21892223641
ACH-000375,-1.3889953986
ACH-000376,-1.0375909707
ACH-000381,-1.10562903744
ACH-000383,-1.4869657845299997
ACH-000387,-1.17134930829
ACH-000389,-1.0850064020899999
ACH-000390,-1.34677460134
ACH-000393,-1.57994837742
ACH-000395,-1.49910182009
ACH-000397,-1.18636896685
ACH-000401,-1.34958535528
ACH-000402,-1.3458303629799997
ACH-000403,-1.57852674495
ACH-000404,-1.38642758853
ACH-000406,-1.3995204341299998
ACH-000407,-1.33962262578
ACH-000408,-1.4625838550999999
ACH-000410,-1.62473853222
ACH-000411,-0.9873149763240001
ACH-000414,-1.6909377472100002
ACH-000415,-1.26271099003
ACH-000416,-1.3286182228799999
ACH-000420,-1.25811322262
ACH-000421,-1.33106564663
ACH-000424,-1.3862037977500001
ACH-000425,-1.38143731279
ACH-000426,-1.26226311714
ACH-000427,-1.54296491209
ACH-000433,-1.4226700136200001
ACH-000436,-1.01682021464
ACH-000444,-1.2683022546
ACH-000445,-1.93696797352
ACH-000448,-1.42463376306
ACH-000450,-1.6766003456
ACH-000452,-1.57006207271
