,CYCS (54205)
ACH-000004,-0.902552630616
ACH-000007,-0.7338798090440001
ACH-000009,-1.0211812385799999
ACH-000011,-0.924359734156
ACH-000012,-0.841779545279
ACH-000013,-0.962381603326
ACH-000014,-1.18943514673
ACH-000015,-1.1455478321299999
ACH-000017,-0.8187158324789999
ACH-000018,-1.07462635028
ACH-000019,-1.24318356464
ACH-000021,-1.11251825076
ACH-000022,-1.02272360504
ACH-000025,-0.99434930129
ACH-000028,-0.8247736033230001
ACH-000030,-1.04638153779
ACH-000035,-0.9364775696400001
ACH-000036,-0.724167560277
ACH-000037,-0.9904479988510001
ACH-000039,-0.7479206912880001
ACH-000040,-0.717009455345
ACH-000041,-1.02075580457
ACH-000042,-1.0539071606100001
ACH-000045,-0.853680655369
ACH-000047,-1.1563762364799999
ACH-000052,-0.841400246989
ACH-000053,-1.07140316238
ACH-000054,-0.8831409734000001
ACH-000055,-0.954101330146
ACH-000060,-1.20375975235
ACH-000067,-0.9569144793979999
ACH-000070,-0.9455949132829999
ACH-000075,-0.892041071087
ACH-000078,-1.00417889442
ACH-000082,-0.8047614411130001
ACH-000085,-1.0196687717
ACH-000086,-0.9393571837360001
ACH-000087,-1.0561721633499999
ACH-000092,-0.7240281941560001
ACH-000095,-0.971577225623
ACH-000097,-0.890366851583
ACH-000098,-0.770482605543
ACH-000099,-1.02218871005
ACH-000108,-0.814823324959
ACH-000113,-0.8002756158
ACH-000115,-0.570396552726
ACH-000116,-1.1012178287899999
ACH-000118,-1.14824791646
ACH-000120,-0.8348991974609999
ACH-000123,-0.8911763626549999
ACH-000127,-1.2715304189799999
ACH-000128,-1.3067343204700002
ACH-000132,-0.9222319057200001
ACH-000133,-0.717707320883
ACH-000137,-0.781868341997
ACH-000138,-1.35383247131
ACH-000142,-0.9397590092799999
ACH-000143,-1.08284440885
ACH-000146,-1.24251632264
ACH-000148,-0.7845863832269999
ACH-000150,-1.03564336298
ACH-000152,-0.927065149409
ACH-000153,-1.10705926859
ACH-000159,-1.10179178548
ACH-000160,-1.1010645994700001
ACH-000163,-0.628052585951
ACH-000167,-0.654743730399
ACH-000168,-0.542421470078
ACH-000169,-1.09888044292
ACH-000178,-1.05616291951
ACH-000182,-1.2773132281100001
ACH-000183,-1.3109707334799998
ACH-000188,-1.0787945484700001
ACH-000189,-0.7772151279639999
ACH-000190,-0.47742189138400004
ACH-000198,-0.7756251782089999
ACH-000204,-0.917281939605
ACH-000206,-1.01145771816
ACH-000207,-1.22306804637
ACH-000211,-1.08184981292
ACH-000215,-0.8691998683390001
ACH-000221,-1.32051073693
ACH-000222,-1.0090772534999999
ACH-000223,-1.10946121472
ACH-000226,-0.9617391867489999
ACH-000227,-1.0908833721100002
ACH-000228,-0.886834742499
ACH-000231,-0.725912132235
ACH-000232,-1.00896142216
ACH-000233,-0.990579657296
ACH-000234,-0.791407350977
ACH-000235,-1.10877655011
ACH-000237,-0.7173110331360001
ACH-000238,-0.663513960041
ACH-000243,-0.912841063035
