,NFAM1 (150372)
ACH-000004,0.0991817404544
ACH-000007,0.08639412594630001
ACH-000009,0.132862022698
ACH-000011,0.240031246715
ACH-000012,-0.0705344726456
ACH-000013,-0.0560489515097
ACH-000014,-0.08563344539920001
ACH-000015,0.17907076804000002
ACH-000017,0.019648440545700002
ACH-000018,0.00542736680929
ACH-000019,0.195276630974
ACH-000021,0.0405952791699
ACH-000022,0.130490969441
ACH-000025,0.0349712558569
ACH-000028,0.166083042463
ACH-000030,0.0179719509029
ACH-000035,0.138129845403
ACH-000036,0.40715123699100003
ACH-000037,-0.08194615184660001
ACH-000039,0.159340857239
ACH-000040,0.258497317065
ACH-000041,0.12712836978599998
ACH-000042,0.14294370521299998
ACH-000045,0.15595843792000003
ACH-000047,0.0937400930765
ACH-000052,0.0326625043867
ACH-000053,0.0555632230743
ACH-000054,0.158560150458
ACH-000055,0.101089211623
ACH-000060,0.0281267517201
ACH-000067,0.18046667437199998
ACH-000070,0.220974009161
ACH-000075,0.26709388195
ACH-000078,0.159248301042
ACH-000082,0.202997713261
ACH-000085,-0.042960382013300005
ACH-000086,0.177962456486
ACH-000087,0.0919338014418
ACH-000092,0.191649860665
ACH-000095,0.18636149476
ACH-000097,0.18799988017900002
ACH-000098,0.143716993858
ACH-000099,0.07968830437360001
ACH-000108,0.241782943319
ACH-000113,0.109883130077
ACH-000115,0.09656989770810001
ACH-000116,0.0667037666534
ACH-000118,0.0534871267742
ACH-000120,0.104735501515
ACH-000123,0.126734080446
ACH-000127,0.180009993191
ACH-000128,0.22845545728100003
ACH-000132,0.193395683915
ACH-000133,0.160208300822
ACH-000137,0.15583016237
ACH-000138,0.24386587311299998
ACH-000142,0.07563809085010001
ACH-000143,0.141693108447
ACH-000146,-0.00616670610594
ACH-000148,0.143440779079
ACH-000150,0.249683819809
ACH-000152,0.15964475680600002
ACH-000153,0.26932961805
ACH-000159,0.24226736638799998
ACH-000160,0.21775263269099998
ACH-000163,0.0326002181776
ACH-000167,-0.054879408716400006
ACH-000168,0.31596518793699996
ACH-000169,0.11686649740999999
ACH-000178,0.156736300967
ACH-000182,0.130938149944
ACH-000183,-0.0005566747238159999
ACH-000188,0.166678460856
ACH-000189,-0.028197041700499997
ACH-000190,0.342194832456
ACH-000198,0.0980300904297
ACH-000204,0.20873453665800001
ACH-000206,0.079516571207
ACH-000207,-0.0215960772976
ACH-000211,0.185953753891
ACH-000215,0.0445357504573
ACH-000221,0.0286796527845
ACH-000222,-0.0145349305121
ACH-000223,0.08079298863810001
ACH-000226,0.15806958957800002
ACH-000227,0.251426263019
ACH-000228,0.0319042274164
ACH-000231,-0.12232106526599999
ACH-000232,0.0899780404511
ACH-000233,0.11246681305600001
ACH-000234,0.244069080652
ACH-000235,0.161928296522
ACH-000237,0.08835307368730001
ACH-000238,0.21706690527699998
ACH-000243,0.178428231574
ACH-000244,0.0732550922365
ACH-000246,0.0587211031994
ACH-000248,0.136371905565
ACH-000250,0.123865730687
ACH-000251,0.307454521422
ACH-000253,0.161209586875
ACH-000255,0.113862568928
ACH-000256,0.16986371468199998
ACH-000257,0.0910555472357
ACH-000258,0.291213246296
ACH-000259,0.196136258486
ACH-000260,0.11511737697499999
ACH-000261,0.106461331458
ACH-000262,0.0933687251626
ACH-000263,0.0060254633986
ACH-000264,0.0179813638792
ACH-000265,0.2034535247
ACH-000266,0.0284571775671
ACH-000272,0.239901282605
ACH-000273,0.20690111875300002
ACH-000274,-0.00858886594838
ACH-000277,0.144427794985
ACH-000278,0.0725851819889
ACH-000279,0.10436750388499999
ACH-000280,0.0819099607664
ACH-000281,0.114837042606
ACH-000288,0.09565690520919999
ACH-000291,0.125994576231
ACH-000293,0.191574632748
ACH-000294,0.130517297481
ACH-000295,0.286751612322
ACH-000296,0.104559833741
ACH-000302,0.150141432609
ACH-000304,-0.5882691187899999
ACH-000307,0.0964432769918
ACH-000308,0.134317150502
ACH-000310,0.0381358616907
ACH-000311,0.0309852902655
ACH-000312,0.10960925696799999
ACH-000315,-0.18955830381299998
ACH-000316,0.07744662843439999
ACH-000317,0.146353024384
ACH-000318,0.09393769073460001
ACH-000319,0.057954677602500004
ACH-000320,0.04818790202880001
ACH-000322,0.15291927261399998
ACH-000323,0.10860555173599999
ACH-000324,0.238029059412
ACH-000329,0.00533017407316
ACH-000330,-0.0875337472747
ACH-000331,0.235816112632
ACH-000332,0.107804223038
ACH-000334,0.238432879836
ACH-000335,0.19479713410500002
ACH-000336,0.395062937823
ACH-000337,0.13703228233200002
ACH-000339,0.15076279248500002
ACH-000341,0.124620289614
ACH-000348,0.0762882455235
ACH-000350,0.0788113704307
ACH-000352,0.21279213002099998
ACH-000356,0.231255369035
ACH-000361,-0.0686672611486
ACH-000362,0.08790036003219999
ACH-000363,-0.0878900030398
ACH-000364,-0.0565704469116
ACH-000365,0.14350915764
ACH-000366,0.162166182296
ACH-000368,0.06180273976419999
ACH-000374,0.315343670924
ACH-000375,0.25000549229200003
ACH-000376,0.0298405435066
ACH-000381,0.11188327599600001
ACH-000383,0.139535054107
ACH-000387,0.0240075194036
ACH-000389,-0.0631411874441
ACH-000390,0.050642391740100004
ACH-000393,0.18155707098299997
ACH-000395,0.10291979623400001
ACH-000397,0.15167223724
ACH-000401,0.18747957943
ACH-000402,-0.23553161439
ACH-000403,0.08469766933329999
ACH-000404,-0.00126759619125
ACH-000406,0.07421473888560001
ACH-000407,0.0640387648909
ACH-000408,0.133013046639
ACH-000410,0.11757228434
ACH-000411,0.149711225873
ACH-000414,0.15641616339000003
ACH-000415,0.19615670375500002
ACH-000416,0.14779955060799999
ACH-000420,0.100799762268
ACH-000421,0.18553386857700002
ACH-000424,0.253786216673
ACH-000425,0.018063336733900003
ACH-000426,0.299819922454
ACH-000427,0.149914291106
ACH-000433,-0.0729967734148
ACH-000436,0.08386329800419999
ACH-000444,0.0400576571019
ACH-000445,0.19458774478500002
ACH-000448,0.146224829386
ACH-000450,0.138736249414
ACH-000452,0.127246131792
ACH-000454,0.109548693077
ACH-000458,0.134770242924
ACH-000459,0.18119216445
ACH-000460,0.199567607894
ACH-000461,0.0507721427442
ACH-000463,0.0534226732036
ACH-000464,0.31834648268300003
ACH-000466,-0.0208093820787
ACH-000467,0.0330992540657
ACH-000468,0.0645242414269
ACH-000469,0.182668420339
ACH-000470,0.00463482878301
ACH-000471,0.142431404028
ACH-000472,0.0254779455197
ACH-000473,0.104300016789
ACH-000475,0.0683713258947
ACH-000476,0.178384546294
ACH-000477,0.00211394347128
ACH-000480,0.0982567265095
ACH-000481,0.15733749271199998
ACH-000483,0.361106552503
ACH-000484,0.108842152697
ACH-000485,0.158859111519
ACH-000486,0.19674380816599998
ACH-000487,0.0481814423762
ACH-000488,0.00957681612268
ACH-000490,0.15571141139
ACH-000491,0.22189255918499998
ACH-000495,0.228103153759
ACH-000496,0.146157356497
ACH-000499,-0.059196491070999994
ACH-000500,0.202138776503
ACH-000502,0.181487139449
ACH-000503,0.304900627604
ACH-000505,0.12942119387499998
ACH-000507,0.173155280119
ACH-000510,0.10802720722999999
ACH-000511,0.209689761234
ACH-000512,-0.149651924356
ACH-000516,-0.0323157317603
ACH-000517,0.118831799366
ACH-000518,0.22944817414700003
ACH-000520,0.0247310890794
ACH-000521,0.0801527204314
ACH-000522,0.112258730213
ACH-000524,0.100215653642
ACH-000527,0.07005628308939998
ACH-000528,0.017660808272799998
ACH-000537,-0.017064868542
ACH-000541,0.201615008773
ACH-000542,0.06802519225999999
ACH-000544,0.120925227807
ACH-000545,0.296200504663
ACH-000547,0.147724220917
ACH-000548,0.0152068669132
ACH-000549,0.293533903994
ACH-000550,-0.100900982522
ACH-000552,-0.07434626489960001
ACH-000556,0.06791113183759999
ACH-000557,0.011009515901799998
ACH-000570,0.0283364534155
ACH-000571,-0.0695957374198
ACH-000573,-0.019135207521299998
ACH-000576,0.103267053201
ACH-000580,0.0550963495966
ACH-000584,0.0658421124976
ACH-000585,0.193847731121
ACH-000588,0.0224078015528
ACH-000589,-0.0215821144814
ACH-000591,0.112899701642
ACH-000593,0.16376939178799998
ACH-000600,0.18106106415800002
ACH-000601,0.163754464198
ACH-000604,0.218746382207
ACH-000605,0.226397635984
ACH-000606,0.128329666894
ACH-000608,-0.105169840768
ACH-000614,0.105726497062
ACH-000616,0.201901568053
ACH-000618,-0.060119013269300005
ACH-000619,0.307272453
ACH-000620,0.19925046557999998
ACH-000621,0.0630248508814
ACH-000622,0.23350018588100002
ACH-000623,0.022661959408400004
ACH-000624,0.10606035971899999
ACH-000627,0.190996028686
ACH-000630,0.102105191349
ACH-000632,0.26125360104
