,SH3PXD2A (9644)
ACH-000004,-0.28841491167
ACH-000007,-0.30377978132800004
ACH-000009,-0.394532192723
ACH-000011,-0.592223073361
ACH-000012,-0.419814444969
ACH-000013,-0.450427527444
ACH-000014,-0.531436487059
ACH-000015,-0.433552789799
ACH-000017,-0.24203664482099999
ACH-000018,-0.511680022595
ACH-000019,-0.316586433116
ACH-000021,-0.0359504661838
ACH-000022,-0.24023216202599998
ACH-000025,-0.563364528513
ACH-000028,-0.239423366769
ACH-000030,-0.350362791431
ACH-000035,-0.035256372602
ACH-000036,-0.194644352773
ACH-000037,-0.38511796499
ACH-000039,-0.544734277476
ACH-000040,-0.174567606952
ACH-000041,-0.376904115308
ACH-000042,-0.36811392244499996
ACH-000045,-0.504446545601
ACH-000047,-0.25879316358000004
ACH-000052,-0.08000630583610001
ACH-000053,-0.424465420573
ACH-000054,-0.5109194585
ACH-000055,-0.566512281514
ACH-000060,-0.387809866161
ACH-000067,-0.39580281386
ACH-000070,-0.194370851848
ACH-000075,-0.247728831143
ACH-000078,-0.384296442562
ACH-000082,-0.231299712429
ACH-000085,-0.369950242705
ACH-000086,-0.256624525557
ACH-000087,-0.399839038049
ACH-000092,-0.043923344624699996
ACH-000095,-0.328574467539
ACH-000097,-0.31087140196999996
ACH-000098,-0.261885371776
ACH-000099,-0.239931539176
ACH-000108,-0.417354487976
ACH-000113,-0.33579561456100004
ACH-000115,-0.30079715646899996
ACH-000116,-0.305572936746
ACH-000118,-0.299650603912
ACH-000120,-0.296707837581
ACH-000123,-0.197717140451
ACH-000127,-0.290257215086
ACH-000128,-0.330318248707
ACH-000132,-0.49997614596199996
ACH-000133,-0.256220594015
ACH-000137,-0.256173251689
ACH-000138,-0.24132635406599998
ACH-000142,-0.449304178031
ACH-000143,-0.237624714931
ACH-000146,-0.3654815929
ACH-000148,-0.426093088648
ACH-000150,-0.45334806800099997
ACH-000152,-0.355383580546
ACH-000153,0.13277270753599998
ACH-000159,-0.1631873064
ACH-000160,-0.478744177771
ACH-000163,-0.211510379999
ACH-000167,-0.310599273779
ACH-000168,-0.712349099639
ACH-000169,-0.63591342838
ACH-000178,-0.449700399432
ACH-000182,-0.512168030581
ACH-000183,-0.305422708423
ACH-000188,-0.330417106008
ACH-000189,-0.233166077771
ACH-000190,-0.523207619567
ACH-000198,-0.201592356086
ACH-000204,-0.182852770393
ACH-000206,-0.4803469979
ACH-000207,-0.7725422745209999
ACH-000211,-0.272391284866
ACH-000215,-0.251060830309
ACH-000221,-0.23498814699599999
ACH-000222,-0.24064499439
ACH-000223,-0.36592755051200004
ACH-000226,-0.24796296932300002
ACH-000227,-0.398290963456
ACH-000228,-0.46034880128899996
ACH-000231,-0.349405475865
ACH-000232,-0.319921297126
ACH-000233,-0.372466041342
ACH-000234,-0.2578602372
ACH-000235,-0.161935313987
ACH-000237,-0.176217897591
ACH-000238,-0.429415037873
ACH-000243,-0.345607505666
ACH-000244,-0.0656785114955
ACH-000246,-0.279315181567
ACH-000248,-0.32186441105
ACH-000250,-0.272437277698
ACH-000251,-0.311953391089
ACH-000253,-0.213639877137
ACH-000255,-0.5753268697680001
ACH-000256,-0.247238662029
ACH-000257,-0.555136916762
ACH-000258,-0.327509756221
ACH-000259,-0.319246467814
ACH-000260,-0.327822451487
ACH-000261,-0.196442946281
ACH-000262,-0.425067375374
ACH-000263,-0.41649790921400004
ACH-000264,-0.20358436766399998
ACH-000265,-0.29794903944
ACH-000266,-0.23605947040199998
ACH-000272,-0.36946211839800003
ACH-000273,-0.393504125223
ACH-000274,-0.26939692944800003
ACH-000277,-0.537128080163
ACH-000278,-0.100195347268
ACH-000279,-0.260499136028
ACH-000280,-0.36080156068999997
ACH-000281,-0.487715035533
ACH-000288,-0.299830489574
ACH-000291,-0.335770684899
ACH-000293,-0.18929302595699998
ACH-000294,-0.136524785056
ACH-000295,-0.430888618861
ACH-000296,-0.26427813583099996
ACH-000302,-0.33190400744000004
ACH-000304,-0.405648444844
ACH-000307,-0.26526722114
ACH-000308,-0.248081340619
ACH-000310,-0.35082175537199994
ACH-000311,-0.304094460437
ACH-000312,-0.171366797389
ACH-000315,-0.19429909755
ACH-000316,-0.343337615246
ACH-000317,-0.446679476408
ACH-000318,-0.507048282649
ACH-000319,-0.461662650839
ACH-000320,-0.354261715063
ACH-000322,-0.39429560503399996
ACH-000323,-0.462364125459
ACH-000324,-0.5499279181100001
ACH-000329,-0.294366181951
ACH-000330,-0.15720756511700001
ACH-000331,-0.238249199312
ACH-000332,-0.243343106107
ACH-000334,-0.41215539322899997
ACH-000335,-0.21912633779899998
ACH-000336,-0.215991975473
ACH-000337,-0.780073596299
ACH-000339,-0.183985609828
ACH-000341,-0.425175680895
ACH-000348,-0.337596000106
ACH-000350,-0.338411691
ACH-000352,-0.32321192544300004
ACH-000356,-0.21659616752900002
ACH-000361,-0.60419015791
ACH-000362,-0.240722154875
ACH-000363,-0.22555623104699998
ACH-000364,-0.368482175167
ACH-000365,-0.333316418753
ACH-000366,-0.241552811691
ACH-000368,-0.280141064712
ACH-000374,-0.21767726856699998
ACH-000375,-0.257251044806
ACH-000376,-0.420912357025
ACH-000381,-0.316574640221
ACH-000383,-0.37580304850999996
ACH-000387,-0.238877684993
ACH-000389,-0.356613941576
ACH-000390,-0.400020414213
ACH-000393,-0.299367580148
ACH-000395,-0.36631772349299996
ACH-000397,-0.40854223453199995
ACH-000401,-0.589826747341
ACH-000402,0.033602026788
ACH-000403,-0.352427895198
ACH-000404,0.035587735868
ACH-000406,-0.396480626101
ACH-000407,-0.108151473463
ACH-000408,-0.34180251818
ACH-000410,-0.370262701091
ACH-000411,-0.351800733054
ACH-000414,-0.29974561899999996
ACH-000415,-0.350571352797
ACH-000416,-0.361910263778
ACH-000420,-0.346213751186
ACH-000421,-0.34710490855
ACH-000424,-0.513788445672
ACH-000425,-0.423694716199
ACH-000426,-0.442175895199
ACH-000427,-0.451952301849
ACH-000433,-0.343412292177
ACH-000436,-0.292641151502
ACH-000444,-0.285140508946
ACH-000445,-0.363190992816
ACH-000448,-0.285318159308
ACH-000450,-0.0434234258741
ACH-000452,-0.394584719623
ACH-000454,-0.36268808961099996
ACH-000458,-0.42461011782499997
ACH-000459,-0.361431735631
ACH-000460,-0.30049331309099997
ACH-000461,-0.397216718654
ACH-000463,-0.34576846239299996
ACH-000464,-0.736537331495
ACH-000466,-0.29474132338799997
ACH-000467,-0.28265237462
ACH-000468,-0.419432537261
ACH-000469,-0.42741175804700005
ACH-000470,-0.270460170266
ACH-000471,-0.40410877280699997
ACH-000472,-0.258250829571
ACH-000473,-0.375815127812
ACH-000475,-0.314602828152
ACH-000476,-0.18134848566
ACH-000477,-0.36178231012199996
ACH-000480,-0.376763811462
ACH-000481,-0.339804566536
ACH-000483,-0.4322814723100001
ACH-000484,-0.335683719604
ACH-000485,-0.349688738121
ACH-000486,-0.38180401841600003
ACH-000487,-0.304993793537
ACH-000488,-0.3523408529
ACH-000490,-0.24573932361900003
ACH-000491,-0.315388431118
ACH-000495,-0.11473509087099999
ACH-000496,-0.275483036314
ACH-000499,-0.42630583884
ACH-000500,0.337099568677
ACH-000502,-0.206373650051
ACH-000503,-0.486397222864
