,PRUNE2 (158471)
ACH-000004,-0.183930269696
ACH-000007,-0.19788146473999998
ACH-000009,-0.186046801171
ACH-000011,0.082299378886
ACH-000012,0.112916439033
ACH-000013,-0.12395439487299999
ACH-000014,-0.131754672627
ACH-000015,-0.21930964969900002
ACH-000017,0.237705035042
ACH-000018,0.134286074902
ACH-000019,0.06697257686369999
ACH-000021,-0.11799792252999998
ACH-000022,-0.0606529837619
ACH-000025,-0.108916255923
ACH-000028,-0.221902188717
ACH-000030,-0.128882443112
ACH-000035,-0.273256786591
ACH-000036,-0.08873683965250001
ACH-000037,-0.317519748597
ACH-000039,-0.46575316807800005
ACH-000040,0.141831631264
ACH-000041,0.0720565801996
ACH-000042,-0.058853681562800006
ACH-000045,-0.10940686886600001
ACH-000047,-0.025305774854000002
ACH-000052,0.18394954721700002
ACH-000053,-0.0630380710372
ACH-000054,-0.16308644505
ACH-000055,-0.39853648894
ACH-000060,-0.124676408179
ACH-000067,0.129134052597
ACH-000070,-0.194130685935
ACH-000075,0.100591243822
ACH-000078,-0.0779051626903
ACH-000082,0.206866780335
ACH-000085,0.058525682993099994
ACH-000086,-0.026680412518099998
ACH-000087,0.0827167242543
ACH-000092,-0.0158135643627
ACH-000095,0.182390778493
ACH-000097,-0.0723086679345
ACH-000098,0.0250892819875
ACH-000099,0.006906168625310001
ACH-000108,-0.0652542313786
ACH-000113,-0.00817839252768
ACH-000115,0.107088914016
ACH-000116,-0.124953178455
ACH-000118,-0.028560915026500003
ACH-000120,-0.121663070354
ACH-000123,-0.0496044812559
ACH-000127,-0.036899235489999994
ACH-000128,-0.029431152137099997
ACH-000132,-0.057365478809900006
ACH-000133,-0.326819620312
ACH-000137,0.31082424475299997
ACH-000138,-0.0520527879419
ACH-000142,0.0389326957191
ACH-000143,-0.0585162438072
ACH-000146,-0.135864471194
ACH-000148,-0.11312729602299999
ACH-000150,0.177546905215
ACH-000152,-0.136890236521
ACH-000153,0.310784085993
ACH-000159,-0.17693058610999998
ACH-000160,-0.033721481571
ACH-000163,0.0411096271024
ACH-000167,0.164638344701
ACH-000168,0.030928849589400002
ACH-000169,-0.000527687928951
ACH-000178,-0.0780321631651
ACH-000182,-0.0941068104479
