,EIF3E (3646)
ACH-000004,-1.14350737114
ACH-000007,-1.58029009977
ACH-000009,-1.4603015769499998
ACH-000011,-1.8126242671900001
ACH-000012,-1.61040112946
ACH-000013,-1.4914974536599999
ACH-000014,-1.63579728581
ACH-000015,-1.4969252908700001
ACH-000017,-2.3215979172099996
ACH-000018,-1.3719005926199999
ACH-000019,-1.0115954345799998
ACH-000021,-1.39272355389
ACH-000022,-1.2894776029700001
ACH-000025,-1.23937697177
ACH-000028,-1.15893689001
ACH-000030,-1.20658603738
ACH-000035,-1.2267627271
ACH-000036,-1.39144687477
ACH-000037,-0.944472198856
ACH-000039,-1.68429021664
ACH-000040,-1.26543132192
ACH-000041,-1.20539379994
ACH-000042,-1.0360586800700002
ACH-000045,-1.34640027727
ACH-000047,-1.2412452116600001
ACH-000052,-1.0029566949600002
ACH-000053,-1.50678532967
ACH-000054,-1.48731566234
ACH-000055,-0.956272227975
ACH-000060,-0.908203258005
ACH-000067,-1.3421830283399998
ACH-000070,-1.06266401499
ACH-000075,-1.0071170795200002
ACH-000078,-1.47813014495
ACH-000082,-1.33932894856
ACH-000085,-1.11967644479
ACH-000086,-0.87739965471
ACH-000087,-1.61464277407
ACH-000092,-1.2568561094600001
ACH-000095,-1.3987612977700001
ACH-000097,-1.5166901683899998
ACH-000098,-1.26210460088
ACH-000099,-1.60646361358
ACH-000108,-1.3014166396200002
ACH-000113,-1.3566630517700002
ACH-000115,-1.15137943256
ACH-000116,-1.6048517294799998
ACH-000118,-1.3867480703600001
ACH-000120,-1.26577109956
ACH-000123,-1.48719960374
ACH-000127,-1.50472926203
ACH-000128,-1.8708367888
ACH-000132,-1.51398893088
ACH-000133,-1.1234397151
ACH-000137,-1.18230343561
ACH-000138,-1.6787977089700001
ACH-000142,-1.57062956765
ACH-000143,-1.49014133225
ACH-000146,-1.5260111576299997
ACH-000148,-1.00620878051
ACH-000150,-1.6012300104799997
ACH-000152,-1.35702846732
ACH-000153,-1.31288484419
ACH-000159,-1.7317231423700001
ACH-000160,-1.6125594829899998
ACH-000163,-1.510558598
ACH-000167,-2.0076269231799997
ACH-000168,-1.20876493084
ACH-000169,-1.4328851479700002
ACH-000178,-1.2793489117399999
ACH-000182,-1.12093587194
ACH-000183,-1.40995315752
ACH-000188,-1.16445195097
ACH-000189,-0.995374383964
ACH-000190,-1.57066455225
ACH-000198,-1.5029129323600001
ACH-000204,-1.09763365609
ACH-000206,-1.40545514648
ACH-000207,-0.695105962332
ACH-000211,-1.3673228664700001
ACH-000215,-1.3313120173100002
ACH-000221,-1.2585132180399998
ACH-000222,-1.37765772186
ACH-000223,-1.0499671584999999
ACH-000226,-1.27734887047
ACH-000227,-1.52935861055
ACH-000228,-1.0354359705299998
ACH-000231,-1.49155350003
ACH-000232,-1.54213594724
ACH-000233,-1.51244122899
ACH-000234,-1.6256198473299999
ACH-000235,-1.28645421403
ACH-000237,-1.56871031652
ACH-000238,-0.8853070932680001
ACH-000243,-1.3563685242899999
ACH-000244,-1.5727517644799998
ACH-000246,-1.5027752645399999
ACH-000248,-1.6110671881299998
ACH-000250,-1.37546740055
ACH-000251,-1.4855808130700001
ACH-000253,-1.4931518331
ACH-000255,-1.1768313853299999
ACH-000256,-1.5842130395200003
ACH-000257,-0.8112117013510001
ACH-000258,-2.0200383378
ACH-000259,-1.2781451203799998
ACH-000260,-1.42848801113
ACH-000261,-1.3346713946700002
ACH-000262,-1.09953152289
ACH-000263,-1.6581805601
ACH-000264,-1.404287267
ACH-000265,-1.2933053235
ACH-000266,-1.4624323434200002
ACH-000272,-1.2971821827299999
ACH-000273,-1.63625264099
ACH-000274,-1.7043889513100001
ACH-000277,-1.43199024537
ACH-000278,-1.2809962338299998
ACH-000279,-1.12546367604
ACH-000280,-1.2560565251
ACH-000281,-1.56815300128
ACH-000288,-0.93800770785
ACH-000291,-1.45447982697
ACH-000293,-1.31592377207
ACH-000294,-2.02854581663
ACH-000295,-1.1733220693000002
ACH-000296,-1.5267538706600001
ACH-000302,-1.30864393925
ACH-000304,-1.9187514006400002
ACH-000307,-1.25789059681
ACH-000308,-1.3731076538799998
ACH-000310,-1.53242810671
ACH-000311,-1.45744537692
ACH-000312,-1.3305324709100002
ACH-000315,-1.72965657414
ACH-000316,-1.43734736475
ACH-000317,-1.2334138351700001
ACH-000318,-1.18149779551
ACH-000319,-1.4781508144600002
ACH-000320,-1.4286159084799999
ACH-000322,-1.41036279296
ACH-000323,-1.7048958772299998
ACH-000324,-1.4360681309099999
ACH-000329,-1.56446986065
ACH-000330,-1.55928074842
ACH-000331,-1.4700782972600002
ACH-000332,-1.32649394346
ACH-000334,-1.86579723529
ACH-000335,-1.29562942901
ACH-000336,-1.20294688099
ACH-000337,-1.16429722666
ACH-000339,-1.45985694364
ACH-000341,-1.73742747137
ACH-000348,-1.5964588388299998
ACH-000350,-1.7817485232199999
ACH-000352,-0.855869209368
ACH-000356,-1.30893628318
ACH-000361,-1.65903451208
ACH-000362,-1.53928274308
ACH-000363,-1.46416401146
ACH-000364,-1.31030001865
ACH-000365,-1.53771782331
ACH-000366,-1.29561124181
ACH-000368,-1.28939066214
ACH-000374,-0.860119628488
ACH-000375,-1.43714331182
ACH-000376,-1.4469480575799998
ACH-000381,-1.0854372031
ACH-000383,-1.3343103637
ACH-000387,-1.3768706917200002
ACH-000389,-1.49734161134
ACH-000390,-1.52849123222
ACH-000393,-1.40979151829
ACH-000395,-1.67560012788
ACH-000397,-1.46261019153
ACH-000401,-1.24879209814
ACH-000402,-1.5190950091
ACH-000403,-1.2944240977500001
ACH-000404,-1.65872503699
ACH-000406,-1.1853394048
ACH-000407,-1.5320978112099999
ACH-000408,-1.4328084845700002
ACH-000410,-1.1047693974200001
ACH-000411,-1.3265073793000002
ACH-000414,-1.2409429544600001
ACH-000415,-1.14945876387
ACH-000416,-1.36374027931
ACH-000420,-1.4747335177399998
ACH-000421,-1.20793934213
ACH-000424,-1.03750641321
ACH-000425,-1.5459062837600002
ACH-000426,-1.15827280516
ACH-000427,-0.938160658874
ACH-000433,-0.873651332777
ACH-000436,-1.49899951011
ACH-000444,-1.07525283065
ACH-000445,-1.3165745611
ACH-000448,-1.2466678829200002
ACH-000450,-1.4408269201600001
ACH-000452,-1.51754513775
ACH-000454,-1.37464392753
ACH-000458,-1.4162253879799998
ACH-000459,-1.28626927235
ACH-000460,-1.35801486349
ACH-000461,-0.964499639716
ACH-000463,-1.2855632042899998
ACH-000464,-1.47269315122
