,NFIB (4781)
ACH-000004,-0.916346168381
ACH-000007,-0.13678256103800002
ACH-000009,-0.0751285985047
ACH-000011,-0.5753075916229999
ACH-000012,-0.0034205965396100005
ACH-000013,-0.577921458042
ACH-000014,-0.12710805366699998
ACH-000015,-0.126284725154
ACH-000017,-0.030799771848900002
ACH-000018,-0.467805467018
ACH-000019,0.12019499075899999
ACH-000021,-0.193988756208
ACH-000022,-0.115329670493
ACH-000025,-0.198836063052
ACH-000028,-0.021972121140000002
ACH-000030,-0.127556734124
ACH-000035,-0.33616213655199995
ACH-000036,-0.310217400815
ACH-000037,-0.319897019173
ACH-000039,0.016090205514
ACH-000040,-0.23615326801699998
ACH-000041,-0.132539323453
ACH-000042,-0.22783567367899998
ACH-000045,-0.119787736976
ACH-000047,0.37625921275300006
ACH-000052,-0.09762282886260001
ACH-000053,-0.046042639951200004
ACH-000054,-0.29826418160100004
ACH-000055,-0.891879117552
ACH-000060,-0.35039979609399996
ACH-000067,-0.205911415662
ACH-000070,-0.06533846074569999
ACH-000075,-0.282789497055
ACH-000078,-0.169908528639
ACH-000082,-0.21891559510699998
ACH-000085,-0.102568937953
ACH-000086,-0.0522614650902
ACH-000087,0.09110699855210001
ACH-000092,-0.293567333939
ACH-000095,-0.194447159883
ACH-000097,0.0358498946951
ACH-000098,0.0137817692116
ACH-000099,-0.148755548048
ACH-000108,-0.0483627786176
ACH-000113,-0.0421029799773
ACH-000115,-0.697748911159
ACH-000116,-0.15728195207100001
ACH-000118,-0.0759291111382
ACH-000120,-0.384382036202
ACH-000123,-0.591849727012
ACH-000127,-0.302848504658
ACH-000128,-0.45183490784100006
ACH-000132,-0.374491109017
ACH-000133,-0.151289491131
ACH-000137,-0.341324136455
ACH-000138,-0.14566271050000001
ACH-000142,0.0439424376271
ACH-000143,-0.190237006407
ACH-000146,-0.153578501537
ACH-000148,-0.426732513858
ACH-000150,-0.220344311377
ACH-000152,-0.06746271521490001
ACH-000153,-0.112193738493
ACH-000159,-0.0532363704901
ACH-000160,-0.09911698555449999
ACH-000163,-0.150388752607
ACH-000167,-0.123404815679
ACH-000168,-0.233981466976
ACH-000169,-0.334398469601
ACH-000178,-0.26461552954900003
ACH-000182,-0.176461468851
ACH-000183,-0.0638004913266
ACH-000188,-0.182533203882
ACH-000189,-0.454557299923
ACH-000190,-0.247029667458
ACH-000198,-0.07035835656110001
ACH-000204,-0.17316997514600002
ACH-000206,-0.178788080651
ACH-000207,-0.0760877401634
ACH-000211,-0.258821265266
ACH-000215,-0.24068359737
ACH-000221,-0.049459473131099996
ACH-000222,-0.271348037735
ACH-000223,-0.286498672405
ACH-000226,-0.23410649127500002
ACH-000227,-0.29086419276000003
ACH-000228,-0.044065884931800005
ACH-000231,-0.08454157817460001
ACH-000232,-0.474089131768
ACH-000233,-0.0919039305019
ACH-000234,-0.36858084195600005
ACH-000235,-0.140113829319
ACH-000237,-0.39611355460299996
ACH-000238,-0.117208191799
ACH-000243,-0.37090063913800003
ACH-000244,0.0633724983232
ACH-000246,-0.37206522586400004
ACH-000248,-0.235387379134
ACH-000250,-0.0637616948616
ACH-000251,-0.128471375611
ACH-000253,-0.0730906984484
ACH-000255,-0.117225910932
ACH-000256,-0.0425960225112
ACH-000257,-0.297919123807
ACH-000258,0.130535830965
ACH-000259,-0.202849548589
ACH-000260,0.18780977278
ACH-000261,-0.373887316518
ACH-000262,-0.179736813942
ACH-000263,-0.0455853379139
ACH-000264,-0.101188141524
ACH-000265,-0.458431649457
ACH-000266,-0.260561375416
ACH-000272,-0.067054732428
ACH-000273,-0.254768882126
ACH-000274,-0.221339164586
ACH-000277,-0.168005622518
ACH-000278,-0.14106837270300002
ACH-000279,-0.26788526396400003
ACH-000280,-0.09307909096280001
ACH-000281,-0.23347778713700001
ACH-000288,-0.322614449066
ACH-000291,-0.0839630580963
ACH-000293,-0.0674286420827
ACH-000294,0.060839714881
ACH-000295,0.0968082143097
ACH-000296,-0.00502758030978
ACH-000302,0.012935836134899998
ACH-000304,-0.219550722881
ACH-000307,-0.0366774517016
ACH-000308,-0.163801477718
ACH-000310,0.030995057565299997
ACH-000311,0.20576167243700003
